ulsan_variable,seoul_counterpart,unit_check,transformation,retained
Date,Date,check_in_raw_metadata,none,1
day,day,check_in_raw_metadata,none,1
Inflow,Inflow,check_in_raw_metadata,none,1
Outflow,Outflow,check_in_raw_metadata,none,1
BODin,BODin,check_in_raw_metadata,none,1
BODout,BODout,check_in_raw_metadata,none,1
TOCin,TOCin,check_in_raw_metadata,none,1
TOCout,TOCout,check_in_raw_metadata,none,1
SSin,SSin,check_in_raw_metadata,none,1
SSout,SSout,check_in_raw_metadata,none,1
TNin,TNin,check_in_raw_metadata,none,1
TNout,TNout,check_in_raw_metadata,none,1
TPin,TPin,check_in_raw_metadata,none,1
TPout,TPout,check_in_raw_metadata,none,1
Coliformin,,not_available,dropped,0
Coliformout,,not_available,dropped,0
temp_mean_c,temp_mean_c,check_in_raw_metadata,none,1
temp_min_c,,not_available,dropped,0
temp_max_c,,not_available,dropped,0
dewpoint_mean_c,,not_available,dropped,0
rh_mean_pct,rh_mean_pct,check_in_raw_metadata,none,1
wind_mean_ms,wind_mean_ms,check_in_raw_metadata,none,1
wind_max_ms,wind_max_ms,check_in_raw_metadata,none,1
sea_level_pressure_mean_hpa,,not_available,dropped,0
precip_total_mm,precip_total_mm,check_in_raw_metadata,none,1
precip_max_1h_mm,,not_available,dropped,0
wet_hours,,not_available,dropped,0
sunshine_total_hr,sunshine_total_hr,check_in_raw_metadata,none,1
solar_rad_total_mj_m2,solar_rad_total_mj_m2,check_in_raw_metadata,none,1
missing_hours,,not_available,dropped,0
precip_raw_nan_hours,,not_available,dropped,0
sun_raw_nan_hours,,not_available,dropped,0
solar_rad_raw_nan_hours,,not_available,dropped,0
temp_range_c,temp_range_c,check_in_raw_metadata,none,1
precip_max_3h_mm,,not_available,dropped,0
precip_max_6h_mm,,not_available,dropped,0
precip_max_12h_mm,,not_available,dropped,0
