horizon,tau_mgL,budget_r,model,recall_mean,recall_ci95,recall_overall
1,15.0,0.05,Persistence,0.1556152927120669,0.17297376210680573,0.34782608695652173
1,15.0,0.1,Persistence,0.3142174432497013,0.3223470954182174,0.5507246376811594
1,16.0,0.05,Persistence,0.13333333333333333,0.13066666666666668,0.3333333333333333
1,16.0,0.1,Persistence,0.3333333333333333,0.34571150464577316,0.5714285714285714
1,17.0,0.05,Persistence,0.35,0.24004999479275144,0.3333333333333333
1,17.0,0.1,Persistence,0.35,0.24004999479275144,0.4444444444444444
1,15.0,0.05,ElasticNet,0.1400836320191159,0.13842402852188068,0.30434782608695654
1,15.0,0.1,ElasticNet,0.27718040621266427,0.2735678896856397,0.5217391304347826
1,16.0,0.05,ElasticNet,0.2333333333333333,0.2847813976446574,0.38095238095238093
1,16.0,0.1,ElasticNet,0.3333333333333333,0.34571150464577316,0.5714285714285714
1,17.0,0.05,ElasticNet,0.25,0.4000833246545858,0.2222222222222222
1,17.0,0.1,ElasticNet,0.35,0.24004999479275144,0.5555555555555556
1,15.0,0.05,HGBR,0.1278375149342891,0.12993778457371546,0.2898550724637681
1,15.0,0.1,HGBR,0.21714456391875747,0.21653809168039317,0.4927536231884058
1,16.0,0.05,HGBR,0.2333333333333333,0.2847813976446574,0.38095238095238093
1,16.0,0.1,HGBR,0.26666666666666666,0.34571150464577316,0.47619047619047616
1,17.0,0.05,HGBR,0.35,0.24004999479275144,0.3333333333333333
1,17.0,0.1,HGBR,0.35,0.24004999479275144,0.4444444444444444
3,15.0,0.05,Persistence,0.08632019115890084,0.11207317784120262,0.21739130434782608
3,15.0,0.1,Persistence,0.18488649940262844,0.20449410522265046,0.36231884057971014
3,16.0,0.05,Persistence,0.13333333333333333,0.2613333333333334,0.2857142857142857
3,16.0,0.1,Persistence,0.2333333333333333,0.3637606050382281,0.38095238095238093
3,17.0,0.05,Persistence,0.25,0.4000833246545858,0.3333333333333333
3,17.0,0.1,Persistence,0.375,0.6001249869818785,0.3333333333333333
3,15.0,0.05,ElasticNet,0.12156511350059736,0.1288850818902197,0.2753623188405797
3,15.0,0.1,ElasticNet,0.24014336917562726,0.2372983346089383,0.5362318840579711
3,16.0,0.05,ElasticNet,0.13333333333333333,0.17285575232288658,0.3333333333333333
3,16.0,0.1,ElasticNet,0.3333333333333333,0.34571150464577316,0.7142857142857143
3,17.0,0.05,ElasticNet,0.2,0.3200666597236687,0.4444444444444444
3,17.0,0.1,ElasticNet,0.45,0.08001666493091715,0.5555555555555556
3,15.0,0.05,HGBR,0.11559139784946237,0.14264781336846521,0.2318840579710145
3,15.0,0.1,HGBR,0.19563918757467144,0.2064456518924587,0.391304347826087
3,16.0,0.05,HGBR,0.19999999999999998,0.2993949454037816,0.38095238095238093
3,16.0,0.1,HGBR,0.3,0.3394819582835,0.5238095238095238
3,17.0,0.05,HGBR,0.35,0.24004999479275144,0.5555555555555556
3,17.0,0.1,HGBR,0.575,0.28005832725821,0.7777777777777778
5,15.0,0.05,Persistence,0.09707287933094384,0.11001769068979884,0.2028985507246377
5,15.0,0.1,Persistence,0.18787335722819595,0.1860663573174668,0.37681159420289856
5,16.0,0.05,Persistence,0.13333333333333333,0.2613333333333334,0.2857142857142857
5,16.0,0.1,Persistence,0.3,0.40800653589536207,0.5714285714285714
5,17.0,0.05,Persistence,0.125,0.2000416623272929,0.3333333333333333
5,17.0,0.1,Persistence,0.575,0.28005832725821,0.7777777777777778
5,15.0,0.05,ElasticNet,0.11857825567502987,0.11771101964387891,0.2753623188405797
5,15.0,0.1,ElasticNet,0.26642771804062126,0.2659759084910893,0.5072463768115942
5,16.0,0.05,ElasticNet,0.13333333333333333,0.13066666666666668,0.23809523809523808
5,16.0,0.1,ElasticNet,0.3333333333333333,0.34571150464577316,0.6190476190476191
5,17.0,0.05,ElasticNet,0.1,0.16003332986183436,0.1111111111111111
5,17.0,0.1,ElasticNet,0.325,0.12002499739637575,0.5555555555555556
5,15.0,0.05,HGBR,0.03076463560334528,0.03662060762144025,0.08695652173913043
5,15.0,0.1,HGBR,0.1278375149342891,0.12993778457371546,0.2318840579710145
5,16.0,0.05,HGBR,0.0,0.0,0.047619047619047616
5,16.0,0.1,HGBR,0.13333333333333333,0.17285575232288658,0.2857142857142857
5,17.0,0.05,HGBR,0.0,0.0,0.1111111111111111
5,17.0,0.1,HGBR,0.35,0.24004999479275144,0.4444444444444444
