dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,enrichment,1,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.829787234042552,6.086956521739131,2.2571692876965788,58.937198067632906,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,15.0,0.05,HGBR,hgbr,HGBR,,,5.797101449275362,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,15.0,0.05,Persistence,persistence,Persistence,main_alarm,4.25531914893617,6.956521739130435,2.7012025901942645,63.47826086956521,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.120567375886525,5.217391304347825,2.0968239284613004,67.19367588932803,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,15.0,0.1,HGBR,hgbr,HGBR,,,4.927536231884058,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,15.0,0.1,Persistence,persistence,Persistence,main_alarm,3.5460992907801416,5.507246376811594,1.9611470860314522,55.30434782608695,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.594594594594594,7.619047619047619,3.0244530244530248,65.8263305322129,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,16.0,0.05,HGBR,hgbr,HGBR,,,7.619047619047619,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,16.0,0.05,Persistence,persistence,Persistence,main_alarm,5.405405405405405,6.666666666666666,1.2612612612612608,23.333333333333325,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.0540540540540535,5.7142857142857135,1.66023166023166,40.95238095238095,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,16.0,0.1,HGBR,hgbr,HGBR,,,4.761904761904761,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,16.0,0.1,Persistence,persistence,Persistence,main_alarm,4.459459459459459,5.7142857142857135,1.2548262548262548,28.13852813852814,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.0,4.444444444444444,0.44444444444444375,11.111111111111093,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,17.0,0.05,HGBR,hgbr,HGBR,,,6.666666666666666,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,17.0,0.05,Persistence,persistence,Persistence,main_alarm,5.999999999999999,6.666666666666666,0.666666666666667,11.111111111111118,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.0,5.555555555555555,1.5555555555555554,38.888888888888886,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,1,17.0,0.1,HGBR,hgbr,HGBR,,,4.444444444444444,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,1,17.0,0.1,Persistence,persistence,Persistence,main_alarm,4.333333333333333,4.444444444444444,0.11111111111111072,2.564102564102555,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.285714285714284,5.507246376811594,2.22153209109731,67.61184625078774,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,15.0,0.05,HGBR,hgbr,HGBR,,,4.63768115942029,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,15.0,0.05,Persistence,persistence,Persistence,main_alarm,2.857142857142856,4.3478260869565215,1.4906832298136656,52.17391304347832,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,2.214285714285714,5.36231884057971,3.148033126293996,142.16923796166435,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,15.0,0.1,HGBR,hgbr,HGBR,,,3.9130434782608696,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,15.0,0.1,Persistence,persistence,Persistence,main_alarm,2.642857142857143,3.623188405797101,0.9803312629399583,37.09361535448491,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.561643835616438,6.666666666666666,3.105022831050228,87.17948717948718,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,16.0,0.05,HGBR,hgbr,HGBR,,,7.619047619047619,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,16.0,0.05,Persistence,persistence,Persistence,main_alarm,3.013698630136986,5.7142857142857135,2.7005870841487276,89.6103896103896,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,2.465753424657534,7.142857142857142,4.677103718199609,189.68253968253973,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,16.0,0.1,HGBR,hgbr,HGBR,,,5.238095238095238,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,16.0,0.1,Persistence,persistence,Persistence,main_alarm,2.876712328767123,3.809523809523809,0.9328114807566861,32.426303854875286,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.827586206896552,8.888888888888888,4.061302681992336,84.1269841269841,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,HGBR,hgbr,HGBR,,,11.11111111111111,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,Persistence,persistence,Persistence,main_alarm,2.0689655172413777,6.666666666666666,4.597701149425289,222.22222222222248,higher_is_better,1,1.0
