model,scope,tau,budget_r,n,k,events,TP,precision,recall,score
hybrid_rank_ens_H5_v2,overall,15.0,0.05,747,38,134,21,0.5526315789473685,0.15671641791044777,p_tau15
hybrid_rank_ens_H5_v2,overall,15.0,0.1,747,75,134,27,0.36,0.20149253731343283,p_tau15
hybrid_rank_ens_H5_v2,overall,16.0,0.05,747,38,71,17,0.4473684210526316,0.23943661971830985,p_tau16
hybrid_rank_ens_H5_v2,overall,16.0,0.1,747,75,71,21,0.28,0.29577464788732394,p_tau16
hybrid_rank_ens_H5_v2,overall,17.0,0.05,747,38,29,8,0.21052631578947367,0.27586206896551724,p_tau17
hybrid_rank_ens_H5_v2,overall,17.0,0.1,747,75,29,9,0.12,0.3103448275862069,p_tau17
hybrid_rank_ens_H5_v2,fold1,15.0,0.05,249,13,59,11,0.8461538461538461,0.1864406779661017,p_tau15
hybrid_rank_ens_H5_v2,fold1,15.0,0.1,249,25,59,15,0.6,0.2542372881355932,p_tau15
hybrid_rank_ens_H5_v2,fold1,16.0,0.05,249,13,31,5,0.38461538461538464,0.16129032258064516,p_tau16
hybrid_rank_ens_H5_v2,fold1,16.0,0.1,249,25,31,10,0.4,0.3225806451612903,p_tau16
hybrid_rank_ens_H5_v2,fold1,17.0,0.05,249,13,16,2,0.15384615384615385,0.125,p_tau17
hybrid_rank_ens_H5_v2,fold1,17.0,0.1,249,25,16,3,0.12,0.1875,p_tau17
hybrid_rank_ens_H5_v2,fold2,15.0,0.05,249,13,20,4,0.3076923076923077,0.2,p_tau15
hybrid_rank_ens_H5_v2,fold2,15.0,0.1,249,25,20,5,0.2,0.25,p_tau15
hybrid_rank_ens_H5_v2,fold2,16.0,0.05,249,13,7,3,0.23076923076923078,0.42857142857142855,p_tau16
hybrid_rank_ens_H5_v2,fold2,16.0,0.1,249,25,7,3,0.12,0.42857142857142855,p_tau16
hybrid_rank_ens_H5_v2,fold2,17.0,0.05,249,13,1,1,0.07692307692307693,1.0,p_tau17
hybrid_rank_ens_H5_v2,fold2,17.0,0.1,249,25,1,1,0.04,1.0,p_tau17
hybrid_rank_ens_H5_v2,fold3,15.0,0.05,249,13,55,7,0.5384615384615384,0.12727272727272726,p_tau15
hybrid_rank_ens_H5_v2,fold3,15.0,0.1,249,25,55,9,0.36,0.16363636363636364,p_tau15
hybrid_rank_ens_H5_v2,fold3,16.0,0.05,249,13,33,7,0.5384615384615384,0.21212121212121213,p_tau16
hybrid_rank_ens_H5_v2,fold3,16.0,0.1,249,25,33,13,0.52,0.3939393939393939,p_tau16
hybrid_rank_ens_H5_v2,fold3,17.0,0.05,249,13,12,5,0.38461538461538464,0.4166666666666667,p_tau17
hybrid_rank_ens_H5_v2,fold3,17.0,0.1,249,25,12,5,0.2,0.4166666666666667,p_tau17
