horizon,tau_mgL,budget_r,n_test,k,event_count,model,display_model,tp,precision,recall
5,15,0.05,747,38,134,enet,ElasticNet,16,0.4210526315789473,0.1194029850746268
5,15,0.05,747,38,134,hybrid_rank_v2,HybridRank v2,21,0.5526315789473685,0.1567164179104477
5,15,0.05,747,38,134,persistence,Persistence,19,0.5,0.1417910447761194
5,15,0.05,747,38,134,tcn,TCN,19,0.5,0.1417910447761194
5,15,0.1,747,75,134,enet,ElasticNet,33,0.44,0.2462686567164179
5,15,0.1,747,75,134,hybrid_rank_v2,HybridRank v2,33,0.44,0.2462686567164179
5,15,0.1,747,75,134,persistence,Persistence,32,0.4266666666666667,0.2388059701492537
5,15,0.1,747,75,134,tcn,TCN,29,0.3866666666666666,0.2164179104477611
5,16,0.05,747,38,71,enet,ElasticNet,8,0.2105263157894736,0.1126760563380281
5,16,0.05,747,38,71,hybrid_rank_v2,HybridRank v2,17,0.4473684210526316,0.2394366197183098
5,16,0.05,747,38,71,persistence,Persistence,15,0.3947368421052631,0.2112676056338028
5,16,0.05,747,38,71,tcn,TCN,15,0.3947368421052631,0.2112676056338028
5,16,0.1,747,75,71,enet,ElasticNet,19,0.2533333333333333,0.2676056338028169
5,16,0.1,747,75,71,hybrid_rank_v2,HybridRank v2,26,0.3466666666666667,0.3661971830985915
5,16,0.1,747,75,71,persistence,Persistence,23,0.3066666666666666,0.323943661971831
5,16,0.1,747,75,71,tcn,TCN,18,0.24,0.2535211267605634
