horizon,tau_mgL,budget_r,model,display_model,precision_mean,precision_ci95,recall_mean,recall_ci95
5,15,0.1,enet,ElasticNet,0.4000000000000001,0.3168498277312667,0.2121590571189143,0.0952195577407996
5,15,0.1,hgbr,HGBR,0.3866666666666667,0.1045333333333333,0.2516205768658935,0.1147212805738197
5,15,0.1,hybrid_paper_fixed,Hybrid paper-fixed,0.36,0.2520207398872826,0.1923336847511691,0.0460879290772207
5,15,0.1,hybrid_rank_v2,HybridRank v2,0.4266666666666667,0.2322781474391807,0.2464249993241964,0.0425205962243246
5,15,0.1,persistence,Persistence,0.36,0.2753317514078849,0.1812613197091341,0.0744881987913214
5,15,0.1,tcn,TCN,0.32,0.2753317514078848,0.1967074851999026,0.1216053992221615
5,16,0.1,enet,ElasticNet,0.24,0.2520207398872826,0.2305311176278917,0.1304786056609545
5,16,0.1,hgbr,HGBR,0.2133333333333333,0.0942250733321256,0.3018898664059954,0.1944321193117456
5,16,0.1,hybrid_paper_fixed,Hybrid paper-fixed,0.28,0.2520207398872826,0.3069403714565005,0.1162946926624143
5,16,0.1,hybrid_rank_v2,HybridRank v2,0.2933333333333334,0.2492961113036284,0.3176930596285435,0.0963570446571076
5,16,0.1,persistence,Persistence,0.24,0.2074269027874639,0.2337895079830563,0.0907364174576637
5,16,0.1,tcn,TCN,0.2266666666666666,0.2492961113036284,0.2645812968393613,0.1653423377448688
