horizon,tau_mgL,model,display_model,k,tp_mean,tp_low,tp_high
5,16,elasticnet,ElasticNet,5.0,1.3333333333333333,-1.2800000000000005,3.946666666666667
5,16,elasticnet,ElasticNet,10.0,2.0,-0.9939494540378155,4.993949454037816
5,16,elasticnet,ElasticNet,15.0,3.0,-1.08006535895362,7.08006535895362
5,16,elasticnet,ElasticNet,20.0,4.666666666666667,-0.6810971442900007,10.014430477623335
5,16,elasticnet,ElasticNet,25.0,6.0,-0.3005184971820638,12.300518497182065
5,16,elasticnet,ElasticNet,29.666666666666668,7.0,0.6994815028179362,13.300518497182065
5,16,elasticnet,ElasticNet,34.666666666666664,7.333333333333333,1.1009305507426213,13.565736115924045
5,16,elasticnet,ElasticNet,39.66666666666666,8.0,1.2103608343300003,14.78963916567
5,16,elasticnet,ElasticNet,44.66666666666666,9.0,2.2103608343300003,15.78963916567
5,16,elasticnet,ElasticNet,49.333333333333336,10.0,2.0787543067183343,17.921245693281666
5,16,hgbr,HGBR,5.0,0.6666666666666666,-0.6400000000000002,1.9733333333333336
5,16,hgbr,HGBR,10.0,2.333333333333333,1.0266666666666664,3.6399999999999997
5,16,hgbr,HGBR,15.0,3.333333333333333,2.0266666666666664,4.64
5,16,hgbr,HGBR,20.0,3.6666666666666665,3.013333333333333,4.32
5,16,hgbr,HGBR,25.0,5.333333333333333,2.977706500030193,7.688960166636473
5,16,hgbr,HGBR,29.666666666666668,6.666666666666667,4.053333333333334,9.280000000000001
5,16,hgbr,HGBR,34.666666666666664,7.0,4.006050545962184,9.993949454037816
5,16,hgbr,HGBR,39.66666666666666,8.666666666666666,5.029060616284385,12.304272717048947
5,16,hgbr,HGBR,44.66666666666666,9.666666666666666,4.563970211740985,14.769363121592347
5,16,hgbr,HGBR,49.333333333333336,10.666666666666666,4.859712980687148,16.473620352646183
5,16,hybrid_(guarded),HybridRank v2,5.0,3.0,1.04,4.96
5,16,hybrid_(guarded),HybridRank v2,10.0,4.666666666666667,2.0533333333333337,7.28
5,16,hybrid_(guarded),HybridRank v2,15.0,5.666666666666667,2.029060616284386,9.304272717048947
5,16,hybrid_(guarded),HybridRank v2,20.0,6.333333333333333,2.0491401641226927,10.617526502543974
5,16,hybrid_(guarded),HybridRank v2,25.0,7.666666666666667,2.0845842197258806,13.248749113607452
5,16,hybrid_(guarded),HybridRank v2,29.666666666666668,9.333333333333334,2.058121232568773,16.608545434097895
5,16,hybrid_(guarded),HybridRank v2,34.666666666666664,10.666666666666666,3.132059104815079,18.20127422851825
5,16,hybrid_(guarded),HybridRank v2,39.66666666666666,11.0,3.0787543067183343,18.921245693281666
5,16,hybrid_(guarded),HybridRank v2,44.66666666666666,11.333333333333334,3.1470901303874435,19.519576536279224
5,16,hybrid_(guarded),HybridRank v2,49.333333333333336,12.0,3.161870484467128,20.83812951553287
5,16,persistence,Persistence,5.0,1.3333333333333333,-0.39522418989553265,3.061890856562199
5,16,persistence,Persistence,10.0,2.6666666666666665,0.05333333333333279,5.28
5,16,persistence,Persistence,15.0,4.333333333333333,0.04914016412269273,8.617526502543974
5,16,persistence,Persistence,20.0,5.0,0.91993464104638,9.08006535895362
5,16,persistence,Persistence,25.0,6.0,0.8143274303134023,11.185672569686599
5,16,persistence,Persistence,29.666666666666668,7.0,1.12,12.879999999999999
5,16,persistence,Persistence,34.666666666666664,8.666666666666666,2.0360575108064163,15.297275822526917
5,16,persistence,Persistence,39.66666666666666,11.0,3.16,18.84
5,16,persistence,Persistence,44.66666666666666,12.0,3.161870484467128,20.83812951553287
5,16,persistence,Persistence,49.333333333333336,12.333333333333334,3.1169324932849563,21.54973417338171
5,16,tcn,TCN,5.0,1.6666666666666667,-0.6889601666364731,4.022293499969806
5,16,tcn,TCN,10.0,2.333333333333333,-1.3042727170489479,5.9709393837156135
5,16,tcn,TCN,15.0,3.0,-1.9325584977102244,7.932558497710224
5,16,tcn,TCN,20.0,3.6666666666666665,-1.6810971442900011,9.014430477623334
5,16,tcn,TCN,25.0,5.666666666666667,-0.5657361159240448,11.899069449257379
5,16,tcn,TCN,29.666666666666668,7.0,-0.8399999999999999,14.84
5,16,tcn,TCN,34.666666666666664,7.333333333333333,-0.20127422851825383,14.867940895184919
5,16,tcn,TCN,39.66666666666666,7.666666666666667,0.4800000000000004,14.853333333333333
5,16,tcn,TCN,44.66666666666666,8.0,1.1167062148028783,14.883293785197122
5,16,tcn,TCN,49.333333333333336,8.0,1.1167062148028783,14.883293785197122
