model,budget_r,k_mean,tp_mean,tp_sd,recall_mean,recall_sd,tp_ci95,recall_ci95
ElasticNet,0.02,5.0,1.3333333333333333,2.3094010767585034,0.04040404040404041,0.06998185081086374,2.6133333333333337,0.0791919191919192
ElasticNet,0.04,10.0,2.0,2.6457513110645907,0.06125773867709352,0.07981194215621126,2.9939494540378155,0.09031571472533342
ElasticNet,0.06,15.0,3.0,3.605551275463989,0.09221244705115672,0.10873898418596731,4.08006535895362,0.12304974431070238
ElasticNet,0.08,20.0,4.666666666666667,4.725815626252609,0.18882372108178558,0.10489803129668321,5.347763810956668,0.11870329694893961
ElasticNet,0.1,25.0,6.0,5.5677643628300215,0.23053111762789183,0.1153038644415905,6.300518497182064,0.13047860566095454
ElasticNet,0.12,29.666666666666668,7.0,5.5677643628300215,0.3069403714565005,0.10276954915403531,6.300518497182064,0.11629469266241439
ElasticNet,0.14,34.666666666666664,7.333333333333333,5.507570547286102,0.3176930596285435,0.08515066174147631,6.232402782590712,0.0963570446571076
ElasticNet,0.16,39.666666666666664,8.0,6.0,0.3385467579015966,0.08321153245213352,6.78963916567,0.0941627132954043
ElasticNet,0.18,44.666666666666664,9.0,6.0,0.4149560117302053,0.11030252958859395,6.78963916567,0.12481906249453187
ElasticNet,0.2,49.333333333333336,10.0,7.0,0.44591072010426847,0.10707531294340032,7.921245693281666,0.12116712307281376
HGBR,0.02,5.0,0.6666666666666666,1.1547005383792517,0.02150537634408602,0.03724840446384682,1.3066666666666669,0.0421505376344086
HGBR,0.04,10.0,2.3333333333333335,1.1547005383792515,0.1181166503747149,0.04214769173636863,1.3066666666666666,0.04769460309263904
HGBR,0.06,15.0,3.3333333333333335,1.1547005383792515,0.19452590420332352,0.12027433400921228,1.3066666666666666,0.13610322146897047
HGBR,0.08,20.0,3.6666666666666665,0.5773502691896258,0.25008145975887913,0.2164711209429265,0.6533333333333334,0.24496013349843018
HGBR,0.1,25.0,5.333333333333333,2.081665999466133,0.30188986640599547,0.17181954554654966,2.35562683330314,0.19443211931174562
HGBR,0.12,29.666666666666668,6.666666666666667,2.309401076758503,0.38905180840664705,0.24054866801842456,2.6133333333333333,0.27220644293794094
HGBR,0.14,34.666666666666664,7.0,2.6457513110645907,0.39980449657869005,0.23234699496470673,2.9939494540378155,0.26292537617301714
HGBR,0.16,39.666666666666664,8.666666666666666,3.2145502536643185,0.496415770609319,0.2918286965492752,3.6376060503822805,0.33023525795956393
HGBR,0.18,44.666666666666664,9.666666666666666,4.509249752822894,0.5267188009123492,0.27035741704323435,5.102696454925681,0.3059382179143536
HGBR,0.2,49.333333333333336,10.666666666666666,5.131601439446884,0.5583251873574454,0.24053989562050798,5.806953685979518,0.2721965160351958
Hybrid (guarded),0.02,5.0,3.0,1.7320508075688772,0.138970348647768,0.024302328261928408,1.96,0.027500673297359675
Hybrid (guarded),0.04,10.0,4.666666666666667,2.309401076758503,0.2362333007494298,0.08429538347273725,2.6133333333333333,0.09538920618527807
Hybrid (guarded),0.06,15.0,5.666666666666667,3.214550253664318,0.267188009123493,0.05788299127533947,3.6376060503822805,0.06550077076486328
Hybrid (guarded),0.08,20.0,6.333333333333333,3.7859388972001824,0.28804170739654605,0.03990297786836472,4.28419316921064,0.04515447022698537
Hybrid (guarded),0.1,25.0,7.666666666666667,4.932882862316247,0.32974910394265233,0.006208067410641128,5.582082446940786,0.007025089605734762
Hybrid (guarded),0.12,29.666666666666668,9.333333333333334,6.429100507328636,0.3815575105897686,0.04570698287388327,7.275212100764561,0.051722320177520965
Hybrid (guarded),0.14,34.666666666666664,10.666666666666666,6.658328118479393,0.46871945259042036,0.027129401928402585,7.534607561851587,0.0306998083123809
Hybrid (guarded),0.16,39.666666666666664,11.0,7.0,0.47882046269143047,0.024750365086261793,7.921245693281666,0.028007674692385753
Hybrid (guarded),0.18,44.666666666666664,11.333333333333334,7.234178138070234,0.48957315086347347,0.009043133976134187,8.18624320294589,0.010233269437460288
Hybrid (guarded),0.2,49.333333333333336,12.0,7.810249675906654,0.5110785272075594,0.0331864298347672,8.838129515532872,0.037553980629149136
Persistence,0.02,5.0,1.3333333333333333,1.5275252316519465,0.04105571847507331,0.04608866171701381,1.728557523228866,0.05215423044785876
Persistence,0.04,10.0,2.6666666666666665,2.3094010767585034,0.08341479309221245,0.07234507180907353,2.6133333333333337,0.08186615549968236
Persistence,0.06,15.0,4.333333333333333,3.7859388972001824,0.13587487781036167,0.11970893360509414,4.28419316921064,0.13546341068095613
Persistence,0.08,20.0,5.0,3.605551275463989,0.20218312153796025,0.04898407699374324,4.08006535895362,0.05543070127515233
Persistence,0.1,25.0,6.0,4.58257569495584,0.2337895079830564,0.08018371690482305,5.185672569686598,0.09073641745766368
Persistence,0.12,29.666666666666668,7.0,5.196152422706632,0.26409253828608664,0.08493764957286283,5.88,0.09611599869664386
Persistence,0.14,34.666666666666664,8.666666666666666,5.8594652770823155,0.36200716845878134,0.049664539285129115,6.63060915586025,0.056200716845878164
Persistence,0.16,39.666666666666664,11.0,6.928203230275509,0.47947214076246336,0.023044330858506924,7.84,0.026077115223929387
Persistence,0.18,44.666666666666664,12.0,7.810249675906654,0.5110785272075594,0.0331864298347672,8.838129515532872,0.037553980629149136
Persistence,0.2,49.333333333333336,12.333333333333334,8.144527815247077,0.5218312153796024,0.05149468203648293,9.216400840048378,0.05827171832977137
TCN,0.02,5.0,1.6666666666666667,2.0816659994661326,0.051156728576083416,0.06277709940435086,2.35562683330314,0.07103897547048992
TCN,0.04,10.0,2.3333333333333335,3.2145502536643185,0.07135874877810362,0.0970108779582647,3.6376060503822805,0.10977814274691108
TCN,0.06,15.0,3.0,4.358898943540674,0.09156076898012382,0.1316434062013738,4.932558497710224,0.14896853777450872
TCN,0.08,20.0,3.6666666666666665,4.725815626252609,0.11241446725317693,0.14253325726144828,5.347763810956668,0.16129156431880784
TCN,0.1,25.0,5.666666666666667,5.507570547286102,0.2645812968393613,0.1461129232736358,6.232402782590712,0.16534233774486884
TCN,0.12,29.666666666666668,7.0,6.928203230275509,0.3504398826979472,0.22085343627485352,7.84,0.24991919013409147
TCN,0.14,34.666666666666664,7.333333333333333,6.6583281184793925,0.40599543825350276,0.28803157082285064,7.534607561851587,0.32593840570137983
TCN,0.16,39.666666666666664,7.666666666666667,6.3508529610858835,0.41674812642554576,0.2708028209565016,7.1866666666666665,0.30644223989003067
TCN,0.18,44.666666666666664,8.0,6.082762530298219,0.42750081459758876,0.25377129802810733,6.883293785197122,0.2871692573690918
TCN,0.2,49.333333333333336,8.0,6.082762530298219,0.42750081459758876,0.25377129802810733,6.883293785197122,0.2871692573690918
