horizon,tau_mgL,budget_r,k,event_count,model,display_model,tp,precision,recall,notes
1,15,0.05,39,141,persistence,Persistence,30,0.7692,0.2128,Immediate triage baseline
1,15,0.05,39,141,enet_a0.1_l0.5,ElasticNet,27,0.6923,0.1915,Immediate triage baseline
1,15,0.1,77,141,persistence,Persistence,50,0.6494,0.3546,Immediate triage baseline
1,15,0.1,77,141,enet_a0.1_l0.5,ElasticNet,44,0.5714,0.3121,Immediate triage baseline
3,16,0.05,38,73,persistence,Persistence,11,0.2895,0.1507,Intermediate-horizon linear leader
3,16,0.05,38,73,enet_a1.0_l0.2,ElasticNet,16,0.4211,0.2192,Intermediate-horizon linear leader
3,16,0.1,76,73,persistence,Persistence,21,0.2763,0.2877,Intermediate-horizon linear leader
3,16,0.1,76,73,enet_a0.01_l0.2,ElasticNet,23,0.3026,0.3151,Intermediate-horizon linear leader
5,16,0.05,38,71,persistence,Persistence,15,0.3947,0.2113,Extended-horizon comparison
5,16,0.05,38,71,enet,ElasticNet,8,0.2105,0.1127,Extended-horizon comparison
5,16,0.05,38,71,tcn,TCN,15,0.3947,0.2113,Extended-horizon comparison
5,16,0.05,38,71,hybrid_rank_v2,HybridRank v2,17,0.4474,0.2394,Extended-horizon comparison
5,16,0.1,75,71,persistence,Persistence,23,0.3067,0.3239,Guarded hybrid improvement
5,16,0.1,75,71,enet,ElasticNet,19,0.2533,0.2676,Guarded hybrid improvement
5,16,0.1,75,71,hybrid_paper_fixed,Hybrid paper-fixed,21,0.28,0.2958,Guarded hybrid improvement
5,16,0.1,75,71,hybrid_rank_v2,HybridRank v2,26,0.3467,0.3662,Guarded hybrid improvement
