model,tau,budget_r,n,k,events,TP,precision,recall
hybrid_rank_v2,15,0.01,747,8,134,3,0.375,0.022388059701492536
hybrid_rank_v2,15,0.02,747,15,134,6,0.4,0.04477611940298507
hybrid_rank_v2,15,0.03,747,23,134,9,0.391304347826087,0.06716417910447761
hybrid_rank_v2,15,0.04,747,30,134,11,0.36666666666666664,0.08208955223880597
hybrid_rank_v2,15,0.05,747,38,134,15,0.39473684210526316,0.11194029850746269
hybrid_rank_v2,15,0.06,747,45,134,18,0.4,0.13432835820895522
hybrid_rank_v2,15,0.07,747,53,134,20,0.37735849056603776,0.14925373134328357
hybrid_rank_v2,15,0.08,747,60,134,21,0.35,0.15671641791044777
hybrid_rank_v2,15,0.09,747,68,134,22,0.3235294117647059,0.16417910447761194
hybrid_rank_v2,15,0.1,747,75,134,25,0.3333333333333333,0.1865671641791045
hybrid_rank_v2,15,0.11,747,83,134,26,0.3132530120481928,0.19402985074626866
hybrid_rank_v2,15,0.12,747,90,134,28,0.3111111111111111,0.208955223880597
hybrid_rank_v2,15,0.13,747,98,134,28,0.2857142857142857,0.208955223880597
hybrid_rank_v2,15,0.14,747,105,134,28,0.26666666666666666,0.208955223880597
hybrid_rank_v2,15,0.15,747,113,134,30,0.26548672566371684,0.22388059701492538
hybrid_rank_v2,15,0.16,747,120,134,32,0.26666666666666666,0.23880597014925373
hybrid_rank_v2,15,0.17,747,127,134,34,0.2677165354330709,0.2537313432835821
hybrid_rank_v2,15,0.18,747,135,134,35,0.25925925925925924,0.26119402985074625
hybrid_rank_v2,15,0.19,747,142,134,37,0.2605633802816901,0.27611940298507465
hybrid_rank_v2,15,0.2,747,150,134,38,0.25333333333333335,0.2835820895522388
hybrid_rank_v2,16,0.01,747,8,71,3,0.375,0.04225352112676056
hybrid_rank_v2,16,0.02,747,15,71,6,0.4,0.08450704225352113
hybrid_rank_v2,16,0.03,747,23,71,10,0.43478260869565216,0.14084507042253522
hybrid_rank_v2,16,0.04,747,30,71,14,0.4666666666666667,0.19718309859154928
hybrid_rank_v2,16,0.05,747,38,71,17,0.4473684210526316,0.23943661971830985
hybrid_rank_v2,16,0.06,747,45,71,19,0.4222222222222222,0.2676056338028169
hybrid_rank_v2,16,0.07,747,53,71,22,0.41509433962264153,0.30985915492957744
hybrid_rank_v2,16,0.08,747,60,71,23,0.38333333333333336,0.323943661971831
hybrid_rank_v2,16,0.09,747,68,71,23,0.3382352941176471,0.323943661971831
hybrid_rank_v2,16,0.1,747,75,71,23,0.30666666666666664,0.323943661971831
hybrid_rank_v2,16,0.11,747,83,71,24,0.2891566265060241,0.3380281690140845
hybrid_rank_v2,16,0.12,747,90,71,24,0.26666666666666666,0.3380281690140845
hybrid_rank_v2,16,0.13,747,98,71,27,0.2755102040816326,0.38028169014084506
hybrid_rank_v2,16,0.14,747,105,71,29,0.2761904761904762,0.4084507042253521
hybrid_rank_v2,16,0.15,747,113,71,29,0.25663716814159293,0.4084507042253521
hybrid_rank_v2,16,0.16,747,120,71,30,0.25,0.4225352112676056
hybrid_rank_v2,16,0.17,747,127,71,31,0.2440944881889764,0.43661971830985913
hybrid_rank_v2,16,0.18,747,135,71,31,0.22962962962962963,0.43661971830985913
hybrid_rank_v2,16,0.19,747,142,71,31,0.21830985915492956,0.43661971830985913
hybrid_rank_v2,16,0.2,747,150,71,31,0.20666666666666667,0.43661971830985913
hybrid_rank_v2,17,0.01,747,8,29,2,0.25,0.06896551724137931
hybrid_rank_v2,17,0.02,747,15,29,4,0.26666666666666666,0.13793103448275862
hybrid_rank_v2,17,0.03,747,23,29,7,0.30434782608695654,0.2413793103448276
hybrid_rank_v2,17,0.04,747,30,29,7,0.23333333333333334,0.2413793103448276
hybrid_rank_v2,17,0.05,747,38,29,10,0.2631578947368421,0.3448275862068966
hybrid_rank_v2,17,0.06,747,45,29,12,0.26666666666666666,0.41379310344827586
hybrid_rank_v2,17,0.07,747,53,29,13,0.24528301886792453,0.4482758620689655
hybrid_rank_v2,17,0.08,747,60,29,13,0.21666666666666667,0.4482758620689655
hybrid_rank_v2,17,0.09,747,68,29,13,0.19117647058823528,0.4482758620689655
hybrid_rank_v2,17,0.1,747,75,29,14,0.18666666666666668,0.4827586206896552
hybrid_rank_v2,17,0.11,747,83,29,14,0.1686746987951807,0.4827586206896552
hybrid_rank_v2,17,0.12,747,90,29,14,0.15555555555555556,0.4827586206896552
hybrid_rank_v2,17,0.13,747,98,29,14,0.14285714285714285,0.4827586206896552
hybrid_rank_v2,17,0.14,747,105,29,14,0.13333333333333333,0.4827586206896552
hybrid_rank_v2,17,0.15,747,113,29,14,0.12389380530973451,0.4827586206896552
hybrid_rank_v2,17,0.16,747,120,29,15,0.125,0.5172413793103449
hybrid_rank_v2,17,0.17,747,127,29,15,0.11811023622047244,0.5172413793103449
hybrid_rank_v2,17,0.18,747,135,29,15,0.1111111111111111,0.5172413793103449
hybrid_rank_v2,17,0.19,747,142,29,15,0.1056338028169014,0.5172413793103449
hybrid_rank_v2,17,0.2,747,150,29,15,0.1,0.5172413793103449
tcn,15,0.01,747,8,134,8,1.0,0.05970149253731343
tcn,15,0.02,747,15,134,11,0.7333333333333333,0.08208955223880597
tcn,15,0.03,747,23,134,15,0.6521739130434783,0.11194029850746269
tcn,15,0.04,747,30,134,17,0.5666666666666667,0.12686567164179105
tcn,15,0.05,747,38,134,19,0.5,0.1417910447761194
tcn,15,0.06,747,45,134,20,0.4444444444444444,0.14925373134328357
tcn,15,0.07,747,53,134,21,0.39622641509433965,0.15671641791044777
tcn,15,0.08,747,60,134,23,0.38333333333333336,0.17164179104477612
tcn,15,0.09,747,68,134,28,0.4117647058823529,0.208955223880597
tcn,15,0.1,747,75,134,29,0.38666666666666666,0.21641791044776118
tcn,15,0.11,747,83,134,31,0.37349397590361444,0.23134328358208955
tcn,15,0.12,747,90,134,33,0.36666666666666664,0.2462686567164179
tcn,15,0.13,747,98,134,33,0.336734693877551,0.2462686567164179
tcn,15,0.14,747,105,134,33,0.3142857142857143,0.2462686567164179
tcn,15,0.15,747,113,134,36,0.3185840707964602,0.26865671641791045
tcn,15,0.16,747,120,134,37,0.30833333333333335,0.27611940298507465
tcn,15,0.17,747,127,134,38,0.2992125984251969,0.2835820895522388
tcn,15,0.18,747,135,134,40,0.2962962962962963,0.29850746268656714
tcn,15,0.19,747,142,134,42,0.29577464788732394,0.31343283582089554
tcn,15,0.2,747,150,134,43,0.2866666666666667,0.3208955223880597
tcn,16,0.01,747,8,71,6,0.75,0.08450704225352113
tcn,16,0.02,747,15,71,8,0.5333333333333333,0.11267605633802817
tcn,16,0.03,747,23,71,9,0.391304347826087,0.1267605633802817
tcn,16,0.04,747,30,71,14,0.4666666666666667,0.19718309859154928
tcn,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
tcn,16,0.06,747,45,71,15,0.3333333333333333,0.2112676056338028
tcn,16,0.07,747,53,71,15,0.2830188679245283,0.2112676056338028
tcn,16,0.08,747,60,71,16,0.26666666666666666,0.22535211267605634
tcn,16,0.09,747,68,71,17,0.25,0.23943661971830985
tcn,16,0.1,747,75,71,18,0.24,0.2535211267605634
