fold,tau,budget_r,rank_objective,objective_1,objective_2,objective_3,baseline_prec_floor,w_tcn,w_y_pred_enet,w_y_pred_persist,w_y_pred_hgbr,train_prec_r_target,train_rec_r_target,train_tp_r_target
1,15,0.05,policy_specific,0.25333333333333335,0.76,19.0,0.4,0.0,0.4375,0.12500000000000003,0.4375,0.76,0.25333333333333335,19.0
1,15,0.1,policy_specific,0.3333333333333333,0.5,25.0,0.26,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,25.0
1,16,0.05,policy_specific,0.35,0.56,14.0,0.48,0.0,0.4375,0.12500000000000003,0.4375,0.56,0.35,14.0
1,16,0.1,policy_specific,0.5,0.4,20.0,0.32,0.0,0.0,0.28571428571428575,0.7142857142857143,0.4,0.5,20.0
1,17,0.05,policy_specific,0.5384615384615384,0.28,7.0,0.24,0.0,0.2,0.2,0.6,0.28,0.5384615384615384,7.0
1,17,0.1,policy_specific,0.6923076923076923,0.18,9.0,0.12,0.0,0.0,0.5,0.5,0.18,0.6923076923076923,9.0
2,15,0.05,policy_specific,0.19298245614035087,0.88,22.0,0.72,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.23076923076923075,0.88,0.19298245614035087,22.0
2,15,0.1,policy_specific,0.32456140350877194,0.74,37.0,0.48,0.08333333333333333,0.0,0.16666666666666666,0.7499999999999999,0.74,0.32456140350877194,37.0
2,16,0.05,policy_specific,0.265625,0.68,17.0,0.6,0.4285714285714286,0.0,0.28571428571428575,0.28571428571428575,0.68,0.265625,17.0
2,16,0.1,policy_specific,0.421875,0.54,27.0,0.42,0.0,0.0,0.625,0.37499999999999994,0.54,0.421875,27.0
2,17,0.05,policy_specific,0.32142857142857145,0.36,9.0,0.28,0.052631578947368425,0.15789473684210525,0.2631578947368421,0.5263157894736842,0.36,0.32142857142857145,9.0
2,17,0.1,policy_specific,0.4642857142857143,0.26,13.0,0.16,0.0,0.0,0.2,0.8,0.26,0.4642857142857143,13.0
3,15,0.05,policy_specific,0.20253164556962025,0.64,16.0,0.52,0.4285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.64,0.20253164556962025,16.0
3,15,0.1,policy_specific,0.2911392405063291,0.46,23.0,0.36,0.1,0.2,0.3,0.4,0.46,0.2911392405063291,23.0
3,16,0.05,policy_specific,0.2631578947368421,0.4,10.0,0.28,0.0,0.06666666666666667,0.6,0.3333333333333333,0.4,0.2631578947368421,10.0
3,16,0.1,policy_specific,0.4473684210526316,0.34,17.0,0.2,0.0,0.0,0.6,0.4,0.34,0.4473684210526316,17.0
3,17,0.05,policy_specific,0.29411764705882354,0.2,5.0,0.12,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2,0.29411764705882354,5.0
3,17,0.1,policy_specific,0.35294117647058826,0.12,6.0,0.08,0.0,0.0,0.25,0.7499999999999999,0.12,0.35294117647058826,6.0
