model,scope,MAE,RMSE,MASE1,MASE7,n
hybrid_point,overall,1.712735274475903,2.2115470845958685,1.103976127253051,0.8148628618472348,747
hybrid_point,fold1,1.7732579255595682,2.266975176053631,1.3260001981479081,0.8312253795047715,249
hybrid_point,fold2,1.5201724360061895,2.0252286581931798,0.9869440496403153,0.7818454080290949,249
hybrid_point,fold3,1.8447754618619516,2.3306852973627987,1.043809636617679,0.8255962835733646,249
enet,overall,1.7680670149154971,2.2587175270745177,1.139641253927905,0.8411878760146418,747
enet,fold1,1.913446425642634,2.4530602860128345,1.4308298319021429,0.896939586955433,249
enet,fold2,1.5313485905693087,1.996947006879909,0.9941999628398137,0.7875934566830718,249
enet,fold3,1.8594060285345486,2.302197316965007,1.0520878942147422,0.8321439321740658,249
persistence,overall,2.074511405454582,2.6661279903766575,1.3371658197656016,0.9869839933674077,747
persistence,fold1,1.8831325247584576,2.4280667983065554,1.4081618161557197,0.8827297625392989,249
persistence,fold2,1.9924900254092541,2.599431346572229,1.2935875746515229,1.0247647832654538,249
persistence,fold3,2.347911666196034,2.9448537621805033,1.3284938323219568,1.0507658985302832,249
hgbr,overall,1.795447704749488,2.2905010714971454,1.1572899988185572,0.8542147036919691,747
hgbr,fold1,1.952904332312604,2.4809488334712206,1.4603355181921795,0.9154357193981287,249
hgbr,fold2,1.4711067266536326,1.956169256206161,0.9550890384982175,0.7566102448065782,249
hgbr,fold3,1.9623320552822263,2.3994749847331893,1.1103254308684223,0.8782066356968506,249
