model,scope,tau,budget_r,n,k,events,TP,precision,recall
enet,overall,15,0.05,747,38,134,16,0.42105263157894735,0.11940298507462686
hgbr,overall,15,0.05,747,38,134,19,0.5,0.1417910447761194
hybrid_paper_fixed,overall,15,0.05,747,38,134,21,0.5526315789473685,0.15671641791044777
hybrid_rank_v2,overall,15,0.05,747,38,134,21,0.5526315789473685,0.15671641791044777
persistence,overall,15,0.05,747,38,134,19,0.5,0.1417910447761194
tcn,overall,15,0.05,747,38,134,19,0.5,0.1417910447761194
enet,overall,15,0.1,747,75,134,33,0.44,0.2462686567164179
hgbr,overall,15,0.1,747,75,134,30,0.4,0.22388059701492538
hybrid_paper_fixed,overall,15,0.1,747,75,134,27,0.36,0.20149253731343283
hybrid_rank_v2,overall,15,0.1,747,75,134,33,0.44,0.2462686567164179
persistence,overall,15,0.1,747,75,134,32,0.4266666666666667,0.23880597014925373
tcn,overall,15,0.1,747,75,134,29,0.38666666666666666,0.21641791044776118
enet,overall,16,0.05,747,38,71,8,0.21052631578947367,0.11267605633802817
hgbr,overall,16,0.05,747,38,71,14,0.3684210526315789,0.19718309859154928
hybrid_paper_fixed,overall,16,0.05,747,38,71,17,0.4473684210526316,0.23943661971830985
hybrid_rank_v2,overall,16,0.05,747,38,71,17,0.4473684210526316,0.23943661971830985
persistence,overall,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
tcn,overall,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
enet,overall,16,0.1,747,75,71,19,0.25333333333333335,0.2676056338028169
hgbr,overall,16,0.1,747,75,71,22,0.29333333333333333,0.30985915492957744
hybrid_paper_fixed,overall,16,0.1,747,75,71,21,0.28,0.29577464788732394
hybrid_rank_v2,overall,16,0.1,747,75,71,26,0.3466666666666667,0.36619718309859156
persistence,overall,16,0.1,747,75,71,23,0.30666666666666664,0.323943661971831
tcn,overall,16,0.1,747,75,71,18,0.24,0.2535211267605634
