model,scope,tau,budget_r,n,k,events,TP,precision,recall
hybrid_rank_v2,overall,15,0.05,735,37,133,16,0.43243243243243246,0.12030075187969924
hybrid_rank_v2,overall,15,0.1,735,74,133,32,0.43243243243243246,0.24060150375939848
hybrid_rank_v2,overall,16,0.05,735,37,70,16,0.43243243243243246,0.22857142857142856
hybrid_rank_v2,overall,16,0.1,735,74,70,19,0.25675675675675674,0.2714285714285714
hybrid_rank_v2,overall,17,0.05,735,37,29,7,0.1891891891891892,0.2413793103448276
hybrid_rank_v2,overall,17,0.1,735,74,29,13,0.17567567567567569,0.4482758620689655
hybrid_rank_v2,fold1,15,0.05,241,13,59,9,0.6923076923076923,0.15254237288135594
hybrid_rank_v2,fold1,15,0.1,241,25,59,12,0.48,0.2033898305084746
hybrid_rank_v2,fold1,16,0.05,241,13,31,5,0.38461538461538464,0.16129032258064516
hybrid_rank_v2,fold1,16,0.1,241,25,31,7,0.28,0.22580645161290322
hybrid_rank_v2,fold1,17,0.05,241,13,16,2,0.15384615384615385,0.125
hybrid_rank_v2,fold1,17,0.1,241,25,16,4,0.16,0.25
hybrid_rank_v2,fold2,15,0.05,245,13,19,3,0.23076923076923078,0.15789473684210525
hybrid_rank_v2,fold2,15,0.1,245,25,19,5,0.2,0.2631578947368421
hybrid_rank_v2,fold2,16,0.05,245,13,6,1,0.07692307692307693,0.16666666666666666
hybrid_rank_v2,fold2,16,0.1,245,25,6,2,0.08,0.3333333333333333
hybrid_rank_v2,fold2,17,0.05,245,13,1,1,0.07692307692307693,1.0
hybrid_rank_v2,fold2,17,0.1,245,25,1,1,0.04,1.0
hybrid_rank_v2,fold3,15,0.05,249,13,55,6,0.46153846153846156,0.10909090909090909
hybrid_rank_v2,fold3,15,0.1,249,25,55,15,0.6,0.2727272727272727
hybrid_rank_v2,fold3,16,0.05,249,13,33,7,0.5384615384615384,0.21212121212121213
hybrid_rank_v2,fold3,16,0.1,249,25,33,13,0.52,0.3939393939393939
hybrid_rank_v2,fold3,17,0.05,249,13,12,5,0.38461538461538464,0.4166666666666667
hybrid_rank_v2,fold3,17,0.1,249,25,12,7,0.28,0.5833333333333334
hybrid_paper_fixed,overall,15,0.05,735,37,133,16,0.43243243243243246,0.12030075187969924
