n_points,model,MAE,RMSE,MASE1,MASE7,n
120,hybrid_point,1.6027511256488525,2.1189027780936054,1.184715714967136,0.7977749733967353,120
120,enet,1.9231483956517537,2.5664913098499835,1.42154579714932,0.9572538341272014,120
120,persistence,1.6854999701182047,2.1802759308065323,1.245881703166661,0.8389634998864128,120
120,hgbr,1.6302786581873874,2.1198445088341056,1.2050634157865434,0.8114768989091675,120
138,hybrid_point,1.6083043693682542,2.0955659234587745,1.1953436382088838,0.8183324335691359,138
138,enet,1.9438120644177423,2.5529551407478546,1.4447037695906473,0.9890444168231922,138
138,persistence,1.6599999718044116,2.1681264616548863,1.2337654759358492,0.8446360294258208,138
138,hgbr,1.6638309256849346,2.1282530875793784,1.23661276432017,0.8465852834797478,138
156,hybrid_point,1.822726528151651,2.359956913783207,1.3670228395201394,0.8674105682706873,156
156,enet,2.1305105695609066,2.727967483639609,1.597857146119565,1.0138807743822862,156
156,persistence,1.7785897193810878,2.350338179239765,1.3339207670364097,0.8464064660172617,156
156,hgbr,1.9623662956422703,2.563313162759906,1.4717509753741407,0.9338632193960608,156
174,hybrid_point,1.7811903196064431,2.295867362879017,1.328043449628178,0.848427782320501,174
174,enet,2.0684645950703238,2.6439288884278547,1.542233205532973,0.9852640730675796,174
174,persistence,1.7716091693132774,2.3312516650502193,1.320899808801771,0.8438640285173105,174
174,hgbr,1.9174476868459869,2.497412998033024,1.4296360206376812,0.9133307489711502,174
192,hybrid_point,1.8068459368986363,2.3330033802808474,1.311448115888436,0.8657510887306193,192
192,enet,2.076104545285543,2.6512954833691857,1.5068818755934068,0.9947664788092996,192
192,persistence,1.8319791456063588,2.386457420549361,1.329690345916387,0.8777936776186089,192
192,hgbr,1.9612376749291756,2.5420530513866044,1.4235090004464372,0.9397279633281189,192
210,hybrid_point,1.7791887057117757,2.2949246842926945,1.3113179712901137,0.8283457262333414,210
210,enet,2.0457101837290446,2.601366242894697,1.50775267365578,0.9524314550580851,210
210,persistence,1.8697142737252372,2.4474114459235277,1.378038158876853,0.8704921647409969,210
210,hgbr,1.9046282423156566,2.479169261582156,1.4037708505889217,0.88674723457978,210
228,hybrid_point,1.7530425905491114,2.2645425742836163,1.3061795664405658,0.8298293068005939,228
228,enet,2.0091056061474983,2.563711527147599,1.4969702982225013,0.9510406201348128,228
228,persistence,1.8376315685740687,2.399142375042592,1.3692062123634585,0.8698707829038264,228
228,hgbr,1.8806297788902169,2.4407977244010333,1.4012438730633474,0.8902246381111542,228
246,hybrid_point,1.7368586811236466,2.22836141337273,1.315517285070364,0.8181426555997048,246
246,enet,1.9641501610952234,2.508587198692487,1.48767053731907,0.9252077018467775,246
246,persistence,1.8933333226335727,2.432726214120148,1.4340330272079607,0.8918496187109016,246
246,hgbr,1.8384391831253335,2.3843598042766456,1.3924555574017043,0.8659918805067338,246
264,hybrid_point,1.6946694022003457,2.1809129027981555,1.2840253963611288,0.8128745102781615,264
264,enet,1.9063467988811842,2.4559033698892234,1.4444101609771085,0.9144088626069886,264
264,persistence,1.8758333198951953,2.404178635138301,1.4212905590662754,0.8997725982976114,264
264,hgbr,1.778462398866561,2.324013516354794,1.3475140836631636,0.8530671230918182,264
282,hybrid_point,1.6436979136342904,2.1311863527320973,1.2578407233597395,0.8182042245263511,282
282,enet,1.8481703720022433,2.3977454789966743,1.4143133834557928,0.9199870569119195,282
282,persistence,1.8312056622606643,2.3585943466191623,1.4013311300892026,0.9115423195527702,282
282,hgbr,1.7259334145678222,2.268857879570757,1.320771485224233,0.8591396261665986,282
300,hybrid_point,1.6532984831302013,2.13140426571434,1.2737013901017342,0.813940104028127,300
