model,scope,tau,budget_r,n,k,events,TP,precision,recall
persistence,overall,15.0,0.05,762,39,141,30,0.7692307692307693,0.2127659574468085
persistence,overall,15.0,0.1,762,77,141,50,0.6493506493506493,0.3546099290780142
persistence,overall,16.0,0.05,762,39,74,20,0.5128205128205128,0.2702702702702703
persistence,overall,16.0,0.1,762,77,74,33,0.42857142857142855,0.44594594594594594
persistence,overall,17.0,0.05,762,39,30,9,0.23076923076923078,0.3
persistence,overall,17.0,0.1,762,77,30,13,0.16883116883116883,0.43333333333333335
persistence,fold1,15.0,0.05,254,13,66,10,0.7692307692307693,0.15151515151515152
persistence,fold1,15.0,0.1,254,26,66,20,0.7692307692307693,0.30303030303030304
persistence,fold1,16.0,0.05,254,13,34,5,0.38461538461538464,0.14705882352941177
persistence,fold1,16.0,0.1,254,26,34,11,0.4230769230769231,0.3235294117647059
persistence,fold1,17.0,0.05,254,13,17,4,0.3076923076923077,0.23529411764705882
persistence,fold1,17.0,0.1,254,26,17,6,0.23076923076923078,0.35294117647058826
persistence,fold2,15.0,0.05,254,13,19,3,0.23076923076923078,0.15789473684210525
persistence,fold2,15.0,0.1,254,26,19,5,0.19230769230769232,0.2631578947368421
persistence,fold2,16.0,0.05,254,13,6,1,0.07692307692307693,0.16666666666666666
persistence,fold2,16.0,0.1,254,26,6,2,0.07692307692307693,0.3333333333333333
persistence,fold2,17.0,0.05,254,13,1,1,0.07692307692307693,1.0
persistence,fold2,17.0,0.1,254,26,1,1,0.038461538461538464,1.0
persistence,fold3,15.0,0.05,254,13,56,10,0.7692307692307693,0.17857142857142858
persistence,fold3,15.0,0.1,254,26,56,18,0.6923076923076923,0.32142857142857145
persistence,fold3,16.0,0.05,254,13,34,9,0.6923076923076923,0.2647058823529412
persistence,fold3,16.0,0.1,254,26,34,16,0.6153846153846154,0.47058823529411764
persistence,fold3,17.0,0.05,254,13,12,4,0.3076923076923077,0.3333333333333333
persistence,fold3,17.0,0.1,254,26,12,5,0.19230769230769232,0.4166666666666667
enet_a0.01_l0.2,overall,15.0,0.05,762,39,141,25,0.6410256410256411,0.1773049645390071
enet_a0.01_l0.2,overall,15.0,0.1,762,77,141,45,0.5844155844155844,0.3191489361702128
enet_a0.01_l0.2,overall,16.0,0.05,762,39,74,15,0.38461538461538464,0.20270270270270271
enet_a0.01_l0.2,overall,16.0,0.1,762,77,74,29,0.37662337662337664,0.3918918918918919
enet_a0.01_l0.2,overall,17.0,0.05,762,39,30,5,0.1282051282051282,0.16666666666666666
enet_a0.01_l0.2,overall,17.0,0.1,762,77,30,14,0.18181818181818182,0.4666666666666667
enet_a0.01_l0.2,fold1,15.0,0.05,254,13,66,12,0.9230769230769231,0.18181818181818182
enet_a0.01_l0.2,fold1,15.0,0.1,254,26,66,18,0.6923076923076923,0.2727272727272727
enet_a0.01_l0.2,fold1,16.0,0.05,254,13,34,5,0.38461538461538464,0.14705882352941177
enet_a0.01_l0.2,fold1,16.0,0.1,254,26,34,10,0.38461538461538464,0.29411764705882354
enet_a0.01_l0.2,fold1,17.0,0.05,254,13,17,1,0.07692307692307693,0.058823529411764705
enet_a0.01_l0.2,fold1,17.0,0.1,254,26,17,4,0.15384615384615385,0.23529411764705882
enet_a0.01_l0.2,fold2,15.0,0.05,254,13,19,2,0.15384615384615385,0.10526315789473684
enet_a0.01_l0.2,fold2,15.0,0.1,254,26,19,4,0.15384615384615385,0.21052631578947367
enet_a0.01_l0.2,fold2,16.0,0.05,254,13,6,0,0.0,0.0
enet_a0.01_l0.2,fold2,16.0,0.1,254,26,6,1,0.038461538461538464,0.16666666666666666
enet_a0.01_l0.2,fold2,17.0,0.05,254,13,1,0,0.0,0.0
enet_a0.01_l0.2,fold2,17.0,0.1,254,26,1,0,0.0,0.0
enet_a0.01_l0.2,fold3,15.0,0.05,254,13,56,10,0.7692307692307693,0.17857142857142858
enet_a0.01_l0.2,fold3,15.0,0.1,254,26,56,19,0.7307692307692307,0.3392857142857143
enet_a0.01_l0.2,fold3,16.0,0.05,254,13,34,8,0.6153846153846154,0.23529411764705882
enet_a0.01_l0.2,fold3,16.0,0.1,254,26,34,13,0.5,0.38235294117647056
enet_a0.01_l0.2,fold3,17.0,0.05,254,13,12,3,0.23076923076923078,0.25
enet_a0.01_l0.2,fold3,17.0,0.1,254,26,12,4,0.15384615384615385,0.3333333333333333
enet_a0.1_l0.2,overall,15.0,0.05,762,39,141,26,0.6666666666666666,0.18439716312056736
enet_a0.1_l0.2,overall,15.0,0.1,762,77,141,44,0.5714285714285714,0.3120567375886525
enet_a0.1_l0.2,overall,16.0,0.05,762,39,74,16,0.41025641025641024,0.21621621621621623
enet_a0.1_l0.2,overall,16.0,0.1,762,77,74,29,0.37662337662337664,0.3918918918918919
enet_a0.1_l0.2,overall,17.0,0.05,762,39,30,5,0.1282051282051282,0.16666666666666666
enet_a0.1_l0.2,overall,17.0,0.1,762,77,30,12,0.15584415584415584,0.4
enet_a0.1_l0.2,fold1,15.0,0.05,254,13,66,11,0.8461538461538461,0.16666666666666666
enet_a0.1_l0.2,fold1,15.0,0.1,254,26,66,17,0.6538461538461539,0.25757575757575757
enet_a0.1_l0.2,fold1,16.0,0.05,254,13,34,5,0.38461538461538464,0.14705882352941177
enet_a0.1_l0.2,fold1,16.0,0.1,254,26,34,9,0.34615384615384615,0.2647058823529412
enet_a0.1_l0.2,fold1,17.0,0.05,254,13,17,2,0.15384615384615385,0.11764705882352941
enet_a0.1_l0.2,fold1,17.0,0.1,254,26,17,3,0.11538461538461539,0.17647058823529413
enet_a0.1_l0.2,fold2,15.0,0.05,254,13,19,1,0.07692307692307693,0.05263157894736842
enet_a0.1_l0.2,fold2,15.0,0.1,254,26,19,5,0.19230769230769232,0.2631578947368421
enet_a0.1_l0.2,fold2,16.0,0.05,254,13,6,0,0.0,0.0
enet_a0.1_l0.2,fold2,16.0,0.1,254,26,6,1,0.038461538461538464,0.16666666666666666
enet_a0.1_l0.2,fold2,17.0,0.05,254,13,1,0,0.0,0.0
enet_a0.1_l0.2,fold2,17.0,0.1,254,26,1,0,0.0,0.0
enet_a0.1_l0.2,fold3,15.0,0.05,254,13,56,9,0.6923076923076923,0.16071428571428573
enet_a0.1_l0.2,fold3,15.0,0.1,254,26,56,19,0.7307692307692307,0.3392857142857143
enet_a0.1_l0.2,fold3,16.0,0.05,254,13,34,7,0.5384615384615384,0.20588235294117646
enet_a0.1_l0.2,fold3,16.0,0.1,254,26,34,13,0.5,0.38235294117647056
enet_a0.1_l0.2,fold3,17.0,0.05,254,13,12,2,0.15384615384615385,0.16666666666666666
enet_a0.1_l0.2,fold3,17.0,0.1,254,26,12,4,0.15384615384615385,0.3333333333333333
enet_a1.0_l0.2,overall,15.0,0.05,762,39,141,27,0.6923076923076923,0.19148936170212766
enet_a1.0_l0.2,overall,15.0,0.1,762,77,141,44,0.5714285714285714,0.3120567375886525
enet_a1.0_l0.2,overall,16.0,0.05,762,39,74,17,0.4358974358974359,0.22972972972972974
enet_a1.0_l0.2,overall,16.0,0.1,762,77,74,25,0.3246753246753247,0.33783783783783783
enet_a1.0_l0.2,overall,17.0,0.05,762,39,30,7,0.1794871794871795,0.23333333333333334
enet_a1.0_l0.2,overall,17.0,0.1,762,77,30,8,0.1038961038961039,0.26666666666666666
enet_a1.0_l0.2,fold1,15.0,0.05,254,13,66,10,0.7692307692307693,0.15151515151515152
enet_a1.0_l0.2,fold1,15.0,0.1,254,26,66,17,0.6538461538461539,0.25757575757575757
enet_a1.0_l0.2,fold1,16.0,0.05,254,13,34,6,0.46153846153846156,0.17647058823529413
enet_a1.0_l0.2,fold1,16.0,0.1,254,26,34,10,0.38461538461538464,0.29411764705882354
enet_a1.0_l0.2,fold1,17.0,0.05,254,13,17,2,0.15384615384615385,0.11764705882352941
enet_a1.0_l0.2,fold1,17.0,0.1,254,26,17,3,0.11538461538461539,0.17647058823529413
enet_a1.0_l0.2,fold2,15.0,0.05,254,13,19,2,0.15384615384615385,0.10526315789473684
enet_a1.0_l0.2,fold2,15.0,0.1,254,26,19,5,0.19230769230769232,0.2631578947368421
enet_a1.0_l0.2,fold2,16.0,0.05,254,13,6,0,0.0,0.0
enet_a1.0_l0.2,fold2,16.0,0.1,254,26,6,2,0.07692307692307693,0.3333333333333333
enet_a1.0_l0.2,fold2,17.0,0.05,254,13,1,0,0.0,0.0
enet_a1.0_l0.2,fold2,17.0,0.1,254,26,1,0,0.0,0.0
enet_a1.0_l0.2,fold3,15.0,0.05,254,13,56,9,0.6923076923076923,0.16071428571428573
enet_a1.0_l0.2,fold3,15.0,0.1,254,26,56,18,0.6923076923076923,0.32142857142857145
enet_a1.0_l0.2,fold3,16.0,0.05,254,13,34,7,0.5384615384615384,0.20588235294117646
enet_a1.0_l0.2,fold3,16.0,0.1,254,26,34,13,0.5,0.38235294117647056
