model,scope,tau,budget_r,n,k,events,TP,precision,recall,score
bcr_tcn_H5_v2,overall,15.0,0.05,747,38,134,5,0.13157894736842105,0.03731343283582089,p_tau15
bcr_tcn_H5_v2,overall,15.0,0.1,747,75,134,11,0.14666666666666667,0.08208955223880597,p_tau15
bcr_tcn_H5_v2,overall,16.0,0.05,747,38,71,2,0.05263157894736842,0.028169014084507043,p_tau16
bcr_tcn_H5_v2,overall,16.0,0.1,747,75,71,7,0.09333333333333334,0.09859154929577464,p_tau16
bcr_tcn_H5_v2,overall,17.0,0.05,747,38,29,3,0.07894736842105263,0.10344827586206896,p_tau17
bcr_tcn_H5_v2,overall,17.0,0.1,747,75,29,3,0.04,0.10344827586206896,p_tau17
bcr_tcn_H5_v2,fold1,15.0,0.05,249,13,59,1,0.07692307692307693,0.01694915254237288,p_tau15
bcr_tcn_H5_v2,fold1,15.0,0.1,249,25,59,2,0.08,0.03389830508474576,p_tau15
bcr_tcn_H5_v2,fold1,16.0,0.05,249,13,31,2,0.15384615384615385,0.06451612903225806,p_tau16
bcr_tcn_H5_v2,fold1,16.0,0.1,249,25,31,2,0.08,0.06451612903225806,p_tau16
bcr_tcn_H5_v2,fold1,17.0,0.05,249,13,16,2,0.15384615384615385,0.125,p_tau17
bcr_tcn_H5_v2,fold1,17.0,0.1,249,25,16,2,0.08,0.125,p_tau17
bcr_tcn_H5_v2,fold2,15.0,0.05,249,13,20,2,0.15384615384615385,0.1,p_tau15
bcr_tcn_H5_v2,fold2,15.0,0.1,249,25,20,4,0.16,0.2,p_tau15
bcr_tcn_H5_v2,fold2,16.0,0.05,249,13,7,0,0.0,0.0,p_tau16
bcr_tcn_H5_v2,fold2,16.0,0.1,249,25,7,2,0.08,0.2857142857142857,p_tau16
bcr_tcn_H5_v2,fold2,17.0,0.05,249,13,1,0,0.0,0.0,p_tau17
bcr_tcn_H5_v2,fold2,17.0,0.1,249,25,1,1,0.04,1.0,p_tau17
bcr_tcn_H5_v2,fold3,15.0,0.05,249,13,55,1,0.07692307692307693,0.01818181818181818,p_tau15
bcr_tcn_H5_v2,fold3,15.0,0.1,249,25,55,3,0.12,0.05454545454545454,p_tau15
bcr_tcn_H5_v2,fold3,16.0,0.05,249,13,33,0,0.0,0.0,p_tau16
bcr_tcn_H5_v2,fold3,16.0,0.1,249,25,33,1,0.04,0.030303030303030304,p_tau16
bcr_tcn_H5_v2,fold3,17.0,0.05,249,13,12,0,0.0,0.0,p_tau17
bcr_tcn_H5_v2,fold3,17.0,0.1,249,25,12,0,0.0,0.0,p_tau17
