model,scope,tau,budget_r,n,k,events,TP,precision,recall
persistence,overall,15.0,0.05,759,38,140,20,0.5263157894736842,0.14285714285714285
persistence,overall,15.0,0.1,759,76,140,37,0.4868421052631579,0.2642857142857143
persistence,overall,16.0,0.05,759,38,73,11,0.2894736842105263,0.1506849315068493
persistence,overall,16.0,0.1,759,76,73,21,0.27631578947368424,0.2876712328767123
persistence,overall,17.0,0.05,759,38,29,3,0.07894736842105263,0.10344827586206896
persistence,overall,17.0,0.1,759,76,29,6,0.07894736842105263,0.20689655172413793
persistence,fold1,15.0,0.05,253,13,65,5,0.38461538461538464,0.07692307692307693
persistence,fold1,15.0,0.1,253,26,65,11,0.4230769230769231,0.16923076923076924
persistence,fold1,16.0,0.05,253,13,33,3,0.23076923076923078,0.09090909090909091
persistence,fold1,16.0,0.1,253,26,33,6,0.23076923076923078,0.18181818181818182
persistence,fold1,17.0,0.05,253,13,16,2,0.15384615384615385,0.125
persistence,fold1,17.0,0.1,253,26,16,4,0.15384615384615385,0.25
persistence,fold2,15.0,0.05,253,13,19,3,0.23076923076923078,0.15789473684210525
persistence,fold2,15.0,0.1,253,26,19,5,0.19230769230769232,0.2631578947368421
persistence,fold2,16.0,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
persistence,fold2,16.0,0.1,253,26,6,2,0.07692307692307693,0.3333333333333333
persistence,fold2,17.0,0.05,253,13,1,0,0.0,0.0
persistence,fold2,17.0,0.1,253,26,1,0,0.0,0.0
persistence,fold3,15.0,0.05,253,13,56,8,0.6153846153846154,0.14285714285714285
persistence,fold3,15.0,0.1,253,26,56,15,0.5769230769230769,0.26785714285714285
persistence,fold3,16.0,0.05,253,13,34,5,0.38461538461538464,0.14705882352941177
persistence,fold3,16.0,0.1,253,26,34,10,0.38461538461538464,0.29411764705882354
persistence,fold3,17.0,0.05,253,13,12,0,0.0,0.0
persistence,fold3,17.0,0.1,253,26,12,2,0.07692307692307693,0.16666666666666666
enet_a0.1_l0.5,overall,15.0,0.05,759,38,140,23,0.6052631578947368,0.16428571428571428
enet_a0.1_l0.5,overall,15.0,0.1,759,76,140,31,0.40789473684210525,0.22142857142857142
enet_a0.1_l0.5,overall,16.0,0.05,759,38,73,13,0.34210526315789475,0.1780821917808219
enet_a0.1_l0.5,overall,16.0,0.1,759,76,73,18,0.23684210526315788,0.2465753424657534
enet_a0.1_l0.5,overall,17.0,0.05,759,38,29,7,0.18421052631578946,0.2413793103448276
enet_a0.1_l0.5,overall,17.0,0.1,759,76,29,9,0.11842105263157894,0.3103448275862069
enet_a0.1_l0.5,fold1,15.0,0.05,253,13,65,6,0.46153846153846156,0.09230769230769231
enet_a0.1_l0.5,fold1,15.0,0.1,253,26,65,9,0.34615384615384615,0.13846153846153847
enet_a0.1_l0.5,fold1,16.0,0.05,253,13,33,1,0.07692307692307693,0.030303030303030304
enet_a0.1_l0.5,fold1,16.0,0.1,253,26,33,1,0.038461538461538464,0.030303030303030304
enet_a0.1_l0.5,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a0.1_l0.5,fold1,17.0,0.1,253,26,16,1,0.038461538461538464,0.0625
enet_a0.1_l0.5,fold2,15.0,0.05,253,13,19,2,0.15384615384615385,0.10526315789473684
enet_a0.1_l0.5,fold2,15.0,0.1,253,26,19,3,0.11538461538461539,0.15789473684210525
enet_a0.1_l0.5,fold2,16.0,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
enet_a0.1_l0.5,fold2,16.0,0.1,253,26,6,1,0.038461538461538464,0.16666666666666666
enet_a0.1_l0.5,fold2,17.0,0.05,253,13,1,1,0.07692307692307693,1.0
enet_a0.1_l0.5,fold2,17.0,0.1,253,26,1,1,0.038461538461538464,1.0
enet_a0.1_l0.5,fold3,15.0,0.05,253,13,56,11,0.8461538461538461,0.19642857142857142
enet_a0.1_l0.5,fold3,15.0,0.1,253,26,56,18,0.6923076923076923,0.32142857142857145
enet_a0.1_l0.5,fold3,16.0,0.05,253,13,34,8,0.6153846153846154,0.23529411764705882
enet_a0.1_l0.5,fold3,16.0,0.1,253,26,34,14,0.5384615384615384,0.4117647058823529
enet_a0.1_l0.5,fold3,17.0,0.05,253,13,12,4,0.3076923076923077,0.3333333333333333
enet_a0.1_l0.5,fold3,17.0,0.1,253,26,12,6,0.23076923076923078,0.5
hgbr_optuna,overall,15.0,0.05,759,38,140,21,0.5526315789473685,0.15
hgbr_optuna,overall,15.0,0.1,759,76,140,28,0.3684210526315789,0.2
hgbr_optuna,overall,16.0,0.05,759,38,73,16,0.42105263157894735,0.2191780821917808
hgbr_optuna,overall,16.0,0.1,759,76,73,19,0.25,0.2602739726027397
hgbr_optuna,overall,17.0,0.05,759,38,29,8,0.21052631578947367,0.27586206896551724
