model,scope,tau,budget_r,n,k,events,TP,precision,recall,score
hybridB_tcn_persist_H5_v2,overall,15.0,0.05,747,38,134,18,0.47368421052631576,0.13432835820895522,p_tau15
hybridB_tcn_persist_H5_v2,overall,15.0,0.1,747,75,134,25,0.3333333333333333,0.1865671641791045,p_tau15
hybridB_tcn_persist_H5_v2,overall,16.0,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028,p_tau16
hybridB_tcn_persist_H5_v2,overall,16.0,0.1,747,75,71,21,0.28,0.29577464788732394,p_tau16
hybridB_tcn_persist_H5_v2,overall,17.0,0.05,747,38,29,4,0.10526315789473684,0.13793103448275862,p_tau17
hybridB_tcn_persist_H5_v2,overall,17.0,0.1,747,75,29,8,0.10666666666666667,0.27586206896551724,p_tau17
hybridB_tcn_persist_H5_v2,fold1,15.0,0.05,249,13,59,10,0.7692307692307693,0.1694915254237288,p_tau15
hybridB_tcn_persist_H5_v2,fold1,15.0,0.1,249,25,59,16,0.64,0.2711864406779661,p_tau15
hybridB_tcn_persist_H5_v2,fold1,16.0,0.05,249,13,31,3,0.23076923076923078,0.0967741935483871,p_tau16
hybridB_tcn_persist_H5_v2,fold1,16.0,0.1,249,25,31,5,0.2,0.16129032258064516,p_tau16
hybridB_tcn_persist_H5_v2,fold1,17.0,0.05,249,13,16,1,0.07692307692307693,0.0625,p_tau17
hybridB_tcn_persist_H5_v2,fold1,17.0,0.1,249,25,16,2,0.08,0.125,p_tau17
hybridB_tcn_persist_H5_v2,fold2,15.0,0.05,249,13,20,4,0.3076923076923077,0.2,p_tau15
hybridB_tcn_persist_H5_v2,fold2,15.0,0.1,249,25,20,5,0.2,0.25,p_tau15
hybridB_tcn_persist_H5_v2,fold2,16.0,0.05,249,13,7,3,0.23076923076923078,0.42857142857142855,p_tau16
hybridB_tcn_persist_H5_v2,fold2,16.0,0.1,249,25,7,3,0.12,0.42857142857142855,p_tau16
hybridB_tcn_persist_H5_v2,fold2,17.0,0.05,249,13,1,0,0.0,0.0,p_tau17
hybridB_tcn_persist_H5_v2,fold2,17.0,0.1,249,25,1,1,0.04,1.0,p_tau17
hybridB_tcn_persist_H5_v2,fold3,15.0,0.05,249,13,55,2,0.15384615384615385,0.03636363636363636,p_tau15
hybridB_tcn_persist_H5_v2,fold3,15.0,0.1,249,25,55,8,0.32,0.14545454545454545,p_tau15
hybridB_tcn_persist_H5_v2,fold3,16.0,0.05,249,13,33,8,0.6153846153846154,0.24242424242424243,p_tau16
hybridB_tcn_persist_H5_v2,fold3,16.0,0.1,249,25,33,12,0.48,0.36363636363636365,p_tau16
hybridB_tcn_persist_H5_v2,fold3,17.0,0.05,249,13,12,3,0.23076923076923078,0.25,p_tau17
hybridB_tcn_persist_H5_v2,fold3,17.0,0.1,249,25,12,5,0.2,0.4166666666666667,p_tau17
