model,tau,r,n,k,events,tp,precision,recall,source
bcr_tcn_v11,15,0.05,747,38,134,19,0.5,0.1417910447761194,recomputed_from_preds
bcr_tcn_v11,15,0.1,747,75,134,29,0.38666666666666666,0.21641791044776118,recomputed_from_preds
bcr_tcn_v11,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028,recomputed_from_preds
bcr_tcn_v11,16,0.1,747,75,71,18,0.24,0.2535211267605634,recomputed_from_preds
enet_a0.1_l0.5,15,0.05,747,38,134,16,0.42105263157894735,0.11940298507462686,recomputed_from_preds
enet_a0.1_l0.5,15,0.1,747,75,134,33,0.44,0.2462686567164179,recomputed_from_preds
enet_a0.1_l0.5,16,0.05,747,38,71,8,0.21052631578947367,0.11267605633802817,recomputed_from_preds
enet_a0.1_l0.5,16,0.1,747,75,71,19,0.25333333333333335,0.2676056338028169,recomputed_from_preds
hybrid_rank_ens,15,0.05,747,38,134,21,0.5526315789473685,0.15671641791044777,recomputed_from_preds
hybrid_rank_ens,15,0.1,747,75,134,27,0.36,0.20149253731343283,recomputed_from_preds
hybrid_rank_ens,16,0.05,747,38,71,17,0.4473684210526316,0.23943661971830985,recomputed_from_preds
hybrid_rank_ens,16,0.1,747,75,71,21,0.28,0.29577464788732394,recomputed_from_preds
persistence,15,0.05,747,38,134,19,0.5,0.1417910447761194,recomputed_from_preds
persistence,15,0.1,747,75,134,32,0.4266666666666667,0.23880597014925373,recomputed_from_preds
persistence,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028,recomputed_from_preds
persistence,16,0.1,747,75,71,23,0.30666666666666664,0.323943661971831,recomputed_from_preds
