horizon,model,fold,tau,budget_r,n,k,events,tp,precision,recall
1,persistence,1,15,0.05,254,13,66,10,0.7692307692307693,0.15151515151515152
1,persistence,2,15,0.05,254,13,19,3,0.23076923076923078,0.15789473684210525
1,persistence,3,15,0.05,254,13,56,10,0.7692307692307693,0.17857142857142858
1,enet,1,15,0.05,254,13,66,10,0.7692307692307693,0.15151515151515152
1,enet,2,15,0.05,254,13,19,1,0.07692307692307693,0.05263157894736842
1,enet,3,15,0.05,254,13,56,9,0.6923076923076923,0.16071428571428573
1,persistence,1,16,0.1,254,26,34,11,0.4230769230769231,0.3235294117647059
1,persistence,2,16,0.1,254,26,6,2,0.07692307692307693,0.3333333333333333
1,persistence,3,16,0.1,254,26,34,16,0.6153846153846154,0.47058823529411764
1,enet,1,16,0.1,254,26,34,11,0.4230769230769231,0.3235294117647059
1,enet,2,16,0.1,254,26,6,0,0.0,0.0
1,enet,3,16,0.1,254,26,34,13,0.5,0.38235294117647056
3,persistence,1,15,0.1,253,26,65,11,0.4230769230769231,0.16923076923076924
3,persistence,2,15,0.1,253,26,19,5,0.19230769230769232,0.2631578947368421
3,persistence,3,15,0.1,253,26,56,15,0.5769230769230769,0.26785714285714285
3,enet,1,15,0.1,253,26,65,9,0.34615384615384615,0.13846153846153847
3,enet,2,15,0.1,253,26,19,3,0.11538461538461539,0.15789473684210525
3,enet,3,15,0.1,253,26,56,18,0.6923076923076923,0.32142857142857145
3,hgbr,1,15,0.1,253,26,65,11,0.4230769230769231,0.16923076923076924
3,hgbr,2,15,0.1,253,26,19,3,0.11538461538461539,0.15789473684210525
3,hgbr,3,15,0.1,253,26,56,20,0.7692307692307693,0.35714285714285715
3,persistence,1,16,0.05,253,13,33,3,0.23076923076923078,0.09090909090909091
3,persistence,2,16,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
3,persistence,3,16,0.05,253,13,34,5,0.38461538461538464,0.14705882352941177
3,enet,1,16,0.05,253,13,33,1,0.07692307692307693,0.030303030303030304
3,enet,2,16,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
3,enet,3,16,0.05,253,13,34,8,0.6153846153846154,0.23529411764705882
3,hgbr,1,16,0.05,253,13,33,0,0.0,0.0
3,hgbr,2,16,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
3,hgbr,3,16,0.05,253,13,34,8,0.6153846153846154,0.23529411764705882
5,hybrid_rank_v2,fold1,15,0.1,241,25,59,12,0.48,0.2033898305084746
5,hybrid_rank_v2,fold2,15,0.1,245,25,19,5,0.2,0.2631578947368421
5,hybrid_rank_v2,fold3,15,0.1,249,25,55,15,0.6,0.2727272727272727
5,hybrid_paper_fixed,fold1,15,0.1,241,25,59,14,0.56,0.2372881355932203
5,hybrid_paper_fixed,fold2,15,0.1,245,25,19,3,0.12,0.1578947368421052
5,hybrid_paper_fixed,fold3,15,0.1,249,25,55,10,0.4,0.1818181818181818
5,tcn,fold1,15,0.1,241,25,59,15,0.6,0.2542372881355932
5,tcn,fold2,15,0.1,245,25,19,5,0.2,0.2631578947368421
5,tcn,fold3,15,0.1,249,25,55,4,0.16,0.0727272727272727
5,enet,fold1,15,0.1,241,25,59,10,0.4,0.1694915254237288
5,enet,fold2,15,0.1,245,25,19,3,0.12,0.1578947368421052
5,enet,fold3,15,0.1,249,25,55,17,0.68,0.3090909090909091
5,persistence,fold1,15,0.1,241,25,59,13,0.52,0.2203389830508474
5,persistence,fold2,15,0.1,245,25,19,2,0.08,0.1052631578947368
5,persistence,fold3,15,0.1,249,25,55,12,0.48,0.2181818181818181
5,hgbr,fold1,15,0.1,241,25,59,11,0.44,0.1864406779661017
5,hgbr,fold2,15,0.1,245,25,19,7,0.28,0.3684210526315789
5,hgbr,fold3,15,0.1,249,25,55,11,0.44,0.2
5,hybrid_rank_v2,fold1,16,0.1,241,25,31,7,0.28,0.2258064516129032
5,hybrid_rank_v2,fold2,16,0.1,245,25,6,2,0.08,0.3333333333333333
5,hybrid_rank_v2,fold3,16,0.1,249,25,33,13,0.52,0.3939393939393939
5,hybrid_paper_fixed,fold1,16,0.1,241,25,31,6,0.24,0.1935483870967742
5,hybrid_paper_fixed,fold2,16,0.1,245,25,6,2,0.08,0.3333333333333333
5,hybrid_paper_fixed,fold3,16,0.1,249,25,33,13,0.52,0.3939393939393939
5,tcn,fold1,16,0.1,241,25,31,3,0.12,0.0967741935483871
5,tcn,fold2,16,0.1,245,25,6,2,0.08,0.3333333333333333
5,tcn,fold3,16,0.1,249,25,33,12,0.48,0.3636363636363636
5,enet,fold1,16,0.1,241,25,31,5,0.2,0.1612903225806451
5,enet,fold2,16,0.1,245,25,6,1,0.04,0.1666666666666666
5,enet,fold3,16,0.1,249,25,33,12,0.48,0.3636363636363636
5,persistence,fold1,16,0.1,241,25,31,10,0.4,0.3225806451612903
5,persistence,fold2,16,0.1,245,25,6,1,0.04,0.1666666666666666
5,persistence,fold3,16,0.1,249,25,33,7,0.28,0.2121212121212121
5,hgbr,fold1,16,0.1,241,25,31,6,0.24,0.1935483870967742
5,hgbr,fold2,16,0.1,245,25,6,3,0.12,0.5
5,hgbr,fold3,16,0.1,249,25,33,7,0.28,0.2121212121212121
