model,tau,budget_r,folds,k_mean,tp_mean,precision_mean,recall_mean,tp_sd,precision_sd,recall_sd,tp_ci95,precision_ci95,recall_ci95
hgbr,15,0.05,3,13.0,5.333333333333333,0.4102564102564103,0.1404373800448733,1.1547005383792517,0.08882311833686547,0.06081134241706931,1.3066666666666669,0.10051282051282048,0.06881451203198385
hybrid_paper_fixed,15,0.05,3,13.0,6.0,0.4615384615384615,0.13984267293812336,3.0,0.2307692307692308,0.026765933288010187,3.394819582835,0.26113996791038463,0.030288504826330734
hybrid_rank_v2,15,0.05,3,13.0,6.0,0.4615384615384615,0.13984267293812336,3.0,0.2307692307692308,0.026765933288010187,3.394819582835,0.26113996791038463,0.030288504826330734
tcn,15,0.05,3,13.0,5.333333333333333,0.4102564102564102,0.1273105722704295,4.041451884327381,0.3108809141790293,0.06328264489177757,4.573333333333334,0.35179487179487196,0.07161105404406658
persistence,15,0.05,3,13.0,4.666666666666667,0.358974358974359,0.09345551861162917,3.214550253664318,0.24727309643571682,0.03567577956537854,3.637606050382281,0.27981585002940623,0.04037094503381726
enet,15,0.05,3,13.0,5.0,0.3846153846153846,0.0884437596302003,4.58257569495584,0.3525058226889108,0.08261906390211882,5.185672569686598,0.39889788997589215,0.09349227201680306
hgbr,15,0.1,3,25.0,9.666666666666666,0.3866666666666667,0.2516205768658935,2.3094010767585034,0.0923760430703401,0.10137912584858179,2.6133333333333337,0.10453333333333331,0.11472128057381979
hybrid_rank_v2,15,0.1,3,25.0,10.666666666666666,0.4266666666666667,0.24642499932419648,5.131601439446884,0.20526405757787536,0.0375754250146182,5.806953685979518,0.23227814743918074,0.04252059622432465
enet,15,0.1,3,25.0,10.0,0.4000000000000001,0.21215905711891436,7.0,0.28,0.08414546524556295,7.921245693281666,0.3168498277312667,0.09521955774079965
tcn,15,0.1,3,25.0,8.0,0.32,0.19670748519990267,6.082762530298219,0.2433105012119288,0.10746261730993904,6.883293785197122,0.27533175140788485,0.12160539922216151
hybrid_paper_fixed,15,0.1,3,25.0,9.0,0.36000000000000004,0.1923336847511691,5.5677643628300215,0.2227105745132009,0.04072787488641702,6.300518497182064,0.2520207398872826,0.046087929077220785
persistence,15,0.1,3,25.0,9.0,0.36000000000000004,0.1812613197091341,6.082762530298219,0.2433105012119288,0.0658251759545201,6.883293785197122,0.2753317514078849,0.07448819879132144
hgbr,16,0.05,3,13.0,3.3333333333333335,0.2564102564102564,0.19452590420332352,1.1547005383792515,0.08882311833686554,0.1202743340092123,1.3066666666666666,0.10051282051282057,0.1361032214689705
hybrid_paper_fixed,16,0.05,3,13.0,4.333333333333333,0.3333333333333333,0.18002606712284128,3.0550504633038935,0.2350038817926072,0.027924899610968355,3.4571150464577314,0.26593192665059473,0.031599998682672284
hybrid_rank_v2,16,0.05,3,13.0,4.333333333333333,0.3333333333333333,0.18002606712284128,3.0550504633038935,0.2350038817926072,0.027924899610968355,3.4571150464577314,0.26593192665059473,0.031599998682672284
persistence,16,0.05,3,13.0,3.3333333333333335,0.2564102564102564,0.10426849136526554,2.8867513459481287,0.22205779584216373,0.09043133976134189,3.266666666666667,0.2512820512820513,0.10233269437460293
enet,16,0.05,3,13.0,2.6666666666666665,0.2051282051282051,0.0821114369501466,3.055050463303893,0.23500388179260714,0.09217732343402762,3.457115046457732,0.26593192665059473,0.1043084608957175
tcn,16,0.05,3,13.0,2.3333333333333335,0.1794871794871795,0.0713587487781036,3.2145502536643185,0.2472730964357168,0.09701087795826469,3.6376060503822805,0.2798158500294063,0.10977814274691107
hybrid_rank_v2,16,0.1,3,25.0,7.333333333333333,0.2933333333333334,0.3176930596285435,5.507570547286102,0.22030282189144407,0.08515066174147631,6.232402782590712,0.24929611130362847,0.09635704465710761
hybrid_paper_fixed,16,0.1,3,25.0,7.0,0.28,0.3069403714565005,5.5677643628300215,0.22271057451320087,0.10276954915403531,6.300518497182064,0.2520207398872826,0.11629469266241439
hgbr,16,0.1,3,25.0,5.333333333333333,0.21333333333333335,0.30188986640599547,2.081665999466133,0.08326663997864532,0.17181954554654966,2.35562683330314,0.0942250733321256,0.19443211931174562
tcn,16,0.1,3,25.0,5.666666666666667,0.22666666666666666,0.2645812968393613,5.507570547286102,0.22030282189144407,0.14611292327363576,6.232402782590712,0.24929611130362847,0.1653423377448688
persistence,16,0.1,3,25.0,6.0,0.24,0.23378950798305634,4.58257569495584,0.18330302779823363,0.08018371690482307,5.185672569686598,0.20742690278746395,0.09073641745766371
enet,16,0.1,3,25.0,6.0,0.24,0.23053111762789177,5.5677643628300215,0.22271057451320087,0.1153038644415905,6.300518497182064,0.2520207398872826,0.13047860566095454
