horizon,tau,budget_r,model,folds,k_mean,tp_mean,tp_sd,tp_ci95,tp_ci95_low,tp_ci95_high,precision_mean,precision_sd,precision_ci95,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95,recall_ci95_low,recall_ci95_high,tp_mean_sd,precision_mean_sd,recall_mean_sd,tp_ci95_range,precision_ci95_range,recall_ci95_range
1,15,0.05,enet,3,13.0,6.666666666666667,4.932882862316247,5.582082446940786,1.0845842197258806,12.248749113607452,0.5128205128205129,0.3794525278704805,0.4293909574569836,0.0834295553635293,0.9422114702774964,0.1216203387256018,0.0599228065873714,0.0678090390870808,0.05381129963852099,0.1894293778126826,6.67 ± 4.93,0.513 ± 0.379,0.122 ± 0.060,"[1.08, 12.25]","[0.083, 0.942]","[0.054, 0.189]"
1,15,0.05,persistence,3,13.0,7.666666666666667,4.041451884327381,4.573333333333334,3.093333333333333,12.240000000000002,0.5897435897435898,0.3108809141790293,0.3517948717948718,0.23794871794871797,0.9415384615384615,0.1626604389762284,0.0141437077762479,0.016005112044234,0.1466553269319944,0.1786655510204624,7.67 ± 4.04,0.590 ± 0.311,0.163 ± 0.014,"[3.09, 12.24]","[0.238, 0.942]","[0.147, 0.179]"
1,16,0.1,enet,3,26.0,8.0,7.0,7.921245693281666,0.07875430671833428,15.921245693281666,0.3076923076923077,0.2692307692307692,0.3046632958954487,0.0030290117968589936,0.6123556035877564,0.2352941176470588,0.2058823529411764,0.2329778145082842,0.0023163031387745947,0.468271932155343,8.00 ± 7.00,0.308 ± 0.269,0.235 ± 0.206,"[0.08, 15.92]","[0.003, 0.612]","[0.002, 0.468]"
1,16,0.1,persistence,3,26.0,9.666666666666666,7.094598884597588,8.028294408597079,1.6383722580695874,17.694961075263745,0.3717948717948718,0.272869187869138,0.3087805541768108,0.06301431761806103,0.6805754259716825,0.3758169934640523,0.0822205596431968,0.0930413219961259,0.28277567146792637,0.4688583154601782,9.67 ± 7.09,0.372 ± 0.273,0.376 ± 0.082,"[1.64, 17.69]","[0.063, 0.681]","[0.283, 0.469]"
3,15,0.1,enet,3,26.0,10.0,7.54983443527075,8.54344192933972,1.4565580706602805,18.54344192933972,0.3846153846153846,0.2903782475104134,0.3285939203592199,0.056021464256164666,0.7132093049746044,0.2059282822440717,0.1004970143889952,0.1137230774880705,0.09220520475600119,0.3196513597321422,10.00 ± 7.55,0.385 ± 0.290,0.206 ± 0.100,"[1.46, 18.54]","[0.056, 0.713]","[0.092, 0.320]"
3,15,0.1,hgbr,3,26.0,11.333333333333334,8.504900548115383,9.624200976935407,1.7091323563979266,20.95753431026874,0.4358974358974359,0.3271115595428993,0.3701615760359772,0.06573585986145869,0.8060590119334131,0.2280894544052438,0.1119071578416531,0.1266348703000837,0.10145458410516012,0.3547243247053275,11.33 ± 8.50,0.436 ± 0.327,0.228 ± 0.112,"[1.71, 20.96]","[0.066, 0.806]","[0.101, 0.355]"
3,15,0.1,persistence,3,26.0,10.333333333333334,5.033222956847166,5.695627952893147,4.637705380440187,16.02896128622648,0.3974358974358974,0.1935854983402756,0.2190626135728133,0.17837328386308413,0.6164985110087107,0.2334152689415847,0.0556350450307159,0.0629569801207271,0.17045828882085762,0.2963722490623118,10.33 ± 5.03,0.397 ± 0.194,0.233 ± 0.056,"[4.64, 16.03]","[0.178, 0.616]","[0.170, 0.296]"
3,16,0.05,enet,3,13.0,3.333333333333333,4.041451884327381,4.573333333333334,0.0,7.906666666666667,0.2564102564102564,0.3108809141790293,0.3517948717948718,0.0,0.6082051282051282,0.1440879382055852,0.1043440736544784,0.1180764348650003,0.026011503340584885,0.2621643730705855,3.33 ± 4.04,0.256 ± 0.311,0.144 ± 0.104,"[0.00, 7.91]","[0.000, 0.608]","[0.026, 0.262]"
3,16,0.05,hgbr,3,13.0,3.0,4.358898943540674,4.932558497710224,0.0,7.932558497710224,0.2307692307692307,0.335299918733898,0.3794275767469403,0.0,0.610196807516171,0.1339869281045751,0.1210033240625726,0.136928151371917,0.0,0.27091507947649207,3.00 ± 4.36,0.231 ± 0.335,0.134 ± 0.121,"[0.00, 7.93]","[0.000, 0.610]","[0.000, 0.271]"
3,16,0.05,persistence,3,13.0,3.0,2.0,2.263213055223333,0.7367869447766671,5.263213055223333,0.2307692307692307,0.1538461538461538,0.1740933119402564,0.0566759188289743,0.40486254270948707,0.1348781937017231,0.0393202031838035,0.044494998589809,0.0903831951119141,0.1793731922915321,3.00 ± 2.00,0.231 ± 0.154,0.135 ± 0.039,"[0.74, 5.26]","[0.057, 0.405]","[0.090, 0.179]"
5,15,0.1,enet,3,25.0,10.0,7.0,7.921245693281666,2.0787543067183343,17.921245693281666,0.4000000000000001,0.28,0.3168498277312667,0.08315017226873339,0.7168498277312667,0.2121590571189143,0.0841454652455629,0.0952195577407996,0.11693949937811471,0.3073786148597139,10.00 ± 7.00,0.400 ± 0.280,0.212 ± 0.084,"[2.08, 17.92]","[0.083, 0.717]","[0.117, 0.307]"
5,15,0.1,hgbr,3,25.0,9.666666666666666,2.309401076758504,2.6133333333333337,7.053333333333333,12.28,0.3866666666666667,0.0923760430703401,0.1045333333333333,0.2821333333333334,0.4912,0.2516205768658935,0.1013791258485817,0.1147212805738197,0.1368992962920738,0.3663418574397132,9.67 ± 2.31,0.387 ± 0.092,0.252 ± 0.101,"[7.05, 12.28]","[0.282, 0.491]","[0.137, 0.366]"
5,15,0.1,hybrid_paper_fixed,3,25.0,9.0,5.5677643628300215,6.300518497182064,2.699481502817936,15.300518497182065,0.36,0.2227105745132009,0.2520207398872826,0.10797926011271741,0.6120207398872826,0.1923336847511691,0.040727874886417,0.0460879290772207,0.1462457556739484,0.2384216138283898,9.00 ± 5.57,0.360 ± 0.223,0.192 ± 0.041,"[2.70, 15.30]","[0.108, 0.612]","[0.146, 0.238]"
5,15,0.1,hybrid_rank_v2,3,25.0,10.666666666666666,5.131601439446884,5.806953685979518,4.859712980687148,16.473620352646183,0.4266666666666667,0.2052640575778753,0.2322781474391807,0.19438851922748598,0.6589448141058474,0.2464249993241964,0.0375754250146182,0.0425205962243246,0.2039044030998718,0.288945595548521,10.67 ± 5.13,0.427 ± 0.205,0.246 ± 0.038,"[4.86, 16.47]","[0.194, 0.659]","[0.204, 0.289]"
5,15,0.1,persistence,3,25.0,9.0,6.082762530298219,6.883293785197122,2.1167062148028783,15.883293785197122,0.36,0.2433105012119288,0.2753317514078849,0.08466824859211508,0.6353317514078849,0.1812613197091341,0.0658251759545201,0.0744881987913214,0.10677312091781269,0.25574951850045546,9.00 ± 6.08,0.360 ± 0.243,0.181 ± 0.066,"[2.12, 15.88]","[0.085, 0.635]","[0.107, 0.256]"
5,15,0.1,tcn,3,25.0,8.0,6.082762530298219,6.883293785197122,1.1167062148028783,14.883293785197122,0.32,0.2433105012119288,0.2753317514078848,0.04466824859211521,0.5953317514078849,0.1967074851999026,0.107462617309939,0.1216053992221615,0.07510208597774111,0.3183128844220641,8.00 ± 6.08,0.320 ± 0.243,0.197 ± 0.107,"[1.12, 14.88]","[0.045, 0.595]","[0.075, 0.318]"
5,16,0.1,enet,3,25.0,6.0,5.5677643628300215,6.300518497182064,0.0,12.300518497182065,0.24,0.2227105745132008,0.2520207398872826,0.0,0.49202073988728257,0.2305311176278917,0.1153038644415905,0.1304786056609545,0.10005251196693718,0.3610097232888462,6.00 ± 5.57,0.240 ± 0.223,0.231 ± 0.115,"[0.00, 12.30]","[0.000, 0.492]","[0.100, 0.361]"
5,16,0.1,hgbr,3,25.0,5.333333333333333,2.081665999466133,2.35562683330314,2.977706500030193,7.688960166636473,0.2133333333333333,0.0832666399786453,0.0942250733321256,0.1191082600012077,0.30755840666545886,0.3018898664059954,0.1718195455465496,0.1944321193117456,0.10745774709424982,0.496321985717741,5.33 ± 2.08,0.213 ± 0.083,0.302 ± 0.172,"[2.98, 7.69]","[0.119, 0.308]","[0.107, 0.496]"
5,16,0.1,hybrid_paper_fixed,3,25.0,7.0,5.5677643628300215,6.300518497182064,0.6994815028179362,13.300518497182065,0.28,0.2227105745132008,0.2520207398872826,0.027979260112717452,0.5320207398872826,0.3069403714565005,0.1027695491540353,0.1162946926624143,0.1906456787940862,0.42323506411891476,7.00 ± 5.57,0.280 ± 0.223,0.307 ± 0.103,"[0.70, 13.30]","[0.028, 0.532]","[0.191, 0.423]"
5,16,0.1,hybrid_rank_v2,3,25.0,7.333333333333333,5.507570547286102,6.232402782590712,1.1009305507426213,13.565736115924045,0.2933333333333334,0.220302821891444,0.2492961113036284,0.044037222029705,0.5426294446369617,0.3176930596285435,0.0851506617414763,0.0963570446571076,0.2213360149714359,0.4140501042856511,7.33 ± 5.51,0.293 ± 0.220,0.318 ± 0.085,"[1.10, 13.57]","[0.044, 0.543]","[0.221, 0.414]"
