model,budget_r,k_mean,tp_mean,tp_sd,recall_mean,recall_sd,tp_ci95,recall_ci95
ElasticNet,0.02,5.0,1.3333333333333333,2.309401076758504,0.0404040404040404,0.0699818508108637,2.6133333333333337,0.0791919191919192
ElasticNet,0.04,10.0,2.0,2.6457513110645907,0.0612577386770935,0.0798119421562112,2.9939494540378155,0.0903157147253334
ElasticNet,0.06,15.0,3.0,3.605551275463989,0.0922124470511567,0.1087389841859673,4.08006535895362,0.1230497443107023
ElasticNet,0.08,20.0,4.666666666666667,4.725815626252609,0.1888237210817855,0.1048980312966832,5.347763810956668,0.1187032969489396
ElasticNet,0.1,25.0,6.0,5.5677643628300215,0.2305311176278918,0.1153038644415905,6.300518497182064,0.1304786056609545
ElasticNet,0.12,29.666666666666668,7.0,5.5677643628300215,0.3069403714565005,0.1027695491540353,6.300518497182064,0.1162946926624143
ElasticNet,0.14,34.666666666666664,7.333333333333333,5.507570547286102,0.3176930596285435,0.0851506617414763,6.232402782590712,0.0963570446571076
ElasticNet,0.16,39.66666666666666,8.0,6.0,0.3385467579015966,0.0832115324521335,6.78963916567,0.0941627132954043
ElasticNet,0.18,44.66666666666666,9.0,6.0,0.4149560117302053,0.1103025295885939,6.78963916567,0.1248190624945318
ElasticNet,0.2,49.333333333333336,10.0,7.0,0.4459107201042684,0.1070753129434003,7.921245693281666,0.1211671230728137
HGBR,0.02,5.0,0.6666666666666666,1.1547005383792517,0.021505376344086,0.0372484044638468,1.3066666666666669,0.0421505376344086
HGBR,0.04,10.0,2.333333333333333,1.1547005383792517,0.1181166503747149,0.0421476917363686,1.3066666666666666,0.047694603092639
HGBR,0.06,15.0,3.333333333333333,1.1547005383792517,0.1945259042033235,0.1202743340092122,1.3066666666666666,0.1361032214689704
HGBR,0.08,20.0,3.6666666666666665,0.5773502691896258,0.2500814597588791,0.2164711209429265,0.6533333333333334,0.2449601334984301
HGBR,0.1,25.0,5.333333333333333,2.081665999466133,0.3018898664059954,0.1718195455465496,2.35562683330314,0.1944321193117456
HGBR,0.12,29.666666666666668,6.666666666666667,2.309401076758503,0.389051808406647,0.2405486680184245,2.6133333333333333,0.2722064429379409
HGBR,0.14,34.666666666666664,7.0,2.6457513110645907,0.39980449657869,0.2323469949647067,2.9939494540378155,0.2629253761730171
HGBR,0.16,39.66666666666666,8.666666666666666,3.2145502536643185,0.496415770609319,0.2918286965492752,3.637606050382281,0.3302352579595639
HGBR,0.18,44.66666666666666,9.666666666666666,4.509249752822894,0.5267188009123492,0.2703574170432343,5.102696454925681,0.3059382179143536
