model,scope,tau,budget_r,n,k,events,TP,precision,recall
persistence,overall,15.0,0.05,759,38,140,19,0.5,0.1357142857142857
persistence,overall,15.0,0.1,759,76,140,34,0.4473684210526316,0.24285714285714285
persistence,overall,16.0,0.05,759,38,73,14,0.3684210526315789,0.1917808219178082
persistence,overall,16.0,0.1,759,76,73,23,0.3026315789473684,0.3150684931506849
persistence,overall,17.0,0.05,759,38,29,4,0.10526315789473684,0.13793103448275862
persistence,overall,17.0,0.1,759,76,29,8,0.10526315789473684,0.27586206896551724
persistence,fold1,15.0,0.05,253,13,65,7,0.5384615384615384,0.1076923076923077
persistence,fold1,15.0,0.1,253,26,65,14,0.5384615384615384,0.2153846153846154
persistence,fold1,16.0,0.05,253,13,33,5,0.38461538461538464,0.15151515151515152
persistence,fold1,16.0,0.1,253,26,33,10,0.38461538461538464,0.30303030303030304
persistence,fold1,17.0,0.05,253,13,16,0,0.0,0.0
persistence,fold1,17.0,0.1,253,26,16,1,0.038461538461538464,0.0625
persistence,fold2,15.0,0.05,253,13,19,1,0.07692307692307693,0.05263157894736842
persistence,fold2,15.0,0.1,253,26,19,2,0.07692307692307693,0.10526315789473684
persistence,fold2,16.0,0.05,253,13,6,0,0.0,0.0
persistence,fold2,16.0,0.1,253,26,6,1,0.038461538461538464,0.16666666666666666
persistence,fold2,17.0,0.05,253,13,1,0,0.0,0.0
persistence,fold2,17.0,0.1,253,26,1,1,0.038461538461538464,1.0
persistence,fold3,15.0,0.05,253,13,56,6,0.46153846153846156,0.10714285714285714
persistence,fold3,15.0,0.1,253,26,56,13,0.5,0.23214285714285715
persistence,fold3,16.0,0.05,253,13,34,5,0.38461538461538464,0.14705882352941177
persistence,fold3,16.0,0.1,253,26,34,8,0.3076923076923077,0.23529411764705882
persistence,fold3,17.0,0.05,253,13,12,2,0.15384615384615385,0.16666666666666666
persistence,fold3,17.0,0.1,253,26,12,4,0.15384615384615385,0.3333333333333333
enet_a0.01_l0.2,overall,15.0,0.05,759,38,140,18,0.47368421052631576,0.12857142857142856
enet_a0.01_l0.2,overall,15.0,0.1,759,76,140,32,0.42105263157894735,0.22857142857142856
enet_a0.01_l0.2,overall,16.0,0.05,759,38,73,11,0.2894736842105263,0.1506849315068493
enet_a0.01_l0.2,overall,16.0,0.1,759,76,73,20,0.2631578947368421,0.273972602739726
enet_a0.01_l0.2,overall,17.0,0.05,759,38,29,8,0.21052631578947367,0.27586206896551724
enet_a0.01_l0.2,overall,17.0,0.1,759,76,29,10,0.13157894736842105,0.3448275862068966
enet_a0.01_l0.2,fold1,15.0,0.05,253,13,65,6,0.46153846153846156,0.09230769230769231
enet_a0.01_l0.2,fold1,15.0,0.1,253,26,65,12,0.46153846153846156,0.18461538461538463
enet_a0.01_l0.2,fold1,16.0,0.05,253,13,33,2,0.15384615384615385,0.06060606060606061
enet_a0.01_l0.2,fold1,16.0,0.1,253,26,33,6,0.23076923076923078,0.18181818181818182
enet_a0.01_l0.2,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a0.01_l0.2,fold1,17.0,0.1,253,26,16,4,0.15384615384615385,0.25
enet_a0.01_l0.2,fold2,15.0,0.05,253,13,19,3,0.23076923076923078,0.15789473684210525
enet_a0.01_l0.2,fold2,15.0,0.1,253,26,19,4,0.15384615384615385,0.21052631578947367
