model,scope,tau,budget_r,n,k,events,TP,precision,recall,score
bcr_tcn_v11_H5_v2,overall,15.0,0.05,747,38,134,19,0.5,0.1417910447761194,p_tau15
bcr_tcn_v11_H5_v2,overall,15.0,0.1,747,75,134,29,0.38666666666666666,0.21641791044776118,p_tau15
bcr_tcn_v11_H5_v2,overall,16.0,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028,p_tau16
bcr_tcn_v11_H5_v2,overall,16.0,0.1,747,75,71,18,0.24,0.2535211267605634,p_tau16
bcr_tcn_v11_H5_v2,overall,17.0,0.05,747,38,29,3,0.07894736842105263,0.10344827586206896,p_tau17
bcr_tcn_v11_H5_v2,overall,17.0,0.1,747,75,29,4,0.05333333333333334,0.13793103448275862,p_tau17
bcr_tcn_v11_H5_v2,fold1,15.0,0.05,249,13,59,10,0.7692307692307693,0.1694915254237288,p_tau15
bcr_tcn_v11_H5_v2,fold1,15.0,0.1,249,25,59,15,0.6,0.2542372881355932,p_tau15
bcr_tcn_v11_H5_v2,fold1,16.0,0.05,249,13,31,1,0.07692307692307693,0.03225806451612903,p_tau16
bcr_tcn_v11_H5_v2,fold1,16.0,0.1,249,25,31,3,0.12,0.0967741935483871,p_tau16
bcr_tcn_v11_H5_v2,fold1,17.0,0.05,249,13,16,2,0.15384615384615385,0.125,p_tau17
bcr_tcn_v11_H5_v2,fold1,17.0,0.1,249,25,16,2,0.08,0.125,p_tau17
bcr_tcn_v11_H5_v2,fold2,15.0,0.05,249,13,20,3,0.23076923076923078,0.15,p_tau15
bcr_tcn_v11_H5_v2,fold2,15.0,0.1,249,25,20,6,0.24,0.3,p_tau15
bcr_tcn_v11_H5_v2,fold2,16.0,0.05,249,13,7,0,0.0,0.0,p_tau16
bcr_tcn_v11_H5_v2,fold2,16.0,0.1,249,25,7,3,0.12,0.42857142857142855,p_tau16
bcr_tcn_v11_H5_v2,fold2,17.0,0.05,249,13,1,0,0.0,0.0,p_tau17
bcr_tcn_v11_H5_v2,fold2,17.0,0.1,249,25,1,0,0.0,0.0,p_tau17
bcr_tcn_v11_H5_v2,fold3,15.0,0.05,249,13,55,3,0.23076923076923078,0.05454545454545454,p_tau15
bcr_tcn_v11_H5_v2,fold3,15.0,0.1,249,25,55,4,0.16,0.07272727272727272,p_tau15
bcr_tcn_v11_H5_v2,fold3,16.0,0.05,249,13,33,6,0.46153846153846156,0.18181818181818182,p_tau16
bcr_tcn_v11_H5_v2,fold3,16.0,0.1,249,25,33,12,0.48,0.36363636363636365,p_tau16
bcr_tcn_v11_H5_v2,fold3,17.0,0.05,249,13,12,2,0.15384615384615385,0.16666666666666666,p_tau17
bcr_tcn_v11_H5_v2,fold3,17.0,0.1,249,25,12,2,0.08,0.16666666666666666,p_tau17
