model,scope,tau,budget_r,n,k,events,TP,precision,recall
persistence_v2,overall,15.0,0.05,747,38,134,19,0.5,0.1417910447761194
persistence_v2,overall,15.0,0.1,747,75,134,32,0.4266666666666667,0.23880597014925373
persistence_v2,overall,16.0,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
persistence_v2,overall,16.0,0.1,747,75,71,23,0.30666666666666664,0.323943661971831
persistence_v2,overall,17.0,0.05,747,38,29,4,0.10526315789473684,0.13793103448275862
persistence_v2,overall,17.0,0.1,747,75,29,8,0.10666666666666667,0.27586206896551724
persistence_v2,fold1,15.0,0.05,249,13,59,7,0.5384615384615384,0.11864406779661017
persistence_v2,fold1,15.0,0.1,249,25,59,12,0.48,0.2033898305084746
persistence_v2,fold1,16.0,0.05,249,13,31,5,0.38461538461538464,0.16129032258064516
persistence_v2,fold1,16.0,0.1,249,25,31,10,0.4,0.3225806451612903
persistence_v2,fold1,17.0,0.05,249,13,16,0,0.0,0.0
persistence_v2,fold1,17.0,0.1,249,25,16,1,0.04,0.0625
persistence_v2,fold2,15.0,0.05,249,13,20,1,0.07692307692307693,0.05
persistence_v2,fold2,15.0,0.1,249,25,20,2,0.08,0.1
persistence_v2,fold2,16.0,0.05,249,13,7,0,0.0,0.0
persistence_v2,fold2,16.0,0.1,249,25,7,1,0.04,0.14285714285714285
persistence_v2,fold2,17.0,0.05,249,13,1,0,0.0,0.0
persistence_v2,fold2,17.0,0.1,249,25,1,1,0.04,1.0
persistence_v2,fold3,15.0,0.05,249,13,55,6,0.46153846153846156,0.10909090909090909
persistence_v2,fold3,15.0,0.1,249,25,55,12,0.48,0.21818181818181817
persistence_v2,fold3,16.0,0.05,249,13,33,5,0.38461538461538464,0.15151515151515152
persistence_v2,fold3,16.0,0.1,249,25,33,7,0.28,0.21212121212121213
persistence_v2,fold3,17.0,0.05,249,13,12,2,0.15384615384615385,0.16666666666666666
persistence_v2,fold3,17.0,0.1,249,25,12,3,0.12,0.25
enet_a0.1_l0.5_v2,overall,15.0,0.05,747,38,134,16,0.42105263157894735,0.11940298507462686
enet_a0.1_l0.5_v2,overall,15.0,0.1,747,75,134,33,0.44,0.2462686567164179
enet_a0.1_l0.5_v2,overall,16.0,0.05,747,38,71,8,0.21052631578947367,0.11267605633802817
enet_a0.1_l0.5_v2,overall,16.0,0.1,747,75,71,19,0.25333333333333335,0.2676056338028169
enet_a0.1_l0.5_v2,overall,17.0,0.05,747,38,29,4,0.10526315789473684,0.13793103448275862
enet_a0.1_l0.5_v2,overall,17.0,0.1,747,75,29,10,0.13333333333333333,0.3448275862068966
enet_a0.1_l0.5_v2,fold1,15.0,0.05,249,13,59,5,0.38461538461538464,0.0847457627118644
enet_a0.1_l0.5_v2,fold1,15.0,0.1,249,25,59,7,0.28,0.11864406779661017
enet_a0.1_l0.5_v2,fold1,16.0,0.05,249,13,31,1,0.07692307692307693,0.03225806451612903
enet_a0.1_l0.5_v2,fold1,16.0,0.1,249,25,31,2,0.08,0.06451612903225806
enet_a0.1_l0.5_v2,fold1,17.0,0.05,249,13,16,0,0.0,0.0
enet_a0.1_l0.5_v2,fold1,17.0,0.1,249,25,16,1,0.04,0.0625
enet_a0.1_l0.5_v2,fold2,15.0,0.05,249,13,20,3,0.23076923076923078,0.15
enet_a0.1_l0.5_v2,fold2,15.0,0.1,249,25,20,6,0.24,0.3
enet_a0.1_l0.5_v2,fold2,16.0,0.05,249,13,7,2,0.15384615384615385,0.2857142857142857
enet_a0.1_l0.5_v2,fold2,16.0,0.1,249,25,7,4,0.16,0.5714285714285714
enet_a0.1_l0.5_v2,fold2,17.0,0.05,249,13,1,1,0.07692307692307693,1.0
enet_a0.1_l0.5_v2,fold2,17.0,0.1,249,25,1,1,0.04,1.0
enet_a0.1_l0.5_v2,fold3,15.0,0.05,249,13,55,11,0.8461538461538461,0.2
enet_a0.1_l0.5_v2,fold3,15.0,0.1,249,25,55,17,0.68,0.3090909090909091
enet_a0.1_l0.5_v2,fold3,16.0,0.05,249,13,33,7,0.5384615384615384,0.21212121212121213
enet_a0.1_l0.5_v2,fold3,16.0,0.1,249,25,33,12,0.48,0.36363636363636365
enet_a0.1_l0.5_v2,fold3,17.0,0.05,249,13,12,3,0.23076923076923078,0.25
enet_a0.1_l0.5_v2,fold3,17.0,0.1,249,25,12,6,0.24,0.5
