variable,unit,n,missing_n,missing_pct,mean,std,mean_sd,median,q25,q75,median_iqr,min,max,min_max,p01,p99,skew,kurtosis_excess,zeros_pct,negatives_n,outliers_iqr_pct,outliers_robustz_pct
day,,1031,0,0.0,15.758,8.781,15.758 ± 8.781,16.0,8.0,23.0,16.000 [8.000–23.000],1.0,31.0,1.000–31.000,1.0,31.0,0.005,-1.19,0.0,0,0.0,0.0
Inflow,,1031,0,0.0,220207.751,17025.352,220207.751 ± 17025.352,218410.0,207380.0,231915.0,218410.000 [207380.000–231915.000],172380.0,277890.0,172380.000–277890.000,188660.0,265020.0,0.424,-0.168,0.0,0,0.48,0.0
Outflow,,1031,0,0.0,217676.873,16829.68,217676.873 ± 16829.680,215900.0,205000.0,229250.0,215900.000 [205000.000–229250.000],170400.0,274700.0,170400.000–274700.000,186490.0,261970.0,0.424,-0.168,0.0,0,0.48,0.0
BODin,,1031,0,0.0,54.614,21.657,54.614 ± 21.657,50.1,39.2,64.5,50.100 [39.200–64.500],15.6,174.0,15.600–174.000,23.29,129.0,1.465,3.454,0.0,0,3.3,1.94
BODout,,1031,0,0.0,4.343,1.022,4.343 ± 1.022,4.3,3.8,5.0,4.300 [3.800–5.000],1.2,7.8,1.200–7.800,2.0,6.9,0.044,0.29,0.0,0,2.23,0.0
TOCin,,1031,0,0.0,49.164,16.251,49.164 ± 16.251,47.2,39.2,56.7,47.200 [39.200–56.700],15.1,142.7,15.100–142.700,20.46,98.97,1.208,3.336,0.0,0,3.98,2.33
TOCout,,1031,0,0.0,13.876,2.382,13.876 ± 2.382,13.7,12.2,15.3,13.700 [12.200–15.300],8.1,21.7,8.100–21.700,8.9,19.87,0.291,-0.003,0.0,0,0.97,0.0
SSin,,1031,0,0.0,70.013,31.913,70.013 ± 31.913,62.0,50.0,84.0,62.000 [50.000–84.000],14.0,314.0,14.000–314.000,26.0,177.4,1.764,5.92,0.0,0,4.95,3.2
SSout,,1031,0,0.0,4.537,1.053,4.537 ± 1.053,4.5,3.8,5.0,4.500 [3.800–5.000],0.9,8.0,0.900–8.000,2.53,7.57,0.516,0.615,0.0,0,3.69,0.87
TNin,,1031,0,0.0,24.933,5.697,24.933 ± 5.697,24.18,20.705,28.25,24.180 [20.705–28.250],11.71,50.88,11.710–50.880,14.916,40.713,0.758,0.756,0.0,0,1.36,0.48
TNout,,1031,0,0.0,12.69,2.234,12.690 ± 2.234,12.6,11.11,14.065,12.600 [11.110–14.065],6.31,19.6,6.310–19.600,7.696,17.628,0.131,-0.293,0.0,0,0.29,0.0
TPin,,1031,0,0.0,1.768,0.489,1.768 ± 0.489,1.69,1.43,2.03,1.690 [1.430–2.030],0.8,5.21,0.800–5.210,0.93,3.281,1.314,3.949,0.0,0,2.33,1.45
TPout,,1031,0,0.0,0.567,0.161,0.567 ± 0.161,0.55,0.45,0.67,0.550 [0.450–0.670],0.15,1.19,0.150–1.190,0.273,0.987,0.517,0.121,0.0,0,0.78,0.1
Coliformin,,1031,0,0.0,180505.46,35803.057,180505.460 ± 35803.057,180000.0,160000.0,200000.0,180000.000 [160000.000–200000.000],90000.0,380000.0,90000.000–380000.000,110000.0,280000.0,0.731,1.961,0.0,0,2.52,0.78
Coliformout,,1031,0,0.0,1276.381,415.094,1276.381 ± 415.094,1200.0,1000.0,1400.0,1200.000 [1000.000–1400.000],420.0,2800.0,420.000–2800.000,550.0,2500.0,1.04,1.278,0.0,0,6.6,3.78
