scope,tau,budget_r,model,n,k,events,TP,precision,recall
fold1,15.0,0.05,enet_a0.1_l0.5,254,13,66,10,0.7692307692307693,0.1515151515151515
fold1,15.0,0.1,persistence_1,254,26,66,20,0.7692307692307693,0.303030303030303
fold1,16.0,0.05,enet_a0.1_l0.5,254,13,34,5,0.3846153846153846,0.1470588235294117
fold1,16.0,0.1,enet_a0.1_l0.5,254,26,34,11,0.4230769230769231,0.3235294117647059
fold1,17.0,0.05,persistence_1,254,13,17,4,0.3076923076923077,0.2352941176470588
fold1,17.0,0.1,persistence_1,254,26,17,6,0.2307692307692307,0.3529411764705882
fold2,15.0,0.05,persistence_1,254,13,19,3,0.2307692307692307,0.1578947368421052
fold2,15.0,0.1,persistence_1,254,26,19,5,0.1923076923076923,0.2631578947368421
fold2,16.0,0.05,persistence_1,254,13,6,1,0.0769230769230769,0.1666666666666666
fold2,16.0,0.1,persistence_1,254,26,6,2,0.0769230769230769,0.3333333333333333
fold2,17.0,0.05,persistence_1,254,13,1,1,0.0769230769230769,1.0
fold2,17.0,0.1,persistence_1,254,26,1,1,0.0384615384615384,1.0
fold3,15.0,0.05,persistence_1,254,13,56,10,0.7692307692307693,0.1785714285714285
fold3,15.0,0.1,enet_a0.1_l0.5,254,26,56,19,0.7307692307692307,0.3392857142857143
fold3,16.0,0.05,persistence_1,254,13,34,9,0.6923076923076923,0.2647058823529412
fold3,16.0,0.1,persistence_1,254,26,34,16,0.6153846153846154,0.4705882352941176
fold3,17.0,0.05,persistence_1,254,13,12,4,0.3076923076923077,0.3333333333333333
fold3,17.0,0.1,persistence_1,254,26,12,5,0.1923076923076923,0.4166666666666667
overall,15.0,0.05,persistence_1,762,39,141,30,0.7692307692307693,0.2127659574468085
overall,15.0,0.1,persistence_1,762,77,141,50,0.6493506493506493,0.3546099290780142
overall,16.0,0.05,persistence_1,762,39,74,20,0.5128205128205128,0.2702702702702703
overall,16.0,0.1,persistence_1,762,77,74,33,0.4285714285714285,0.4459459459459459
overall,17.0,0.05,persistence_1,762,39,30,9,0.2307692307692307,0.3
overall,17.0,0.1,persistence_1,762,77,30,13,0.1688311688311688,0.4333333333333333
