horizon,sample_idx,date,fold1_set,fold2_set,fold3_set
5,0,2021-02-03,train,train,train
5,1,2021-02-04,train,train,train
5,2,2021-02-05,train,train,train
5,3,2021-02-06,train,train,train
5,4,2021-02-07,train,train,train
5,5,2021-02-08,train,train,train
5,6,2021-02-09,train,train,train
5,7,2021-02-10,train,train,train
5,8,2021-02-11,train,train,train
5,9,2021-02-12,train,train,train
5,10,2021-02-13,train,train,train
5,11,2021-02-14,train,train,train
5,12,2021-02-15,train,train,train
5,13,2021-02-16,train,train,train
5,14,2021-02-17,train,train,train
5,15,2021-02-18,train,train,train
5,16,2021-02-19,train,train,train
5,17,2021-02-20,train,train,train
5,18,2021-02-21,train,train,train
5,19,2021-02-22,train,train,train
5,20,2021-02-23,train,train,train
5,21,2021-02-24,train,train,train
5,22,2021-02-25,train,train,train
5,23,2021-02-26,train,train,train
5,24,2021-02-27,train,train,train
5,25,2021-02-28,train,train,train
5,26,2021-03-01,train,train,train
5,27,2021-03-02,train,train,train
5,28,2021-03-03,train,train,train
5,29,2021-03-04,train,train,train
5,30,2021-03-05,train,train,train
5,31,2021-03-06,train,train,train
5,32,2021-03-07,train,train,train
5,33,2021-03-08,train,train,train
5,34,2021-03-09,train,train,train
5,35,2021-03-10,train,train,train
5,36,2021-03-11,train,train,train
5,37,2021-03-12,train,train,train
5,38,2021-03-13,train,train,train
5,39,2021-03-14,train,train,train
5,40,2021-03-15,train,train,train
5,41,2021-03-16,train,train,train
5,42,2021-03-17,train,train,train
5,43,2021-03-18,train,train,train
5,44,2021-03-19,train,train,train
5,45,2021-03-20,train,train,train
5,46,2021-03-21,train,train,train
5,47,2021-03-22,train,train,train
5,48,2021-03-23,train,train,train
5,49,2021-03-24,train,train,train
5,50,2021-03-25,train,train,train
5,51,2021-03-26,train,train,train
5,52,2021-03-27,train,train,train
5,53,2021-03-28,train,train,train
5,54,2021-03-29,train,train,train
5,55,2021-03-30,train,train,train
5,56,2021-03-31,train,train,train
5,57,2021-04-01,train,train,train
5,58,2021-04-02,train,train,train
5,59,2021-04-03,train,train,train
5,60,2021-04-04,train,train,train
5,61,2021-04-05,train,train,train
5,62,2021-04-06,train,train,train
5,63,2021-04-07,train,train,train
5,64,2021-04-08,train,train,train
5,65,2021-04-09,train,train,train
5,66,2021-04-10,train,train,train
5,67,2021-04-11,train,train,train
5,68,2021-04-12,train,train,train
5,69,2021-04-13,train,train,train
5,70,2021-04-14,train,train,train
5,71,2021-04-15,train,train,train
