Context,Model,Tau,Budget_r,Precision,Recall,TP,Events,k
H5_v2_guarded,enet,15,0.05,0.4210526315789473,0.1194029850746268,16,134,38
H5_v2_guarded,hgbr,15,0.05,0.5,0.1417910447761194,19,134,38
H5_v2_guarded,hybrid_paper_fixed,15,0.05,0.5526315789473685,0.1567164179104477,21,134,38
H5_v2_guarded,hybrid_rank_v2,15,0.05,0.5526315789473685,0.1567164179104477,21,134,38
H5_v2_guarded,persistence,15,0.05,0.5,0.1417910447761194,19,134,38
H5_v2_guarded,tcn,15,0.05,0.5,0.1417910447761194,19,134,38
H5_v2_guarded,enet,15,0.1,0.44,0.2462686567164179,33,134,75
H5_v2_guarded,hgbr,15,0.1,0.4,0.2238805970149253,30,134,75
H5_v2_guarded,hybrid_paper_fixed,15,0.1,0.36,0.2014925373134328,27,134,75
H5_v2_guarded,hybrid_rank_v2,15,0.1,0.44,0.2462686567164179,33,134,75
H5_v2_guarded,persistence,15,0.1,0.4266666666666667,0.2388059701492537,32,134,75
H5_v2_guarded,tcn,15,0.1,0.3866666666666666,0.2164179104477611,29,134,75
H5_v2_guarded,enet,16,0.05,0.2105263157894736,0.1126760563380281,8,71,38
H5_v2_guarded,hgbr,16,0.05,0.3684210526315789,0.1971830985915492,14,71,38
H5_v2_guarded,hybrid_paper_fixed,16,0.05,0.4473684210526316,0.2394366197183098,17,71,38
H5_v2_guarded,hybrid_rank_v2,16,0.05,0.4473684210526316,0.2394366197183098,17,71,38
H5_v2_guarded,persistence,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38
H5_v2_guarded,tcn,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38
H5_v2_guarded,enet,16,0.1,0.2533333333333333,0.2676056338028169,19,71,75
H5_v2_guarded,hgbr,16,0.1,0.2933333333333333,0.3098591549295774,22,71,75
H5_v2_guarded,hybrid_paper_fixed,16,0.1,0.28,0.2957746478873239,21,71,75
H5_v2_guarded,hybrid_rank_v2,16,0.1,0.3466666666666667,0.3661971830985915,26,71,75
H5_v2_guarded,persistence,16,0.1,0.3066666666666666,0.323943661971831,23,71,75
H5_v2_guarded,tcn,16,0.1,0.24,0.2535211267605634,18,71,75
