model_class,horizon,MAE,RMSE,MASE
ElasticNet,1,1.5372939109802246,1.9287165403366089,1.2294994535255503
ElasticNet,3,1.7191454966862996,2.163148125012716,1.3744038017792553
ElasticNet,5,1.7680670149154971,2.2587175270745177,1.139641253927905
HGBR,3,1.7767021126165674,2.254932564350989,1.413488013322273
HGBR,5,1.795447704749488,2.290501071497145,1.1572899988185572
Hybrid/Blend,5,1.712735274475903,2.2115470845958685,1.103976127253051
Persistence,1,1.5460530816726483,2.044486237973267,1.2315543026492115
Persistence,3,2.0250068772608736,2.578892839628263,1.6110314315369614
Persistence,5,2.074511405454582,2.666127990376657,1.3371658197656016
TCN,5,2.633234699407575,3.5728173863646777,1.6973015555424213
