horizon,objective,metric,model,tau,budget_r,MAE,RMSE,MASE1,MASE7,precision,recall,source
1,point_forecast,MAE,enet_a0.1_l0.5,,,1.5372939109802246,1.9287165403366089,1.2294994535255503,0.811565238400564,,,results/metrics/main_linear_metrics_H1.json
3,point_forecast,MAE,enet_a0.1_l0.5,,,1.7191454966862996,2.163148125012716,1.3744038017792553,0.9069802882739788,,,results/metrics/main_linear_metrics_H3.json
5,point_forecast,MAE,enet_a1.0_l0.2,,,1.794438322385152,2.266522844632467,1.4486108776092987,0.9522496759231457,,,results/metrics/main_linear_metrics_H5.json
1,alarm_recall,recall,persistence,15,0.05,,,,,0.7692307692307693,0.2127659574468085,results/metrics/alarm_budget_H1.csv
1,alarm_recall,recall,persistence,15,0.1,,,,,0.6493506493506493,0.3546099290780142,results/metrics/alarm_budget_H1.csv
1,alarm_recall,recall,persistence,16,0.05,,,,,0.5128205128205128,0.2702702702702703,results/metrics/alarm_budget_H1.csv
1,alarm_recall,recall,persistence,16,0.1,,,,,0.4285714285714285,0.4459459459459459,results/metrics/alarm_budget_H1.csv
3,alarm_recall,recall,enet_a1.0_l0.2,15,0.05,,,,,0.631578947368421,0.1714285714285714,results/metrics/alarm_budget_H3.csv
3,alarm_recall,recall,enet_a0.01_l0.2,15,0.1,,,,,0.5131578947368421,0.2785714285714286,results/metrics/alarm_budget_H3.csv
3,alarm_recall,recall,enet_a1.0_l0.2,16,0.05,,,,,0.4210526315789473,0.2191780821917808,results/metrics/alarm_budget_H3.csv
3,alarm_recall,recall,enet_a0.01_l0.2,16,0.1,,,,,0.3026315789473684,0.3150684931506849,results/metrics/alarm_budget_H3.csv
5,alarm_recall,recall,enet_a0.1_l0.5,15,0.05,,,,,0.5263157894736842,0.1428571428571428,results/metrics/alarm_budget_H5.csv
5,alarm_recall,recall,persistence,15,0.1,,,,,0.4473684210526316,0.2428571428571428,results/metrics/alarm_budget_H5.csv
5,alarm_recall,recall,persistence,16,0.05,,,,,0.3684210526315789,0.1917808219178082,results/metrics/alarm_budget_H5.csv
5,alarm_recall,recall,persistence,16,0.1,,,,,0.3026315789473684,0.3150684931506849,results/metrics/alarm_budget_H5.csv
5,h5_v2_compare,precision_recall,enet,15,0.05,,,,,0.4210526315789473,0.1194029850746268,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv
5,h5_v2_compare,precision_recall,hgbr,15,0.05,,,,,0.5,0.1417910447761194,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv
5,h5_v2_compare,precision_recall,hybrid_paper_fixed,15,0.05,,,,,0.5526315789473685,0.1567164179104477,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv
5,h5_v2_compare,precision_recall,hybrid_rank_v2,15,0.05,,,,,0.5526315789473685,0.1567164179104477,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv
5,h5_v2_compare,precision_recall,persistence,15,0.05,,,,,0.5,0.1417910447761194,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv
