model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
hybrid_paper_fixed,Hybrid rank ensemble (paper-fixed weights),hybrid_rank_v2_guarded,5,15,0.05,0.5526315789473685,0.1567164179104477,21,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
hybrid_rank_v2,Hybrid rank ensemble v2 (policy-based),hybrid_rank_v2_guarded,5,15,0.05,0.5526315789473685,0.1567164179104477,21,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
hgbr,Histogram Gradient Boosting Regressor (Optuna-tuned),hybrid_rank_v2_guarded,5,15,0.05,0.5,0.1417910447761194,19,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
persistence,Persistence baseline (carry-forward),hybrid_rank_v2_guarded,5,15,0.05,0.5,0.1417910447761194,19,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
tcn,TCN risk score model,hybrid_rank_v2_guarded,5,15,0.05,0.5,0.1417910447761194,19,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
enet,ElasticNet (generic),hybrid_rank_v2_guarded,5,15,0.05,0.4210526315789473,0.1194029850746268,16,134,38,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,3,3
enet,ElasticNet (generic),hybrid_rank_v2_guarded,5,15,0.1,0.44,0.2462686567164179,33,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
hybrid_rank_v2,Hybrid rank ensemble v2 (policy-based),hybrid_rank_v2_guarded,5,15,0.1,0.44,0.2462686567164179,33,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,1,1
persistence,Persistence baseline (carry-forward),hybrid_rank_v2_guarded,5,15,0.1,0.4266666666666667,0.2388059701492537,32,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,2,2
hgbr,Histogram Gradient Boosting Regressor (Optuna-tuned),hybrid_rank_v2_guarded,5,15,0.1,0.4,0.2238805970149253,30,134,75,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,3,3
