rank,model,MAE,RMSE,MASE1,MASE7
1,enet_a0.1_l0.5,1.537294,1.928717,1.229499,0.811565
2,enet_a0.1_l0.2,1.544631,1.936451,1.235641,0.815546
3,persistence_1,1.546053,2.044486,1.231554,0.813461
4,ridge_alpha_100.0,1.546674,1.941692,1.237227,0.816674
5,ridge_alpha_10.0,1.573258,1.966932,1.259057,0.830893
6,enet_a0.01_l0.5,1.573378,1.966900,1.259390,0.831052
7,enet_a0.01_l0.2,1.578372,1.972477,1.263466,0.833727
8,ridge_alpha_1.0,1.587520,1.982265,1.270888,0.838597
9,ridge_alpha_0.1,1.589854,1.985046,1.272833,0.839861
10,ridge_alpha_0.01,1.590102,1.985359,1.273039,0.839995
11,enet_a1.0_l0.2,1.607092,2.013991,1.286940,0.849356
12,enet_a1.0_l0.5,1.706822,2.130962,1.369490,0.902997
13,seasonal_7,2.085227,2.704294,1.669762,1.100902
