rank,model,RMSE,MAE,MASE1,MASE7
1,enet_a0.1_l0.5,1.928717,1.537294,1.229499,0.811565
2,enet_a0.1_l0.2,1.936451,1.544631,1.235641,0.815546
3,ridge_alpha_100.0,1.941692,1.546674,1.237227,0.816674
4,enet_a0.01_l0.5,1.966900,1.573378,1.259390,0.831052
5,ridge_alpha_10.0,1.966932,1.573258,1.259057,0.830893
6,enet_a0.01_l0.2,1.972477,1.578372,1.263466,0.833727
7,ridge_alpha_1.0,1.982265,1.587520,1.270888,0.838597
8,ridge_alpha_0.1,1.985046,1.589854,1.272833,0.839861
9,ridge_alpha_0.01,1.985359,1.590102,1.273039,0.839995
10,enet_a1.0_l0.2,2.013991,1.607092,1.286940,0.849356
11,persistence_1,2.044486,1.546053,1.231554,0.813461
12,enet_a1.0_l0.5,2.130962,1.706822,1.369490,0.902997
13,seasonal_7,2.704294,2.085227,1.669762,1.100902
