model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
persistence_v2_H5,overall,15.0,0.05,y_pred,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
persistence_v2_H5,fold1,15.0,0.05,y_pred,249,13,59,190,7,6,52,184,0.5384615384615384,0.11864406779661017,0.031578947368421054,0.8813559322033898
persistence_v2_H5,fold2,15.0,0.05,y_pred,249,13,20,229,1,12,19,217,0.07692307692307693,0.05,0.05240174672489083,0.95
persistence_v2_H5,fold3,15.0,0.05,y_pred,249,13,55,194,6,7,49,187,0.46153846153846156,0.10909090909090909,0.03608247422680412,0.8909090909090909
persistence_v2_H5,overall,15.0,0.1,y_pred,747,75,134,613,32,43,102,570,0.4266666666666667,0.23880597014925373,0.0701468189233279,0.7611940298507462
persistence_v2_H5,fold1,15.0,0.1,y_pred,249,25,59,190,12,13,47,177,0.48,0.2033898305084746,0.06842105263157895,0.7966101694915254
persistence_v2_H5,fold2,15.0,0.1,y_pred,249,25,20,229,2,23,18,206,0.08,0.1,0.10043668122270742,0.9
persistence_v2_H5,fold3,15.0,0.1,y_pred,249,25,55,194,12,13,43,181,0.48,0.21818181818181817,0.06701030927835051,0.7818181818181819
persistence_v2_H5,overall,16.0,0.05,y_pred,747,38,71,676,15,23,56,653,0.39473684210526316,0.2112676056338028,0.034023668639053255,0.7887323943661971
persistence_v2_H5,fold1,16.0,0.05,y_pred,249,13,31,218,5,8,26,210,0.38461538461538464,0.16129032258064516,0.03669724770642202,0.8387096774193549
persistence_v2_H5,fold2,16.0,0.05,y_pred,249,13,7,242,0,13,7,229,0.0,0.0,0.05371900826446281,1.0
persistence_v2_H5,fold3,16.0,0.05,y_pred,249,13,33,216,5,8,28,208,0.38461538461538464,0.15151515151515152,0.037037037037037035,0.8484848484848485
persistence_v2_H5,overall,16.0,0.1,y_pred,747,75,71,676,23,52,48,624,0.30666666666666664,0.323943661971831,0.07692307692307693,0.676056338028169
persistence_v2_H5,fold1,16.0,0.1,y_pred,249,25,31,218,10,15,21,203,0.4,0.3225806451612903,0.06880733944954129,0.6774193548387096
persistence_v2_H5,fold2,16.0,0.1,y_pred,249,25,7,242,1,24,6,218,0.04,0.14285714285714285,0.09917355371900827,0.8571428571428571
persistence_v2_H5,fold3,16.0,0.1,y_pred,249,25,33,216,7,18,26,198,0.28,0.21212121212121213,0.08333333333333333,0.7878787878787878
persistence_v2_H5,overall,17.0,0.05,y_pred,747,38,29,718,4,34,25,684,0.10526315789473684,0.13793103448275862,0.04735376044568245,0.8620689655172413
persistence_v2_H5,fold1,17.0,0.05,y_pred,249,13,16,233,0,13,16,220,0.0,0.0,0.055793991416309016,1.0
persistence_v2_H5,fold2,17.0,0.05,y_pred,249,13,1,248,0,13,1,235,0.0,0.0,0.05241935483870968,1.0
persistence_v2_H5,fold3,17.0,0.05,y_pred,249,13,12,237,2,11,10,226,0.15384615384615385,0.16666666666666666,0.046413502109704644,0.8333333333333334
persistence_v2_H5,overall,17.0,0.1,y_pred,747,75,29,718,8,67,21,651,0.10666666666666667,0.27586206896551724,0.09331476323119778,0.7241379310344828
persistence_v2_H5,fold1,17.0,0.1,y_pred,249,25,16,233,1,24,15,209,0.04,0.0625,0.10300429184549356,0.9375
persistence_v2_H5,fold2,17.0,0.1,y_pred,249,25,1,248,1,24,0,224,0.04,1.0,0.0967741935483871,0.0
persistence_v2_H5,fold3,17.0,0.1,y_pred,249,25,12,237,3,22,9,215,0.12,0.25,0.09282700421940929,0.75
enet_a0.1_l0.5_v2_H5,overall,15.0,0.05,y_pred,747,38,134,613,16,22,118,591,0.42105263157894735,0.11940298507462686,0.03588907014681892,0.8805970149253731
enet_a0.1_l0.5_v2_H5,fold1,15.0,0.05,y_pred,249,13,59,190,5,8,54,182,0.38461538461538464,0.0847457627118644,0.042105263157894736,0.9152542372881356
enet_a0.1_l0.5_v2_H5,fold2,15.0,0.05,y_pred,249,13,20,229,3,10,17,219,0.23076923076923078,0.15,0.043668122270742356,0.85
enet_a0.1_l0.5_v2_H5,fold3,15.0,0.05,y_pred,249,13,55,194,11,2,44,192,0.8461538461538461,0.2,0.010309278350515464,0.8
enet_a0.1_l0.5_v2_H5,overall,15.0,0.1,y_pred,747,75,134,613,33,42,101,571,0.44,0.2462686567164179,0.06851549755301795,0.753731343283582
enet_a0.1_l0.5_v2_H5,fold1,15.0,0.1,y_pred,249,25,59,190,7,18,52,172,0.28,0.11864406779661017,0.09473684210526316,0.8813559322033898
enet_a0.1_l0.5_v2_H5,fold2,15.0,0.1,y_pred,249,25,20,229,6,19,14,210,0.24,0.3,0.08296943231441048,0.7
enet_a0.1_l0.5_v2_H5,fold3,15.0,0.1,y_pred,249,25,55,194,17,8,38,186,0.68,0.3090909090909091,0.041237113402061855,0.6909090909090909
enet_a0.1_l0.5_v2_H5,overall,16.0,0.05,y_pred,747,38,71,676,8,30,63,646,0.21052631578947367,0.11267605633802817,0.04437869822485207,0.8873239436619719
enet_a0.1_l0.5_v2_H5,fold1,16.0,0.05,y_pred,249,13,31,218,1,12,30,206,0.07692307692307693,0.03225806451612903,0.05504587155963303,0.967741935483871
enet_a0.1_l0.5_v2_H5,fold2,16.0,0.05,y_pred,249,13,7,242,2,11,5,231,0.15384615384615385,0.2857142857142857,0.045454545454545456,0.7142857142857143
enet_a0.1_l0.5_v2_H5,fold3,16.0,0.05,y_pred,249,13,33,216,7,6,26,210,0.5384615384615384,0.21212121212121213,0.027777777777777776,0.7878787878787878
enet_a0.1_l0.5_v2_H5,overall,16.0,0.1,y_pred,747,75,71,676,19,56,52,620,0.25333333333333335,0.2676056338028169,0.08284023668639054,0.7323943661971831
enet_a0.1_l0.5_v2_H5,fold1,16.0,0.1,y_pred,249,25,31,218,2,23,29,195,0.08,0.06451612903225806,0.10550458715596331,0.9354838709677419
