model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
persistence_v2_H5,overall,15.0,0.05,y_pred,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
persistence_v2_H5,overall,15.0,0.1,y_pred,747,75,134,613,32,43,102,570,0.4266666666666667,0.23880597014925373,0.0701468189233279,0.7611940298507462
persistence_v2_H5,overall,16.0,0.05,y_pred,747,38,71,676,15,23,56,653,0.39473684210526316,0.2112676056338028,0.034023668639053255,0.7887323943661971
persistence_v2_H5,overall,16.0,0.1,y_pred,747,75,71,676,23,52,48,624,0.30666666666666664,0.323943661971831,0.07692307692307693,0.676056338028169
persistence_v2_H5,overall,17.0,0.05,y_pred,747,38,29,718,4,34,25,684,0.10526315789473684,0.13793103448275862,0.04735376044568245,0.8620689655172413
persistence_v2_H5,overall,17.0,0.1,y_pred,747,75,29,718,8,67,21,651,0.10666666666666667,0.27586206896551724,0.09331476323119778,0.7241379310344828
enet_a0.1_l0.5_v2_H5,overall,15.0,0.05,y_pred,747,38,134,613,16,22,118,591,0.42105263157894735,0.11940298507462686,0.03588907014681892,0.8805970149253731
enet_a0.1_l0.5_v2_H5,overall,15.0,0.1,y_pred,747,75,134,613,33,42,101,571,0.44,0.2462686567164179,0.06851549755301795,0.753731343283582
enet_a0.1_l0.5_v2_H5,overall,16.0,0.05,y_pred,747,38,71,676,8,30,63,646,0.21052631578947367,0.11267605633802817,0.04437869822485207,0.8873239436619719
enet_a0.1_l0.5_v2_H5,overall,16.0,0.1,y_pred,747,75,71,676,19,56,52,620,0.25333333333333335,0.2676056338028169,0.08284023668639054,0.7323943661971831
enet_a0.1_l0.5_v2_H5,overall,17.0,0.05,y_pred,747,38,29,718,4,34,25,684,0.10526315789473684,0.13793103448275862,0.04735376044568245,0.8620689655172413
enet_a0.1_l0.5_v2_H5,overall,17.0,0.1,y_pred,747,75,29,718,10,65,19,653,0.13333333333333333,0.3448275862068966,0.0905292479108635,0.6551724137931034
hgbr_optuna_H5_v2,overall,15.0,0.05,y_pred,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
hgbr_optuna_H5_v2,overall,15.0,0.1,y_pred,747,75,134,613,30,45,104,568,0.4,0.22388059701492538,0.0734094616639478,0.7761194029850746
hgbr_optuna_H5_v2,overall,16.0,0.05,y_pred,747,38,71,676,14,24,57,652,0.3684210526315789,0.19718309859154928,0.03550295857988166,0.8028169014084507
hgbr_optuna_H5_v2,overall,16.0,0.1,y_pred,747,75,71,676,22,53,49,623,0.29333333333333333,0.30985915492957744,0.07840236686390532,0.6901408450704225
hgbr_optuna_H5_v2,overall,17.0,0.05,y_pred,747,38,29,718,6,32,23,686,0.15789473684210525,0.20689655172413793,0.04456824512534819,0.7931034482758621
hgbr_optuna_H5_v2,overall,17.0,0.1,y_pred,747,75,29,718,8,67,21,651,0.10666666666666667,0.27586206896551724,0.09331476323119778,0.7241379310344828
bcr_tcn_v11_H5_v2,overall,15.0,0.05,p_tau15,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
bcr_tcn_v11_H5_v2,overall,15.0,0.1,p_tau15,747,75,134,613,29,46,105,567,0.38666666666666666,0.21641791044776118,0.07504078303425775,0.7835820895522388
bcr_tcn_v11_H5_v2,overall,16.0,0.05,p_tau16,747,38,71,676,15,23,56,653,0.39473684210526316,0.2112676056338028,0.034023668639053255,0.7887323943661971
bcr_tcn_v11_H5_v2,overall,16.0,0.1,p_tau16,747,75,71,676,18,57,53,619,0.24,0.2535211267605634,0.08431952662721894,0.7464788732394366
bcr_tcn_v11_H5_v2,overall,17.0,0.05,p_tau17,747,38,29,718,3,35,26,683,0.07894736842105263,0.10344827586206896,0.04874651810584958,0.896551724137931
bcr_tcn_v11_H5_v2,overall,17.0,0.1,p_tau17,747,75,29,718,4,71,25,647,0.05333333333333334,0.13793103448275862,0.0988857938718663,0.8620689655172413
hybrid_rank_ens_H5_v2,overall,15.0,0.05,p_tau15,747,38,134,613,21,17,113,596,0.5526315789473685,0.15671641791044777,0.02773246329526917,0.8432835820895522
hybrid_rank_ens_H5_v2,overall,15.0,0.1,p_tau15,747,75,134,613,27,48,107,565,0.36,0.20149253731343283,0.07830342577487764,0.7985074626865671
hybrid_rank_ens_H5_v2,overall,16.0,0.05,p_tau16,747,38,71,676,17,21,54,655,0.4473684210526316,0.23943661971830985,0.03106508875739645,0.7605633802816901
hybrid_rank_ens_H5_v2,overall,16.0,0.1,p_tau16,747,75,71,676,21,54,50,622,0.28,0.29577464788732394,0.07988165680473373,0.704225352112676
hybrid_rank_ens_H5_v2,overall,17.0,0.05,p_tau17,747,38,29,718,8,30,21,688,0.21052631578947367,0.27586206896551724,0.04178272980501393,0.7241379310344828
hybrid_rank_ens_H5_v2,overall,17.0,0.1,p_tau17,747,75,29,718,9,66,20,652,0.12,0.3103448275862069,0.09192200557103064,0.6896551724137931
