horizon,fold,epoch,n_train_sub,n_val_sub,n_test_fold,train_loss_total,train_loss_reg,train_loss_bce,train_loss_rank,train_mae,val_mae,val_recall_tau16_r05,val_event_rate_tau16,grad_l2_pre_mean,grad_l2_pre_p90,grad_l2_pre_max,grad_l2_post_mean,grad_l2_post_p90,grad_l2_post_max,grad_max_abs_pre_max,grad_mean_abs_pre_mean,grad_clip_threshold,clip_fraction,is_exploding_risk,is_vanishing_risk,best_epoch_marker
5,1,0,211,38,249,11.983004570007324,10.811310052871704,1.105779081583023,0.36301930621266365,11.311309814453125,13.620438575744629,0.25,0.10526315867900848,2.788797683878715,5.20310097713296,6.805786736083792,0.9999994896086856,0.9999997962895076,0.9999999548854238,1.356966257095337,0.0032172487305463095,1.0,1.0,0.0,0.0,
5,1,1,211,38,249,12.071911811828613,10.809319257736206,1.1541832983493805,0.4072018712759018,11.309319257736206,13.336663246154785,0.25,0.10526315867900848,3.04782741623382,5.305672961591343,6.653055815983864,0.9999995338074469,0.9999997119520676,0.9999997765407648,1.7138383388519287,0.0036780943832964027,1.0,1.0,0.0,0.0,
5,1,2,211,38,249,11.38792109489441,10.41855764389038,0.9865199327468872,0.26960835605859756,10.91855764389038,12.764518737792969,0.0,0.10526315867900848,3.1913672608338337,4.519459301355244,5.273737659477345,0.999999628118452,0.9999997796766963,0.999999856794592,1.3620880842208862,0.00427240200021684,1.0,1.0,0.0,0.0,
5,1,3,211,38,249,10.652696371078491,9.628641843795776,1.0009356886148453,0.3024951107800007,10.128641605377197,11.489850997924805,0.0,0.10526315867900848,6.257759226257932,8.867529957850184,9.30926463055348,0.9999998213165588,0.9999999139663442,0.9999999375704627,2.2244153022766113,0.008427370350883654,1.0,1.0,0.0,0.0,
5,1,4,211,38,249,8.491059064865112,7.641571402549744,0.8778117746114731,0.23057185858488083,8.135381698608398,8.524998664855957,0.0,0.10526315867900848,10.06698248273255,12.4295754366399,12.636076644225925,0.9999999240956123,1.0000000000057299,1.0000000087093213,3.4036333560943604,0.015060038196266445,1.0,1.0,1.0,0.0,
5,1,5,211,38,249,7.009883761405945,6.0300527811050415,0.9083830565214157,0.3105722516775131,6.521851301193237,1.3876172304153442,0.0,0.10526315867900848,17.435397182481232,24.283908101149997,24.437486255904393,0.9999999076380796,0.999999948356706,0.9999999718293107,6.488272190093994,0.026971304471879835,1.0,1.0,1.0,0.0,
5,1,6,211,38,249,5.7767229080200195,4.89751660823822,0.9082878157496452,0.2387383095920086,5.384048700332642,9.81606674194336,0.0,0.10526315867900848,22.62250202646009,27.03577314928998,29.02919361861795,0.999999931720364,0.9999999711059213,0.9999999749043124,5.139167785644531,0.0342546964116882,1.0,1.0,1.0,0.0,
5,1,7,211,38,249,5.555260181427002,4.385158479213715,1.127963088452816,0.3523740917444229,4.864401936531067,6.186986446380615,0.0,0.10526315867900848,29.7912100607184,48.16109695569352,59.08529682826693,0.999999960200851,1.0000000119072177,1.0000000364195778,13.320387840270996,0.042541263260453224,1.0,1.0,1.0,0.0,
5,1,8,211,38,249,3.6282469034194946,2.937567710876465,0.6765734404325485,0.203382208943367,3.4122061729431152,2.048157215118408,0.0,0.10526315867900848,16.193815248963386,18.301198336432655,18.70425987612337,0.9999999608068011,1.0000000015799742,1.000000004814865,5.36152458190918,0.024118387049768167,1.0,1.0,1.0,0.0,
5,1,9,211,38,249,3.4803858399391174,2.7207858562469482,0.7580824866890907,0.21767897717654705,3.1983295679092407,2.3895013332366943,0.0,0.10526315867900848,17.46497271930936,20.288140860404624,20.58488107182067,0.9999999094918558,0.9999999705522437,0.9999999764581842,5.796041011810303,0.025134994713596082,1.0,1.0,1.0,0.0,
5,1,10,211,38,249,3.046253740787506,2.3921529054641724,0.6509696915745735,0.18822788819670677,2.8525331616401672,2.6742732524871826,0.0,0.10526315867900848,17.04009298833784,24.08271858786442,25.8114550227962,0.999999885291337,0.9999999363248183,0.9999999534711594,6.058051586151123,0.024662938780190935,1.0,1.0,1.0,0.0,
5,1,11,211,38,249,2.951535999774933,2.3564778566360474,0.5754505395889282,0.17841986753046513,2.826600134372711,2.296682357788086,0.0,0.10526315867900848,16.488085627518156,23.00646825528957,24.747501217725333,0.999999949810953,1.0000000137961922,1.0000000438571979,6.3708600997924805,0.024064017820856803,1.0,1.0,1.0,0.0,
5,1,12,211,38,249,3.177327871322632,1.9911417365074158,1.4764638915657997,0.21450552553869784,2.4420267939567566,2.0589492321014404,0.0,0.10526315867900848,19.730554297890514,39.88435872064081,52.45818939376754,0.9999999728627179,1.0000000924114776,1.0000001226826423,13.812393188476562,0.02475464168100079,1.0,1.0,1.0,0.0,
5,1,13,211,38,249,2.314912259578705,1.7768827080726624,0.5022291466593742,0.1690658018924296,2.213963657617569,1.7727607488632202,0.0,0.10526315867900848,9.903656688702267,12.795660167521843,13.085472144661562,0.9999999367138874,1.0000000055202,1.0000000327813718,3.1254465579986572,0.014536062922323387,1.0,1.0,1.0,0.0,
5,1,14,211,38,249,2.196382224559784,1.6636240184307098,0.5836763083934784,0.1303945928812027,2.11967471241951,2.678061008453369,0.0,0.10526315867900848,8.952536132998869,11.858858612089161,12.672230769912282,0.9999999023007071,0.9999999760444549,0.9999999847586877,2.584512710571289,0.012926158940125807,1.0,1.0,1.0,0.0,
5,1,15,211,38,249,2.2221409678459167,1.626656174659729,0.5543663464486599,0.18776068836450577,2.0759489238262177,2.0990984439849854,0.0,0.10526315867900848,10.940473750513961,13.967218737580362,14.45285099705767,0.9999999415611049,0.999999987610145,0.99999999640022,3.3110156059265137,0.01550160471176057,1.0,1.0,1.0,0.0,
5,1,16,211,38,249,2.1085080206394196,1.7521365582942963,0.3915203996002674,0.08675661310553551,2.2059131860733032,2.644170045852661,0.0,0.10526315867900848,9.797969425876614,13.326247040422746,14.416380045166536,0.9999999198555491,0.9999999808128448,0.9999999855931491,3.892284870147705,0.014268775580999007,1.0,1.0,1.0,0.0,
5,1,17,211,38,249,1.9664004147052765,1.5377070903778076,0.44306010752916336,0.11632665898650885,1.9858291447162628,2.315314769744873,0.0,0.10526315867900848,8.470243858066954,10.241435376599723,10.618042190513776,0.9999999376789188,0.999999985269187,0.9999999873507476,2.94767427444458,0.013356892572492151,1.0,1.0,1.0,0.0,
5,1,18,211,38,249,1.9288629293441772,1.5553305745124817,0.3965641111135483,0.09685278218239546,2.0047114491462708,2.542151689529419,0.0,0.10526315867900848,9.000285389469077,10.52303580514947,10.986356408571552,0.99999994851572,0.9999999705072918,0.9999999747576563,2.75598406791687,0.014053636398637076,1.0,1.0,1.0,0.0,
5,1,19,211,38,249,1.9418743252754211,1.5949018001556396,0.43136148899793625,0.06296832859516144,2.04457288980484,2.3962550163269043,0.0,0.10526315867900848,10.473536521325238,17.272444140566577,21.48269073332566,0.9999998515347643,0.9999998874663947,0.9999999095316484,5.329460144042969,0.014998726171681128,1.0,1.0,1.0,0.0,
5,1,20,211,38,249,1.8402732908725739,1.5706247687339783,0.3164614364504814,0.05697975866496563,2.0067076683044434,2.786425828933716,0.0,0.10526315867900848,6.991924723741347,9.17532733721272,10.093638449544642,0.9999998774678625,0.9999999361877578,0.9999999417377677,2.531503677368164,0.010981799387900198,1.0,1.0,1.0,0.0,
5,1,21,211,38,249,1.8534260988235474,1.3931883871555328,0.48060309141874313,0.12276842072606087,1.8433088958263397,2.5587286949157715,0.0,0.10526315867900848,10.185402667455367,14.044541359591625,14.362924965979857,0.9999999254537968,1.000000012219766,1.0000000159907356,3.741971492767334,0.013983757658941696,1.0,1.0,1.0,0.0,
5,1,22,211,38,249,2.1898560225963593,1.741431176662445,0.44994157552719116,0.12747142184525728,2.190928816795349,3.349149703979492,0.0,0.10526315867900848,15.80893965151944,16.71427761039571,16.908905191676126,0.9999999552370568,0.9999999831526108,0.999999994844984,4.278139591217041,0.023473346122378738,1.0,1.0,1.0,0.0,
5,1,23,211,38,249,1.8784255683422089,1.604920655488968,0.331080537289381,0.053469011560082436,2.0605863332748413,1.9940563440322876,0.0,0.10526315867900848,6.182169475493334,6.889966484809316,6.996930209194364,0.9999998880998571,0.9999999434781313,0.9999999550786914,1.7088334560394287,0.010805617174630739,1.0,1.0,0.0,0.0,
5,1,24,211,38,249,1.7745692133903503,1.57037553191185,0.250551450997591,0.03847343195229769,2.0074168145656586,2.0456345081329346,0.0,0.10526315867900848,8.390246554401134,9.14469705887682,9.322897856855379,0.9999998682714215,0.9999998983468975,0.999999901658152,2.4270403385162354,0.013497811730712076,1.0,1.0,0.0,0.0,
5,1,25,211,38,249,1.8100616931915283,1.518489122390747,0.3303350917994976,0.06669394578784704,1.968387395143509,4.678843021392822,0.0,0.10526315867900848,7.637515188306278,9.707441495922241,10.716283390621314,0.9999998830258988,0.9999999468822323,0.9999999838237271,2.6084182262420654,0.012280119458891257,1.0,1.0,1.0,0.0,
5,1,-1,211,38,249,,,,,,,0.25,,,,,,,,,,1.0,,,,0.0
5,2,0,423,75,249,13.881495339529854,11.90813854762486,1.2453053338187081,0.8758383989334106,12.40813854762486,11.775794506072998,0.0,0.03999999910593033,2.3063665061690295,3.0524542382658018,3.305000457140908,0.999999542435706,0.9999996396450374,0.999999654130019,1.2601118087768555,0.0028848821347288757,1.0,1.0,0.0,0.0,
5,2,1,423,75,249,13.342569078717913,11.573786326817103,1.1898378559521265,0.7534858584403992,12.07378659929548,11.392383575439453,0.0,0.03999999910593033,2.815135088066146,3.767456108877831,4.8910502088112535,0.9999996305995605,0.9999997083504715,0.9999997622216769,1.3991104364395142,0.004016089978727798,1.0,1.0,0.0,0.0,
5,2,2,423,75,249,11.944597380501884,10.232901981898717,1.2149733560425895,0.7019367643765041,10.732901981898717,9.361939430236816,0.0,0.03999999910593033,7.293555822764475,11.932021702236343,14.678934946692733,0.9999998427265221,0.9999999335959705,0.9999999523570284,3.0999820232391357,0.01081838395028306,1.0,1.0,1.0,0.0,
5,2,3,423,75,249,7.370129789624896,5.515932083129883,1.3580376591001238,0.7424107151372092,6.006120681762695,4.093135833740234,0.3333333333333333,0.03999999910593033,19.703716704399785,29.345791111433343,32.768004758449685,0.9999999839598404,1.0000000694904858,1.0000000750560474,7.276509761810303,0.030514111366538785,1.0,1.0,1.0,0.0,
5,2,4,423,75,249,7.3836347716195245,5.4961488246917725,1.3032062564577376,0.7896871566772461,5.973783901759556,4.728365063667297,0.0,0.03999999910593033,42.65534101139955,57.633107747799166,59.90535805868048,1.0000000094385404,1.0000001016981008,1.0000001087423638,13.472854614257812,0.06447815707188227,1.0,1.0,1.0,0.0,
5,2,5,423,75,249,4.493323360170637,2.959143434252058,1.1642466528075082,0.5968799676213946,3.434318576540266,4.600268840789795,0.0,0.03999999910593033,15.706613529983732,18.75808959067272,19.18379772462726,0.9999999251564421,0.9999999801942973,1.0000000034960976,5.04078483581543,0.02242602489908358,1.0,1.0,1.0,0.0,
5,2,6,423,75,249,3.928127799715315,2.449193102972848,1.07106648172651,0.5973534839493888,2.912914344242641,3.4296715259552,0.0,0.03999999910593033,12.884019522709906,14.479640979560793,15.241105359942996,0.9999999405521104,0.9999999931684215,1.0000000044269655,3.800705909729004,0.018827905672702292,1.0,1.0,1.0,0.0,
5,2,7,423,75,249,3.476785251072475,2.10103063923972,1.0594480293137687,0.5286327387605395,2.5556263583047047,4.136532545089722,0.0,0.03999999910593033,12.203753014353438,15.324794407355043,16.80810844195194,0.9999999487758592,1.0000000003085006,1.0000000224981702,3.9510679244995117,0.018811720603569813,1.0,1.0,1.0,0.0,
5,2,8,423,75,249,3.2599634443010603,2.1032064301627025,0.9932411653654916,0.40058023801871706,2.5649583680289134,4.112637281417847,0.0,0.03999999910593033,9.661928616191364,13.807935788949337,14.452322451163607,0.999999931166432,0.999999993551158,1.0000000643130968,3.4042696952819824,0.014995318426718791,1.0,1.0,1.0,0.0,
5,2,9,423,75,249,3.163800137383597,1.9609913315091814,1.0072698082242693,0.4274620775665556,2.4180972576141357,3.0558911561965942,0.0,0.03999999910593033,10.363183578257278,12.483712173987897,13.068119609371006,0.9999999402316424,1.0000000040818122,1.0000000045511115,3.1745455265045166,0.015474753047970505,1.0,1.0,1.0,0.0,
5,2,10,423,75,249,3.152979952948434,1.8871065037591117,1.0079329098973955,0.47222408652305603,2.342907054083688,3.3908571004867554,0.0,0.03999999910593033,9.230959803547842,11.518233506281737,15.037001968285706,0.9999999333546555,1.000000013026657,1.0000000756439504,2.415043830871582,0.015578566387678508,1.0,1.0,1.0,0.0,
5,2,11,423,75,249,3.2171720436641147,1.940288475581578,0.9653471793447223,0.4983394742012024,2.38831513268607,2.6297647953033447,0.0,0.03999999910593033,8.997316175323295,11.224579213178378,11.33316694026304,0.9999999242239511,0.9999999758954796,0.9999999873834894,2.6347029209136963,0.014304358537421898,1.0,1.0,1.0,0.0,
5,2,12,423,75,249,3.011419875281198,1.8403973749705724,0.9698245865958077,0.42080557559217724,2.3030286516462053,2.6800193786621094,0.0,0.03999999910593033,9.318094099064052,11.383026564588683,12.038407149941692,0.9999999205121407,0.9999999581799771,0.9999999922292773,2.670269012451172,0.014957703851321311,1.0,1.0,1.0,0.0,
