Section	Horizon	Model	Tau_mgL	Budget_r	MAE	RMSE	MASE1	MASE7	Precision	Recall	TP	Events	k
PointForecast	1	enet_a0.1_l0.5			1.5372939109802246	1.9287165403366089	1.2294994535255503	0.811565238400564					
PointForecast	3	enet_a0.1_l0.5			1.7191454966862996	2.163148125012716	1.3744038017792553	0.9069802882739788					
PointForecast	5	enet_a1.0_l0.2			1.794438322385152	2.266522844632467	1.4486108776092987	0.9522496759231456					
AlarmH5	5	enet	15	0.05					0.4210526315789473	0.1194029850746268	16	134	38
AlarmH5	5	hgbr	15	0.05					0.5	0.1417910447761194	19	134	38
AlarmH5	5	hybrid_paper_fixed	15	0.05					0.5526315789473685	0.1567164179104477	21	134	38
AlarmH5	5	hybrid_rank_v2	15	0.05					0.5526315789473685	0.1567164179104477	21	134	38
AlarmH5	5	persistence	15	0.05					0.5	0.1417910447761194	19	134	38
AlarmH5	5	tcn	15	0.05					0.5	0.1417910447761194	19	134	38
AlarmH5	5	enet	15	0.1					0.44	0.2462686567164179	33	134	75
AlarmH5	5	hgbr	15	0.1					0.4	0.2238805970149253	30	134	75
AlarmH5	5	hybrid_paper_fixed	15	0.1					0.36	0.2014925373134328	27	134	75
AlarmH5	5	hybrid_rank_v2	15	0.1					0.44	0.2462686567164179	33	134	75
AlarmH5	5	persistence	15	0.1					0.4266666666666667	0.2388059701492537	32	134	75
AlarmH5	5	tcn	15	0.1					0.3866666666666666	0.2164179104477611	29	134	75
AlarmH5	5	enet	16	0.05					0.2105263157894736	0.1126760563380281	8	71	38
AlarmH5	5	hgbr	16	0.05					0.3684210526315789	0.1971830985915492	14	71	38
AlarmH5	5	hybrid_paper_fixed	16	0.05					0.4473684210526316	0.2394366197183098	17	71	38
AlarmH5	5	hybrid_rank_v2	16	0.05					0.4473684210526316	0.2394366197183098	17	71	38
AlarmH5	5	persistence	16	0.05					0.3947368421052631	0.2112676056338028	15	71	38
AlarmH5	5	tcn	16	0.05					0.3947368421052631	0.2112676056338028	15	71	38
AlarmH5	5	enet	16	0.1					0.2533333333333333	0.2676056338028169	19	71	75
AlarmH5	5	hgbr	16	0.1					0.2933333333333333	0.3098591549295774	22	71	75
AlarmH5	5	hybrid_paper_fixed	16	0.1					0.28	0.2957746478873239	21	71	75
AlarmH5	5	hybrid_rank_v2	16	0.1					0.3466666666666667	0.3661971830985915	26	71	75
AlarmH5	5	persistence	16	0.1					0.3066666666666666	0.323943661971831	23	71	75
AlarmH5	5	tcn	16	0.1					0.24	0.2535211267605634	18	71	75
