record_type,horizon,model_family,file_path,row_count,date_min,date_max,unique_dates,duplicate_dates,intersection_count,only_a_count,only_b_count,identical_dates,notes
file_summary,5,BCR-TCN,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_H5_v2_preds.csv,747,2021-10-10,2023-10-26,747,0,NA,NA,NA,NA,
file_summary,5,BCR-TCN,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_v11_H5_v2_preds.csv,747,2021-10-10,2023-10-26,747,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.2_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.2_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.2_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.5_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.5_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.5_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_v2_H5_preds.csv,747,2021-10-10,2023-10-26,747,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.2_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.2_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.2_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,1,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.5_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.5_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.5_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,3,HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,5,HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H5_v2_preds.csv,747,2021-10-10,2023-10-26,747,0,NA,NA,NA,NA,
file_summary,1,Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_1_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,1,Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H1_preds.csv,762,2021-09-29,2023-10-30,762,0,NA,NA,NA,NA,
file_summary,3,Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H3_preds.csv,759,2021-09-30,2023-10-28,759,0,NA,NA,NA,NA,
file_summary,5,Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H5_preds.csv,759,2021-09-28,2023-10-26,759,0,NA,NA,NA,NA,
file_summary,5,Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_v2_H5_preds.csv,747,2021-10-10,2023-10-26,747,0,NA,NA,NA,NA,
pairwise_primary,1,ElasticNet vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H1_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H1_preds.csv,NA,2021-09-29,2023-10-30,NA,NA,762,0,0,YES,
max_common_primary,1,ElasticNet;Persistence,primary files intersection,NA,2021-09-29,2023-10-30,762,0,762,NA,NA,YES,common-date comparison possible
pairwise_primary,3,ElasticNet vs HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H3_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H3_preds.csv,NA,2021-09-30,2023-10-28,NA,NA,759,0,0,YES,
pairwise_primary,3,ElasticNet vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H3_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H3_preds.csv,NA,2021-09-30,2023-10-28,NA,NA,759,0,0,YES,
pairwise_primary,3,HGBR vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H3_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H3_preds.csv,NA,2021-09-30,2023-10-28,NA,NA,759,0,0,YES,
max_common_primary,3,ElasticNet;HGBR;Persistence,primary files intersection,NA,2021-09-30,2023-10-28,759,0,759,NA,NA,YES,common-date comparison possible
pairwise_primary,5,BCR-TCN vs ElasticNet,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_H5_v2_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H5_preds.csv,NA,2021-10-10,2023-10-26,NA,NA,747,0,12,NO,
pairwise_primary,5,BCR-TCN vs HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_H5_v2_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H5_preds.csv,NA,2021-10-10,2023-10-26,NA,NA,747,0,12,NO,
pairwise_primary,5,BCR-TCN vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_H5_v2_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H5_preds.csv,NA,2021-10-10,2023-10-26,NA,NA,747,0,12,NO,
pairwise_primary,5,ElasticNet vs HGBR,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H5_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H5_preds.csv,NA,2021-09-28,2023-10-26,NA,NA,759,0,0,YES,
pairwise_primary,5,ElasticNet vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.2_H5_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H5_preds.csv,NA,2021-09-28,2023-10-26,NA,NA,759,0,0,YES,
pairwise_primary,5,HGBR vs Persistence,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/hgbr_optuna_H5_preds.csv || /home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H5_preds.csv,NA,2021-09-28,2023-10-26,NA,NA,759,0,0,YES,
max_common_primary,5,BCR-TCN;ElasticNet;HGBR;Persistence,primary files intersection,NA,2021-10-10,2023-10-26,747,0,747,NA,NA,NO,common-date comparison possible
