horizon,threshold,budget,N,event_count,k,TP,precision,recall,prediction_source,H5_run_source,global_k_calc,per_fold_k_calc,k_rule,all_compared_models_use_identical_dates,present_in_Table3_main_long
1,15.0,0.05,762,141,39,30,0.7692,0.2128,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H1_preds.csv,NA,39,39,global_concatenated_tie_with_per_fold,YES,NA
1,15.0,0.05,762,141,39,27,0.6923,0.1915,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_H1_preds.csv,NA,39,39,global_concatenated_tie_with_per_fold,YES,NA
1,15.0,0.1,762,141,77,50,0.6494,0.3546,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H1_preds.csv,NA,77,78,global_concatenated,YES,NA
1,15.0,0.1,762,141,77,44,0.5714,0.3121,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_H1_preds.csv,NA,77,78,global_concatenated,YES,NA
3,16.0,0.05,759,73,38,11,0.2895,0.1507,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H3_preds.csv,NA,38,39,global_concatenated,YES,NA
3,16.0,0.05,759,73,38,16,0.4211,0.2192,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a1.0_l0.2_H3_preds.csv,NA,38,39,global_concatenated,YES,NA
3,16.0,0.1,759,73,76,21,0.2763,0.2877,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_H3_preds.csv,NA,76,78,global_concatenated,YES,NA
3,16.0,0.1,759,73,76,23,0.3026,0.3151,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.01_l0.2_H3_preds.csv,NA,76,78,global_concatenated,YES,NA
5,16.0,0.05,747,71,38,15,0.3947,0.2113,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,38,39,global_concatenated,YES,YES
5,16.0,0.05,747,71,38,8,0.2105,0.1127,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,38,39,global_concatenated,YES,YES
5,16.0,0.05,747,71,38,15,0.3947,0.2113,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/bcr_tcn_v11_H5_v2_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,38,39,global_concatenated,YES,YES
5,16.0,0.05,747,71,38,17,0.4474,0.2394,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/hybrid_rank_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,38,39,global_concatenated,YES,YES
5,16.0,0.1,747,71,75,23,0.3067,0.3239,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/persistence_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,75,75,global_concatenated_tie_with_per_fold,YES,YES
5,16.0,0.1,747,71,75,19,0.2533,0.2676,/home/alrezshams/acs_tnout_ulsan_revision/results/predictions/enet_a0.1_l0.5_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,75,75,global_concatenated_tie_with_per_fold,YES,YES
5,16.0,0.1,747,71,75,21,0.28,0.2958,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/hybrid_rank_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,75,75,global_concatenated_tie_with_per_fold,YES,YES
5,16.0,0.1,747,71,75,26,0.3467,0.3662,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/hybrid_rank_v2_H5_preds.csv,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,75,75,global_concatenated_tie_with_per_fold,YES,NO
