row_type,context,source_file,metric,scope,tau,budget_r,n_submitted,n_corrected,k_submitted,k_corrected,events_submitted,events_corrected,tp_submitted,tp_corrected,precision_submitted,precision_corrected,submitted_value,corrected_value,delta,status,notes
alarm_metric,submitted_747_v11_context,results/metrics/alarm_budget_bcr_tcn_v11_H5_v2.csv,recall_tau16_r05,overall,16.0,0.05,747.0,747.0,38.0,38.0,71.0,71.0,15.0,1.0,0.3947368421052631,0.02631578947368421,0.2112676056338028,0.014084507042253521,-0.19718309859154928,ok,Submitted v1.1 alarm table traceable to bcr_tcn_v11_H5_v2 predictions.
alarm_metric,submitted_747_v11_context,results/metrics/alarm_budget_bcr_tcn_v11_H5_v2.csv,recall_tau16_r05,fold1,16.0,0.05,249.0,249.0,13.0,13.0,31.0,31.0,1.0,1.0,0.0769230769230769,0.07692307692307693,0.032258064516129,0.03225806451612903,3.469446951953614e-17,ok,Submitted v1.1 alarm table traceable to bcr_tcn_v11_H5_v2 predictions.
alarm_metric,submitted_747_v11_context,results/metrics/alarm_budget_bcr_tcn_v11_H5_v2.csv,recall_tau16_r05,fold2,16.0,0.05,249.0,249.0,13.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,Submitted v1.1 alarm table traceable to bcr_tcn_v11_H5_v2 predictions.
alarm_metric,submitted_747_v11_context,results/metrics/alarm_budget_bcr_tcn_v11_H5_v2.csv,recall_tau16_r05,fold3,16.0,0.05,249.0,249.0,13.0,13.0,33.0,33.0,6.0,1.0,0.4615384615384615,0.07692307692307693,0.1818181818181818,0.030303030303030304,-0.1515151515151515,ok,Submitted v1.1 alarm table traceable to bcr_tcn_v11_H5_v2 predictions.
alarm_metric,submitted_747_hybrid_context,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,overall,16.0,0.05,747.0,747.0,38.0,38.0,71.0,71.0,15.0,1.0,0.3947368421052631,0.02631578947368421,0.2112676056338028,0.014084507042253521,-0.19718309859154928,ok,TCN row used in hybrid rank v2 747-date context.
alarm_metric,submitted_747_hybrid_context,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold1,16.0,0.05,249.0,249.0,13.0,13.0,31.0,31.0,1.0,1.0,0.0769230769230769,0.07692307692307693,0.032258064516129,0.03225806451612903,3.469446951953614e-17,ok,TCN row used in hybrid rank v2 747-date context.
alarm_metric,submitted_747_hybrid_context,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold2,16.0,0.05,249.0,249.0,13.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,TCN row used in hybrid rank v2 747-date context.
alarm_metric,submitted_747_hybrid_context,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold3,16.0,0.05,249.0,249.0,13.0,13.0,33.0,33.0,6.0,1.0,0.4615384615384615,0.07692307692307693,0.1818181818181818,0.030303030303030304,-0.1515151515151515,ok,TCN row used in hybrid rank v2 747-date context.
alarm_metric,submitted_735_shared_normalized_context,results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,overall,16.0,0.05,735.0,747.0,37.0,38.0,70.0,71.0,15.0,1.0,0.4054054054054054,0.02631578947368421,0.2142857142857142,0.014084507042253521,-0.20020120724346066,ok,Shared-date normalized hybrid context with n=735.
alarm_metric,submitted_735_shared_normalized_context,results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold1,16.0,0.05,241.0,249.0,13.0,13.0,31.0,31.0,1.0,1.0,0.0769230769230769,0.07692307692307693,0.032258064516129,0.03225806451612903,3.469446951953614e-17,ok,Shared-date normalized hybrid context with n=735.
alarm_metric,submitted_735_shared_normalized_context,results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold2,16.0,0.05,245.0,249.0,13.0,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,Shared-date normalized hybrid context with n=735.
alarm_metric,submitted_735_shared_normalized_context,results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,recall_tau16_r05,fold3,16.0,0.05,249.0,249.0,13.0,13.0,33.0,33.0,6.0,1.0,0.4615384615384615,0.07692307692307693,0.1818181818181818,0.030303030303030304,-0.1515151515151515,ok,Shared-date normalized hybrid context with n=735.
alarm_metric,submitted_759_date_context,results/metrics/alarm_budget_H5.csv,recall_tau16_r05,overall,16.0,0.05,,747.0,,38.0,,71.0,,1.0,,0.02631578947368421,,0.014084507042253521,,missing_historical_artifact,No direct TCN/BCR-TCN H5 row found in this 759-date context artifact.
alarm_metric,corrected_747_canonical_context,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_h5_predictions.csv,recall_tau16_r05,overall,16.0,0.05,,747.0,,38.0,,71.0,,1.0,,0.02631578947368421,,0.014084507042253521,,reference,Canonical corrected context uses locked split/date set with deterministic run.
decomposition,pooled_vs_fold_average,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_h5_metrics_pooled.csv,rmse_direct_minus_fold_average,overall,,,,747.0,,,,,,,,,,12.786255575706203,0.007215464991501719,computed,Pooled RMSE computed directly from all held-out rows; not simple fold average.
decomposition,outer_purge_effect,revision_2026/03_corrected_protocol/corrected_split_summary.csv,outer_test_row_count_before_minus_after,overall,,,762.0,747.0,,,,,,,,,762.0,747.0,-15.0,computed,Historical 759 vs corrected 747 is explained by corrected outer boundary purge policy.
decomposition,inner_purge_effect,revision_2026/03_corrected_protocol/corrected_split_summary.csv,inner_train_rows_before_minus_after,overall,,,1256.0,1241.0,,,,,,,,,1256.0,1241.0,-15.0,computed,Corrected inner purge removes 5 boundary rows per fold from subtraining partitions.
decomposition,determinism_seed_policy,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_fixed_configuration.json,seed_value,overall,,,,,,,,,,,,,,42.0,,computed,Deterministic run uses fixed seed 42 and deterministic torch algorithm settings.
