model,model_version,horizon,outer_fold,epoch,training_total_loss,training_regression_loss,training_bce_loss,training_ranking_loss,validation_recall_tau16_r05,validation_MAE,gradient_norm_before_clipping,gradient_norm_after_clipping,clipping_applied,selected_checkpoint,training_partition,validation_partition,seed,run_id
BCR-TCN,1.1,5,1,0,11.724797010421753,10.824060916900635,1.019270434975624,0.20655294880270958,0.0,13.372221946716309,1.7679592669010162,0.999999389052391,True,True,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,1,11.536388397216797,10.701012134552002,0.9662143290042877,0.18260523304343224,0.0,12.95483684539795,1.8941994905471802,0.9999994486570358,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,2,11.33359670639038,10.484976530075073,1.106182336807251,0.13207916915416718,0.0,12.161517143249512,2.9008690416812897,0.999999612569809,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,3,10.284233331680298,9.682075023651123,0.7421609163284302,0.11204399913549423,0.0,10.299509048461914,5.160934507846832,0.9999997615814209,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,4,8.464581966400146,7.887709617614746,0.7893927246332169,0.07374053169041872,0.0,4.511958599090576,10.712056398391724,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,5,5.662613868713379,5.161031246185303,0.6009750440716743,0.100712601095438,0.0,9.989739418029785,15.96761441230774,0.9999998658895493,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,6,5.617123663425446,4.979532480239868,0.5537096634507179,0.2181180976331234,0.0,11.847061157226562,25.029705286026,0.9999998956918716,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,7,4.330413341522217,3.8468934297561646,0.4730261042714119,0.14264597557485104,0.0,2.4369614124298096,22.695942878723145,0.9999998658895493,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,8,3.4488437175750732,3.0480968952178955,0.41367729008197784,0.10895746573805809,0.0,2.5504746437072754,16.670031309127808,0.9999998956918716,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,9,2.4363855123519897,2.07632377743721,0.40452253073453903,0.08382013067603111,0.0,1.8768541812896729,16.667749643325806,0.9999998956918716,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,10,2.1871060729026794,1.7978892028331757,0.3943730369210243,0.10899498034268618,0.0,1.4853787422180176,11.916475296020508,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,11,2.3256303668022156,2.032617688179016,0.3213760517537594,0.07156219985336065,0.0,1.988504409790039,9.40583622455597,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,12,2.027439624071121,1.7203808426856995,0.32906802743673325,0.07829851377755404,0.0,2.120283365249634,11.805854797363281,0.9999998956918716,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,13,2.388434946537018,1.959968388080597,0.3436472415924072,0.1587701439857483,0.0,2.5078213214874268,15.741516828536987,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,14,1.8741349875926971,1.6011557579040527,0.29102180153131485,0.07026152685284615,0.0,2.9461135864257812,13.299498677253723,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,15,2.3507657647132874,2.0080057978630066,0.3772520422935486,0.08314906060695648,0.0,1.5234570503234863,11.44904637336731,0.9999998658895493,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,16,1.9083438515663147,1.6602992713451385,0.3013928160071373,0.048006322234869,0.0,1.3850598335266113,10.094366550445557,0.9999998956918716,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,17,1.841851532459259,1.6288744509220123,0.25479867309331894,0.04292704723775387,0.0,3.2494912147521973,7.463832497596741,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,18,1.9583783447742462,1.7215998768806458,0.27131296321749687,0.05285048484802246,0.0,1.8027533292770386,7.420389652252197,0.9999998062849045,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,19,1.605771780014038,1.441689819097519,0.2024964615702629,0.030417230911552906,0.0,1.4865787029266357,7.20956826210022,0.9999998062849045,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,20,1.9241082072257996,1.7117089331150055,0.23995068483054638,0.04887778405100107,0.0,3.0115578174591064,11.332356095314026,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,21,1.7375237345695496,1.4604350328445435,0.2983529679477215,0.07005493668839335,0.0,2.5941431522369385,10.337467670440674,0.999999925494194,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,22,1.7414630949497223,1.5711120963096619,0.22285516560077667,0.026169935707002878,0.0,2.7924044132232666,11.319600701332092,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,23,1.728110134601593,1.4808166325092316,0.26737748831510544,0.062047842890024185,0.0,2.186192750930786,11.806888222694397,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,24,1.6686989068984985,1.5188482403755188,0.19240208715200424,0.02457813313230872,0.0,1.3367664813995361,7.209831237792969,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,25,1.7283934950828552,1.5584433674812317,0.2140890210866928,0.029640452470630407,0.0,2.2257771492004395,16.696266651153564,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,0,13.884590557643346,12.027839524405342,1.1912656426429749,0.8157084328787667,0.0,12.100308895111084,2.2211294855390276,0.9999995657375881,True,True,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,1,13.33793476649693,11.591006415230888,1.1832333632877894,0.7407059158597674,0.0,11.660050868988037,3.362698418753488,0.9999996934618268,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,2,11.240525926862444,9.676953792572021,1.1042636632919312,0.6435814457280296,0.0,9.604519367218018,8.887573446546282,0.9999998978206089,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,3,7.7593368121555875,5.769561971936907,1.28681914295469,0.8697738306862968,0.0,3.628696084022522,20.855491501944407,0.9999999318804059,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,4,6.702296188899449,4.716011115482876,1.4079040799822127,0.8153875938483647,0.0,5.4496660232543945,30.205277579171316,0.9999999744551522,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,5,5.176990917750767,3.68981443132673,1.0907264947891235,0.5948147475719452,0.0,4.636170148849487,19.670963832310267,0.9999999403953552,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,6,4.280079875673566,2.5243565355028426,1.0975856525557381,0.7836942715304238,0.0,3.434790253639221,19.98249285561698,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,7,3.757779564176287,2.2823588848114014,1.1071015085492815,0.5793997730527606,0.0,4.26889705657959,11.773520469665527,0.9999998978206089,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,8,3.338616575513567,2.0775091307503835,1.010011843272618,0.4679287906203951,0.0,3.537859559059143,10.449754442487444,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,9,3.2480264050619945,1.959182790347508,0.9721327679497855,0.5039742887020111,0.0,3.4173572063446045,9.79421601976667,0.9999998722757611,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,10,3.2274303436279297,1.989421810422625,0.9750215070588248,0.466425427368709,0.0,3.9043281078338623,10.065094334738594,0.9999998893056598,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,11,3.1052374158586775,1.8959551879337855,0.913956310067858,0.47207747186933247,0.0,3.3453469276428223,7.495650155203683,0.9999998382159642,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,12,3.1519997801099504,1.9131207636424474,0.9520067317145211,0.47691069756235394,0.0,3.027152895927429,9.935638495853969,0.999999863760812,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,13,2.935009275163923,1.831164973122733,0.8821378946304321,0.4104010654347284,0.0,3.0310651063919067,8.786229065486364,0.9999998552458627,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
