horizon,outer_fold,candidate_alpha,candidate_l1_ratio,candidate_name,inner_validation_N,inner_validation_MAE,inner_validation_MSE,inner_validation_RMSE,selected,selection_reason,inner_train_date_start,inner_train_date_end,inner_validation_date_start,inner_validation_date_end,outer_test_accessed_during_selection
1,1,0.01,0.2,enet_a0.01_l0.2,38,1.0038999765669583,1.7329424289859034,1.3164127122547487,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,0.01,0.5,enet_a0.01_l0.5,38,1.0041644415646829,1.741652815441154,1.3197169451973987,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,0.1,0.2,enet_a0.1_l0.2,38,1.0279893369733504,1.87171252618072,1.3681054514110818,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,0.1,0.5,enet_a0.1_l0.5,38,1.0760586418625215,2.047943072709208,1.4310636158847754,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,1.0,0.2,enet_a1.0_l0.2,38,1.3429562000171582,2.7234130138416894,1.6502766476690172,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,1.0,0.5,enet_a1.0_l0.5,38,1.5097092801997924,3.2929608296844477,1.8146517102971709,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,2,0.01,0.2,enet_a0.01_l0.2,77,1.5449660149804738,4.034067797435788,2.0084988915694697,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,0.01,0.5,enet_a0.01_l0.5,77,1.5394969344907081,4.00804314183969,2.002009775660371,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,0.1,0.2,enet_a0.1_l0.2,77,1.4831123387153218,3.668892769286371,1.9154353994030628,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,0.1,0.5,enet_a0.1_l0.5,77,1.4732669404194527,3.6117597004924957,1.9004630226585562,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,1.0,0.2,enet_a1.0_l0.2,77,1.4867450131624997,3.5738136731982473,1.8904532983383238,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,1.0,0.5,enet_a1.0_l0.5,77,1.5264993183081574,3.7381224810915716,1.933422478686842,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,3,0.01,0.2,enet_a0.01_l0.2,115,1.5936984350399557,4.118344597630958,2.029370492943799,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,0.01,0.5,enet_a0.01_l0.5,115,1.5897081492379284,4.114743358578631,2.0284830190510914,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,0.1,0.2,enet_a0.1_l0.2,115,1.5633537478097115,4.024529235559821,2.0061229363027135,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,0.1,0.5,enet_a0.1_l0.5,115,1.5542048242180457,3.992484742951665,1.9981203024221703,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,1.0,0.2,enet_a1.0_l0.2,115,1.5159353056393639,3.7910565865247907,1.9470635805039318,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,1.0,0.5,enet_a1.0_l0.5,115,1.5238418534738147,3.834572714947292,1.9582065046739305,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
3,1,0.01,0.2,enet_a0.01_l0.2,38,1.5981980632831714,3.964998883654084,1.9912304948584139,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,0.01,0.5,enet_a0.01_l0.5,38,1.6054702817308024,3.9932363128805197,1.9983083628110352,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,0.1,0.2,enet_a0.1_l0.2,38,1.7654543091912174,4.590908759984718,2.14264060448427,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,0.1,0.5,enet_a0.1_l0.5,38,1.9078858122578737,5.257343779455302,2.2928898315129103,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,1.0,0.2,enet_a1.0_l0.2,38,2.12502478357246,6.324058879224851,2.5147681561577104,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,1.0,0.5,enet_a1.0_l0.5,38,2.3671720942888435,7.676036089012574,2.770566023218464,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,2,0.01,0.2,enet_a0.01_l0.2,75,1.8522443562146036,5.626710924782885,2.3720689123174488,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
