source_path,run_id,file_date_utc,horizon,model_variant,feature_set,N,date_range,selected_parameters,MAE,MSE,RMSE,MASE,aggregation_method,lineage,date_set_scope,used_in_manuscript_or_si,provenance_confidence,notes
results/predictions/hgbr_optuna_H3_preds.csv,hgbr_optuna_H3_preds,2026-02-19T08:27:25Z,H3,Optuna-selected HGBR prediction artifact,ulsan_H3_features.npz,759.0,2021-09-30..2023-10-28,"{""l2_regularization"": 4.278503270461749e-06, ""learning_rate"": 0.010796030105287001, ""max_bins"": 177, ""max_iter"": 312, ""max_leaf_nodes"": 181, ""min_samples_leaf"": 58}",1.7767021126165674,5.0847208697705275,2.254932564350989,,pooled_over_file_rows,ordinary,model_specific_759,YES,High,Direct submitted prediction artifact.
results/predictions/hgbr_optuna_H5_preds.csv,hgbr_optuna_H5_preds,2026-02-19T08:27:26Z,H5,Optuna-selected HGBR prediction artifact,ulsan_H5_features.npz,759.0,2021-09-28..2023-10-26,"{""l2_regularization"": 0.003628448495829059, ""learning_rate"": 0.02278900618391353, ""max_bins"": 125, ""max_iter"": 304, ""max_leaf_nodes"": 210, ""min_samples_leaf"": 38}",1.754919394394562,5.238782642287005,2.2888387104134282,,pooled_over_file_rows,ordinary,model_specific_759,YES,High,Direct submitted prediction artifact.
results/predictions/hgbr_optuna_H5_v2_preds.csv,hgbr_optuna_H5_v2_preds,2026-02-19T08:33:23Z,H5,Optuna-selected HGBR prediction artifact,ulsan_H5_features_v2.npz,747.0,2021-10-10..2023-10-26,"{""l2_regularization"": 0.03951193247120924, ""learning_rate"": 0.010002717231678754, ""max_bins"": 186, ""max_iter"": 807, ""max_leaf_nodes"": 78, ""min_samples_leaf"": 88}",1.7954476951540996,5.246395123022668,2.2905010637462424,,pooled_over_file_rows,v2,canonical_747,YES,High,Direct submitted prediction artifact.
deliverables/si_upload_packages_20260329/generated/final_chosen_hyperparameters_by_horizon_model.csv,si_upload_packages_20260329,2026-03-28T22:33:50Z,H3,submitted_hyperparameter_summary_rowset,not_explicit,,not_explicit,"{""l2_regularization"": ""0.002423595926739716"", ""learning_rate"": ""0.010709069919903496"", ""max_bins"": ""209"", ""max_iter"": ""427"", ""max_leaf_nodes"": ""150"", ""min_samples_leaf"": ""84""}",,,,,not_applicable,ordinary_declared_by_source_path,not_explicit,YES,Medium,Parameter values conflict with referenced JSON best_params.
deliverables/si_upload_packages_20260329/generated/final_chosen_hyperparameters_by_horizon_model.csv,si_upload_packages_20260329,2026-03-28T22:33:50Z,H5,submitted_hyperparameter_summary_rowset,not_explicit,,not_explicit,"{""l2_regularization"": ""0.013241282149293206"", ""learning_rate"": ""0.02376701428216776"", ""max_bins"": ""239"", ""max_iter"": ""494"", ""max_leaf_nodes"": ""96"", ""min_samples_leaf"": ""122""}",,,,,not_applicable,ordinary_declared_by_source_path,not_explicit,YES,Medium,Parameter values conflict with referenced JSON best_params.
results/hgbr/hgbr_optuna_H3.json,hgbr_optuna_H3,2026-02-19T08:25:57Z,H3,Optuna study objective summary,ulsan_H3_features.npz,,training_CV_period,"{""l2_regularization"": 4.278503270461749e-06, ""learning_rate"": 0.010796030105287001, ""max_bins"": 177, ""max_iter"": 312, ""max_leaf_nodes"": 181, ""min_samples_leaf"": 58}",1.7767021216581735,,,,unweighted_mean_inner_validation_MAE,ordinary,training_CV_not_outer_test,YES,High,"This MAE is Optuna objective value, not pooled outer-test metric."
results/hgbr/hgbr_optuna_H5.json,hgbr_optuna_H5,2026-02-19T08:27:00Z,H5,Optuna study objective summary,ulsan_H5_features.npz,,training_CV_period,"{""l2_regularization"": 0.003628448495829059, ""learning_rate"": 0.02278900618391353, ""max_bins"": 125, ""max_iter"": 304, ""max_leaf_nodes"": 210, ""min_samples_leaf"": 38}",1.7549193974050266,,,,unweighted_mean_inner_validation_MAE,ordinary,training_CV_not_outer_test,YES,High,"This MAE is Optuna objective value, not pooled outer-test metric."
results/hgbr/hgbr_optuna_H5_v2.json,hgbr_optuna_H5_v2,2026-02-19T08:33:22Z,H5,Optuna study objective summary,ulsan_H5_features_v2.npz,,training_CV_period,"{""l2_regularization"": 0.03951193247120924, ""learning_rate"": 0.010002717231678754, ""max_bins"": 186, ""max_iter"": 807, ""max_leaf_nodes"": 78, ""min_samples_leaf"": 88}",1.7954477047494877,,,,unweighted_mean_inner_validation_MAE,v2,training_CV_not_outer_test,YES,High,"This MAE is Optuna objective value, not pooled outer-test metric."
results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/point_metrics_tnout_H5.csv,20260219_195429_H5_hybrid_rank_v2,2026-02-19T11:04:06Z,H5,shared-date_point_metric_summary,v2_context_base_predictions,747.0,shared_date_intersection_747,indirect_from_results/predictions/hgbr_optuna_H5_v2_preds.csv,1.795447704749488,5.24639515852957,2.290501071497145,1.1572899988185572,pooled_overall,v2,shared_date_747,YES,High,Source file used by Table1_leakage_safe_point_forecasting.csv for hgbr H5 row.
results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/tables/point_metrics_tnout_H5.csv,20260220_131820_H5_hybrid_rank_v2,2026-02-20T04:26:17Z,H5,normalized_shared-date_point_metric_summary,v2_context_base_predictions,735.0,shared_date_inner_join_735,indirect_from_results/hybrid_rank_v2_runs/.../predictions/hgbr_H5_preds.csv,1.769585414449508,5.3214234464909005,2.3068210694570355,1.1476980879674064,pooled_overall,v2,shared_date_735_normalized,NO_exploratory_normalized_comparison,High,Exploratory normalized-comparison run with 12 rows removed by model inner-join filtering.
