horizon,metric,submitted_value,corrected_pooled_value,unweighted_fold_mean,weighted_fold_mean,sqrt_unweighted_fold_mse,sqrt_weighted_fold_mse,submitted_aggregation_identified,submitted_label_correct,difference_explanation,recommended_revision_value
1,MAE,1.5460530816726485,1.5460530815485565,1.5460530815485563,1.5460530815485565,2.0602790723293127,2.0602790723293127,unweighted mean of fold MAE from main_linear_metrics_H*.json point_metrics.persistence,YES,Aggregation effect is +0.000000000000 (near zero with equal fold sizes); canonical-date effect is +0.000000000443.,1.5460530815485565
1,MSE,4.24474994612578,4.244749855878133,4.244749855878133,4.244749855878133,2.0602790723293127,2.0602790723293127,implied mean of fold MSE using fold RMSE^2 (MSE not explicitly stored in submitted file),NO,"Submitted MSE is implied (mean of fold RMSE^2), not explicitly reported; aggregation effect +0.000000000000, canonical-date effect -0.000000049374.",4.244749855878133
1,RMSE,2.044486237973267,2.0602790723293127,2.0444862137452677,2.0444862137452677,2.0602790723293127,2.0602790723293127,unweighted mean of fold RMSE from main_linear_metrics_H*.json point_metrics.persistence,NO,"Delta = aggregation effect (+0.015792858584) + canonical-date effect (-0.000000013983); submitted source is mean fold RMSE, corrected value is pooled RMSE; persistence implementation unchanged on overlapping dates.",2.0602790723293127
1,MASE,1.2315543026492117,1.2326583186056683,1.2326583186056688,1.2326583186056688,2.0602790723293127,2.0602790723293127,unweighted mean of fold MASE1 from main_linear_metrics_H*.json point_metrics.persistence,YES,Total delta +0.001104015956 = canonical-date effect (-0.000000000567) + denominator effect (+0.001104016524); both use training-only m=1 naive scale.,1.2326583186056683
3,MAE,2.0250068772608736,2.025676317670683,2.025676317670683,2.025676317670683,2.598512676716014,2.598512676716014,unweighted mean of fold MAE from main_linear_metrics_H*.json point_metrics.persistence,YES,Aggregation effect is +0.000000000000 (near zero with equal fold sizes); canonical-date effect is +0.000669466258.,2.025676317670683
3,MSE,6.7293257705745395,6.752268131053822,6.752268131053822,6.752268131053822,2.598512676716014,2.598512676716014,implied mean of fold MSE using fold RMSE^2 (MSE not explicitly stored in submitted file),NO,"Submitted MSE is implied (mean of fold RMSE^2), not explicitly reported; aggregation effect +0.000000000000, canonical-date effect +0.022942516573.",6.752268131053822
3,RMSE,2.578892839628263,2.598512676716014,2.5852188026096417,2.585218802609642,2.598512676716014,2.598512676716014,unweighted mean of fold RMSE from main_linear_metrics_H*.json point_metrics.persistence,NO,"Delta = aggregation effect (+0.013293874106) + canonical-date effect (+0.006325993162); submitted source is mean fold RMSE, corrected value is pooled RMSE; persistence implementation unchanged on overlapping dates.",2.598512676716014
3,MASE,1.6110314315369614,1.6150044626281836,1.6150044626281836,1.6150044626281836,2.598512676716014,2.598512676716014,unweighted mean of fold MASE1 from main_linear_metrics_H*.json point_metrics.persistence,YES,Total delta +0.003973031091 = canonical-date effect (+0.000614643114) + denominator effect (+0.003358387977); both use training-only m=1 naive scale.,1.6150044626281836
5,MAE,2.0774835591573804,2.074511378848728,2.074511378848728,2.074511378848728,2.66612796644022,2.66612796644022,unweighted mean of fold MAE from main_linear_metrics_H*.json point_metrics.persistence,YES,Aggregation effect is +0.000000000000 (near zero with equal fold sizes); canonical-date effect is -0.002972165864.,2.074511378848728
5,MSE,7.086584237036678,7.108238333434664,7.108238333434663,7.108238333434664,2.66612796644022,2.66612796644022,implied mean of fold MSE using fold RMSE^2 (MSE not explicitly stored in submitted file),NO,"Submitted MSE is implied (mean of fold RMSE^2), not explicitly reported; aggregation effect +0.000000000000, canonical-date effect +0.021654161369.",7.108238333434664
5,RMSE,2.6533337137266915,2.66612796644022,2.6574506120387658,2.6574506120387658,2.66612796644022,2.66612796644022,unweighted mean of fold RMSE from main_linear_metrics_H*.json point_metrics.persistence,NO,"Delta = aggregation effect (+0.008677354401) + canonical-date effect (+0.004116909980); submitted source is mean fold RMSE, corrected value is pooled RMSE; persistence implementation unchanged on overlapping dates.",2.66612796644022
5,MASE,1.6664476520183547,1.64992835286952,1.64992835286952,1.64992835286952,2.66612796644022,2.66612796644022,unweighted mean of fold MASE1 from main_linear_metrics_H*.json point_metrics.persistence,YES,Total delta -0.016519299149 = canonical-date effect (-0.002830581985) + denominator effect (-0.013688717164); both use training-only m=1 naive scale.,1.64992835286952
