horizon,outer_fold,candidate_alpha,inner_validation_N,inner_validation_MAE,inner_validation_MSE,inner_validation_RMSE,selected,selection_reason,inner_train_date_start,inner_train_date_end,inner_validation_date_start,inner_validation_date_end,outer_test_accessed_during_selection
1,1,0.01,38,1.0129097792030837,1.757533467913734,1.3257199809589255,False,not_selected_higher_inner_validation_MAE,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,0.1,38,1.0122317849762144,1.7550605682950724,1.3247869897817808,False,not_selected_higher_inner_validation_MAE,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,1.0,38,1.0071438733144813,1.7379374305924173,1.31830854908569,False,not_selected_higher_inner_validation_MAE,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,10.0,38,1.0019322339134529,1.7329095605301206,1.3164002280955898,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,1,100.0,38,1.0336655984824827,1.9692136422231905,1.4032867284426196,False,not_selected_higher_inner_validation_MAE,2021-01-18,2021-08-19,2021-08-21,2021-09-27,False
1,2,0.01,77,1.5724719285237236,4.179198317170926,2.0443087626801697,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,0.1,77,1.5718524670428293,4.175622221805319,2.043433928906271,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,1.0,77,1.5660610645557205,4.142855099459802,2.0354004764320464,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,10.0,77,1.5329326557378757,3.9565574929711693,1.9891097237133926,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,2,100.0,77,1.4798603984834695,3.611579649804835,1.9004156518522033,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-01-18,2022-03-22,2022-03-24,2022-06-08,False
1,3,0.01,115,1.604004884888048,4.146075001502256,2.0361912978652708,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,0.1,115,1.6038846524049295,4.14567470303056,2.036092999602562,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,1.0,115,1.6027106943613116,4.1417947699161015,2.0351399877934937,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,10.0,115,1.5931349651087454,4.111477797279408,2.027677932335263,False,not_selected_higher_inner_validation_MAE,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
1,3,100.0,115,1.562961245738139,4.00596602067197,2.001490949435438,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-01-18,2022-10-24,2022-10-26,2023-02-17,False
3,1,0.01,38,1.5595746987239898,3.8610564923807438,1.9649571222753803,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,0.1,38,1.5613512632920834,3.866641830570162,1.9663778453212297,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,1.0,38,1.5785098631716143,3.911556975874409,1.9777656524154748,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,10.0,38,1.6346398433870515,4.050128804389785,2.012493181203302,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,1,100.0,38,1.8104123893113337,4.73212096504799,2.175343872827464,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,2,0.01,75,1.912052100450577,5.95278720668947,2.4398334383087446,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,0.1,75,1.910646166911256,5.945174825315057,2.4382729185460468,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,1.0,75,1.8972330502478003,5.8715728047768385,2.4231328491803414,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,10.0,75,1.801105121541059,5.3394592704119335,2.310727000407433,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,100.0,75,1.6034676201758198,4.212105896664312,2.052341564327028,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
