source_type,source_path,source_sha256,source_role,read_only,numeric_values_modified,included_in_score_construction,notes
canonical,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_wide.csv,bd0ff5160804c6945fb45e1c52c10d76f95ec1d85b4466f6ff681bed76431d77,corrected_component_score_input,True,False,True,only corrected numerical source used for fixed score construction
canonical,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_long.csv,01e319cc242ed38200e529a88ca196952017ea7804cd6287bcd405ed59ed0af4,cross_model_label_consistency_verification,True,False,False,used to verify y_true/event label consistency across component models
canonical,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_assembly_manifest.json,fa0fc288cdb09954d11ee2da26f8258e2fb945f7d4c1f13d446daf72591e7c98,canonical_assembly_identity,True,False,False,canonical assembly ID and canonical_N provenance
canonical,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_source_registry.csv,7d6d10f75e0f50e50dc8bc39ff982077cd541e8602709c70a794001b380c79bb,canonical_source_lineage,True,False,False,component source lineage and source decisions
protocol,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/03_corrected_protocol/canonical_dataset_lock.json,1554a9381e264f3c84853cc13b23c87883db8383b2fd778774bccb2d43bd535c,dataset_lock_verification,True,False,False,dataset checksum lock
submitted_source,/home/alrezshams/acs_tnout_ulsan/src/make_hybrid_rank_ensemble_v2.py,356ee54f367b836ef76746c804dc75dfd24c785c9b6222134c407c423bf49707,submitted_hybridrank_implementation_reference,True,False,False,read-only provenance inspection
submitted_run_provenance,/home/alrezshams/acs_tnout_ulsan/results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/run_config.json,b6e2e12ea4eb0703144258a0e3374476099265fbadd5ce6b0cd037f19148ba64,submitted_run_configuration,True,False,False,read-only provenance inspection
submitted_run_provenance,/home/alrezshams/acs_tnout_ulsan/results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/models/paper_fixed_rank_weights_H5.csv,7bea2c99a4dcf536055895f2e8292960abecef719c71536d50cb410ae1528b9a,primary_fixed_weight_provenance,True,False,False,fixed documented vector provenance
submitted_run_provenance,/home/alrezshams/acs_tnout_ulsan/results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/predictions/rank_scores_tauwise_H5.csv,740b83e4061568742d459f7a614f329b531b1271196e29cab46da3d12d6856d4,submitted_rank_score_reference,True,False,False,read-only provenance inspection
submitted_run_provenance,/home/alrezshams/acs_tnout_ulsan/results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/hybrid_rank_v2_H5_preds.csv,db790103e3b68c6b9bac0af49bd72a5c655f54a95202293b4d04e7b1902b27f3,submitted_hybrid_prediction_reference,True,False,False,read-only provenance inspection
submitted_run_provenance,/home/alrezshams/acs_tnout_ulsan/results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/models/model_registry_H5.csv,6c3fa4aaebf6e4adb3da1af4ca1a535a86f475f19217cbf341e6d7313b98c0c9,submitted_model_registry_reference,True,False,False,submitted alias hybrid_paper_fixed provenance
fully_nested_feasibility,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/06_corrected_hybridrank/h5/fully_nested/fully_nested_hybridrank_h5_manifest.json,d9b283e49a388793d2c9458c587812f246862fda33d274627a01cf7b00c3007f,fully_nested_feasibility_manifest,True,False,False,fully nested tuned pathway feasibility state
fully_nested_feasibility,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/06_corrected_hybridrank/h5/fully_nested/fully_nested_hybridrank_h5_completion_report.md,8e094c20a9c2d3400329484b3774f28d817783f1f33f24c5fc32584c8726b997,fully_nested_feasibility_decision_report,True,False,False,Decision C verification
fully_nested_feasibility,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/06_corrected_hybridrank/h5/fully_nested/fold1_component_validation_tau16_diagnostic.csv,0d4da7a258038accf6b96773617c0573dfde4821dd8933ec7e32b4e9a96d0fa9,fold1_tau16_support_diagnostic,True,False,False,documents zero tau16 events in Fold 1 component validation
fully_nested_feasibility,/home/alrezshams/acs_tnout_ulsan_revision/revision_2026/06_corrected_hybridrank/h5/fully_nested/fully_nested_hybridrank_h5_checksums.sha256,5af5bd3e9424ea749f1b1d01e87da806af2fa3863a83731a18718e94bdb2e5f6,fully_nested_checksum_registry,True,False,False,read-only checksum registry
