horizon,outer_fold,feature_date,target_date,canonical_row_id,y_true,event_tau15,event_tau16,event_tau17,threshold,nominal_budget_r,model,score,score_source,score_context,rank_within_fold,k_fold,alarm_flag,cutoff_score,tie_rule,dataset_sha256,split_sha256,canonical_assembly_id,fixed_hybridrank_run_id,alarm_run_id,git_commit
5,1,2022-02-01,2022-02-06,115,16.4,1,1,0,15,0.05,BCR-TCN v1.1,0.6005144715309143,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,1,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-01-31,2022-02-05,114,16.84,1,1,0,15,0.05,BCR-TCN v1.1,0.5812908411026001,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,2,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-06,2022-02-11,120,15.29,1,0,0,15,0.05,BCR-TCN v1.1,0.5759032964706421,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,3,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-05,2022-02-10,119,16.4,1,1,0,15,0.05,BCR-TCN v1.1,0.571462869644165,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,4,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2021-12-23,2021-12-28,75,12.06,0,0,0,15,0.05,BCR-TCN v1.1,0.5704467296600342,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,5,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-07,2022-02-12,121,16.08,1,1,0,15,0.05,BCR-TCN v1.1,0.5693680047988892,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,6,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-02,2022-02-07,116,16.34,1,1,0,15,0.05,BCR-TCN v1.1,0.5638808608055115,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,7,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-04,2022-02-09,118,16.3,1,1,0,15,0.05,BCR-TCN v1.1,0.5636312961578369,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,8,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2021-12-22,2021-12-27,74,11.88,0,0,0,15,0.05,BCR-TCN v1.1,0.5632863640785217,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,9,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-01-30,2022-02-04,113,14.95,0,0,0,15,0.05,BCR-TCN v1.1,0.5612398982048035,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,10,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-01-29,2022-02-03,112,15.86,1,0,0,15,0.05,BCR-TCN v1.1,0.5605639815330505,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,11,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-03,2022-02-08,117,17.09,1,1,1,15,0.05,BCR-TCN v1.1,0.5570760369300842,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,12,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2022-02-08,2022-02-13,122,16.36,1,1,0,15,0.05,BCR-TCN v1.1,0.5541538000106812,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,13,13,1,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2021-12-19,2021-12-24,71,17.98,1,1,1,15,0.05,BCR-TCN v1.1,0.5439113974571228,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,14,13,0,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
5,1,2021-12-17,2021-12-22,69,12.64,0,0,0,15,0.05,BCR-TCN v1.1,0.5416229963302612,canonical_h5_predictions_wide.csv:bcr_tcn_v11_p_tau15,retrospective_offline_top_k,15,13,0,0.5541538000106812,desc_score_then_target_date_then_feature_date_then_canonical_row_id,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,canonical_h5_cross_model_6ed147cd_f83baf57_596f1d05ff47,fixed_hybridrank_h5_ea738f9bca32_6ed147cd_f83baf57,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57,1a7fa526c26397ac50810bca24f57d3765aa4af4
