model,horizon,outer_fold,threshold,nominal_budget_r,N,events,k,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,random_expected_recall,recall_enrichment_over_random,date_start,date_end,score_context,dataset_sha256,split_sha256,alarm_run_id
BCR-TCN v1.1,5,1,15,0.05,249,59,13,0.05220883534136546,10,3,49,187,0.7692307692307693,0.1694915254237288,0.9842105263157894,0.015789473684210527,0.23076923076923078,0.8305084745762712,0.05220883534136546,3.246414602346806,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,15,0.1,249,59,25,0.10040160642570281,16,9,43,181,0.64,0.2711864406779661,0.9526315789473684,0.04736842105263158,0.36,0.7288135593220338,0.10040160642570281,2.7010169491525424,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.05,249,31,13,0.05220883534136546,1,12,30,206,0.07692307692307693,0.03225806451612903,0.944954128440367,0.05504587155963303,0.9230769230769231,0.967741935483871,0.05220883534136546,0.6178660049627792,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.1,249,31,25,0.10040160642570281,2,23,29,195,0.08,0.06451612903225806,0.8944954128440367,0.10550458715596331,0.92,0.9354838709677419,0.10040160642570281,0.6425806451612903,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.05,249,16,13,0.05220883534136546,1,12,15,221,0.07692307692307693,0.0625,0.9484978540772532,0.05150214592274678,0.9230769230769231,0.9375,0.05220883534136546,1.1971153846153846,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.1,249,16,25,0.10040160642570281,2,23,14,210,0.08,0.125,0.9012875536480687,0.09871244635193133,0.92,0.875,0.10040160642570281,1.245,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.05,249,20,13,0.05220883534136546,2,11,18,218,0.15384615384615385,0.1,0.9519650655021834,0.048034934497816595,0.8461538461538461,0.9,0.05220883534136546,1.9153846153846157,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.1,249,20,25,0.10040160642570281,2,23,18,206,0.08,0.1,0.8995633187772926,0.10043668122270742,0.92,0.9,0.10040160642570281,0.9960000000000001,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.05,249,7,13,0.05220883534136546,0,13,7,229,0.0,0.0,0.9462809917355371,0.05371900826446281,1.0,1.0,0.05220883534136546,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.1,249,7,25,0.10040160642570281,0,25,7,217,0.0,0.0,0.8966942148760331,0.10330578512396695,1.0,1.0,0.10040160642570281,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
