model,horizon,threshold,nominal_budget_r,pooled_N,pooled_events,pooled_K,realized_pooled_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,random_expected_recall,recall_enrichment_over_random,folds,score_context,dataset_sha256,split_sha256,alarm_run_id
BCR-TCN v1.1,5,15,0.05,747,134,39,0.05220883534136546,20,19,114,594,0.5128205128205128,0.14925373134328357,0.9690048939641109,0.03099510603588907,0.48717948717948717,0.8507462686567164,0.05220883534136546,2.858783008036739,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,15,0.1,747,134,75,0.10040160642570281,31,44,103,569,0.41333333333333333,0.23134328358208955,0.9282218597063622,0.07177814029363784,0.5866666666666667,0.7686567164179104,0.10040160642570281,2.304179104477612,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,16,0.05,747,71,39,0.05220883534136546,2,37,69,639,0.05128205128205128,0.028169014084507043,0.9452662721893491,0.05473372781065089,0.9487179487179487,0.971830985915493,0.05220883534136546,0.5395449620801734,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,16,0.1,747,71,75,0.10040160642570281,6,69,65,607,0.08,0.08450704225352113,0.8979289940828402,0.10207100591715976,0.92,0.9154929577464789,0.10040160642570281,0.8416901408450704,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,17,0.05,747,29,39,0.05220883534136546,5,34,24,684,0.1282051282051282,0.1724137931034483,0.9526462395543176,0.04735376044568245,0.8717948717948718,0.8275862068965517,0.05220883534136546,3.3023872679045096,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,17,0.1,747,29,75,0.10040160642570281,9,66,20,652,0.12,0.3103448275862069,0.9080779944289693,0.09192200557103064,0.88,0.6896551724137931,0.10040160642570281,3.0910344827586207,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,15,0.05,747,134,39,0.05220883534136546,19,20,115,593,0.48717948717948717,0.1417910447761194,0.967373572593801,0.03262642740619902,0.5128205128205128,0.8582089552238806,0.05220883534136546,2.715843857634902,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,15,0.1,747,134,75,0.10040160642570281,31,44,103,569,0.41333333333333333,0.23134328358208955,0.9282218597063622,0.07177814029363784,0.5866666666666667,0.7686567164179104,0.10040160642570281,2.304179104477612,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,16,0.05,747,71,39,0.05220883534136546,11,28,60,648,0.28205128205128205,0.15492957746478872,0.9585798816568047,0.04142011834319527,0.717948717948718,0.8450704225352113,0.05220883534136546,2.9674972914409534,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,16,0.1,747,71,75,0.10040160642570281,20,55,51,621,0.26666666666666666,0.28169014084507044,0.9186390532544378,0.08136094674556213,0.7333333333333333,0.7183098591549296,0.10040160642570281,2.8056338028169017,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
