model,threshold,nominal_budget_r,pooled_N,pooled_events,pooled_K,realized_alarm_fraction,TP,precision,recall,random_expected_recall,recall_enrichment_over_random,missed_events,false_alarms,score_context,alarm_run_id
BCR-TCN v1.1,15,0.05,747,134,39,0.05220883534136546,20,0.5128205128205128,0.14925373134328357,0.05220883534136546,2.858783008036739,114,19,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,15,0.1,747,134,75,0.10040160642570281,31,0.41333333333333333,0.23134328358208955,0.10040160642570281,2.304179104477612,103,44,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,16,0.05,747,71,39,0.05220883534136546,2,0.05128205128205128,0.028169014084507043,0.05220883534136546,0.5395449620801734,69,37,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,16,0.1,747,71,75,0.10040160642570281,6,0.08,0.08450704225352113,0.10040160642570281,0.8416901408450704,65,69,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,15,0.05,747,134,39,0.05220883534136546,19,0.48717948717948717,0.1417910447761194,0.05220883534136546,2.715843857634902,115,20,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,15,0.1,747,134,75,0.10040160642570281,31,0.41333333333333333,0.23134328358208955,0.10040160642570281,2.304179104477612,103,44,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,16,0.05,747,71,39,0.05220883534136546,11,0.28205128205128205,0.15492957746478872,0.05220883534136546,2.9674972914409534,60,28,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,16,0.1,747,71,75,0.10040160642570281,20,0.26666666666666666,0.28169014084507044,0.10040160642570281,2.8056338028169017,51,55,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,15,0.05,747,134,39,0.05220883534136546,18,0.46153846153846156,0.13432835820895522,0.05220883534136546,2.5729047072330657,116,21,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,15,0.1,747,134,75,0.10040160642570281,28,0.37333333333333335,0.208955223880597,0.10040160642570281,2.0811940298507463,106,47,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,16,0.05,747,71,39,0.05220883534136546,10,0.2564102564102564,0.14084507042253522,0.05220883534136546,2.697724810400867,61,29,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,16,0.1,747,71,75,0.10040160642570281,15,0.2,0.2112676056338028,0.10040160642570281,2.104225352112676,56,60,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,15,0.05,747,134,39,0.05220883534136546,21,0.5384615384615384,0.15671641791044777,0.05220883534136546,3.0017221584385765,113,18,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,15,0.1,747,134,75,0.10040160642570281,30,0.4,0.22388059701492538,0.10040160642570281,2.229850746268657,104,45,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,16,0.05,747,71,39,0.05220883534136546,12,0.3076923076923077,0.16901408450704225,0.05220883534136546,3.2372697724810404,59,27,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,16,0.1,747,71,75,0.10040160642570281,21,0.28,0.29577464788732394,0.10040160642570281,2.9459154929577465,50,54,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,15,0.05,747,134,39,0.05220883534136546,14,0.358974358974359,0.1044776119402985,0.05220883534136546,2.0011481056257177,120,25,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,15,0.1,747,134,75,0.10040160642570281,27,0.36,0.20149253731343283,0.10040160642570281,2.006865671641791,107,48,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,16,0.05,747,71,39,0.05220883534136546,10,0.2564102564102564,0.14084507042253522,0.05220883534136546,2.697724810400867,61,29,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,16,0.1,747,71,75,0.10040160642570281,18,0.24,0.2535211267605634,0.10040160642570281,2.525070422535211,53,57,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,15,0.05,747,134,39,0.05220883534136546,21,0.5384615384615384,0.15671641791044777,0.05220883534136546,3.0017221584385765,113,18,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,15,0.1,747,134,75,0.10040160642570281,33,0.44,0.2462686567164179,0.10040160642570281,2.452835820895522,101,42,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,16,0.05,747,71,39,0.05220883534136546,13,0.3333333333333333,0.18309859154929578,0.05220883534136546,3.507042253521127,58,26,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,16,0.1,747,71,75,0.10040160642570281,22,0.29333333333333333,0.30985915492957744,0.10040160642570281,3.0861971830985913,49,53,retrospective_offline_top_k,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
