model,threshold,nominal_budget_r,fold_precision_mean,fold_precision_sd,fold_precision_min,fold_precision_max,fold_recall_mean,fold_recall_sd,fold_recall_min,fold_recall_max,fold_TP_min,fold_TP_max,number_of_folds
BCR-TCN v1.1,15,0.05,0.5128205128205129,0.26148818018424536,0.15384615384615385,0.7692307692307693,0.13831535695942473,0.02881543609139419,0.1,0.1694915254237288,2.0,10.0,3
BCR-TCN v1.1,15,0.1,0.41333333333333333,0.24073960113690387,0.08,0.64,0.20251669234720082,0.07387110884252604,0.1,0.2711864406779661,2.0,16.0,3
BCR-TCN v1.1,16,0.05,0.05128205128205129,0.03626188621469475,0.0,0.07692307692307693,0.020853698273053112,0.01476737594476984,0.0,0.03225806451612903,0.0,1.0,3
BCR-TCN v1.1,16,0.1,0.08,0.06531972647421809,0.0,0.16,0.061909416748126424,0.049518957944640916,0.0,0.12121212121212122,0.0,4.0,3
BCR-TCN v1.1,17,0.05,0.12820512820512822,0.1307440900921227,0.0,0.3076923076923077,0.13194444444444445,0.14467129622221986,0.0,0.3333333333333333,0.0,4.0,3
BCR-TCN v1.1,17,0.1,0.12000000000000001,0.11775681155103798,0.0,0.28,0.23611111111111113,0.2507704178509415,0.0,0.5833333333333334,0.0,7.0,3
ElasticNet,15,0.05,0.4871794871794872,0.2538332035028632,0.15384615384615385,0.7692307692307693,0.133487416538264,0.03501235468048416,0.1,0.18181818181818182,2.0,10.0,3
ElasticNet,15,0.1,0.41333333333333333,0.19686430746977865,0.16,0.64,0.22578325629173088,0.046382428817103694,0.1864406779661017,0.2909090909090909,4.0,16.0,3
ElasticNet,16,0.05,0.28205128205128205,0.19187986598840723,0.07692307692307693,0.5384615384615384,0.15058418284224737,0.047406146110734515,0.0967741935483871,0.21212121212121213,1.0,7.0,3
ElasticNet,16,0.1,0.26666666666666666,0.16438437341250603,0.08,0.48,0.2809663454824745,0.06951924022967369,0.1935483870967742,0.36363636363636365,2.0,12.0,3
ElasticNet,17,0.05,0.12820512820512822,0.09593993299420363,0.0,0.23076923076923078,0.125,0.10206207261596575,0.0,0.25,0.0,3.0,3
ElasticNet,17,0.1,0.1466666666666667,0.07542472332656507,0.04,0.2,0.576388888888889,0.30254195709433285,0.3125,1.0,1.0,5.0,3
HGBR,15,0.05,0.4615384615384615,0.2512297172085311,0.15384615384615385,0.7692307692307693,0.1278376990241397,0.03817623673122823,0.1,0.18181818181818182,2.0,10.0,3
HGBR,15,0.1,0.37333333333333335,0.2124983660067897,0.12,0.64,0.19781715459681562,0.06583412169862222,0.15,0.2909090909090909,3.0,16.0,3
HGBR,16,0.05,0.2564102564102564,0.2205724427446827,0.0,0.5384615384615384,0.10296513522319974,0.08670869997510348,0.0,0.21212121212121213,0.0,7.0,3
HGBR,16,0.1,0.19999999999999998,0.17281975195754293,0.04,0.44,0.19098822324628775,0.10239631285197132,0.0967741935483871,0.3333333333333333,1.0,11.0,3
HGBR,17,0.05,0.15384615384615385,0.12561485860426555,0.0,0.3076923076923077,0.15277777777777776,0.13749298523071757,0.0,0.3333333333333333,0.0,4.0,3
HGBR,17,0.1,0.09333333333333334,0.08219218670625303,0.0,0.2,0.18055555555555558,0.1745806262496741,0.0,0.4166666666666667,0.0,5.0,3
HybridRank_fixed_documented,15,0.05,0.5384615384615384,0.3820426775833677,0.0,0.8461538461538461,0.12316384180790961,0.08797609789749934,0.0,0.2,0.0,11.0,3
