model,outer_fold,threshold,nominal_budget_r,N,k,score_unique_count,score_tie_group_count,maximum_tie_size,ties_at_cutoff,rows_equal_to_cutoff_score,secondary_rule_used,event_labels_used_for_ties,y_true_used_for_ties,deterministic_selection_pass
BCR-TCN v1.1,1,15,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,1,15,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,1,16,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,1,16,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,1,17,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,1,17,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,15,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,15,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,16,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,16,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,17,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,2,17,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,15,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,15,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,16,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,16,0.1,249,25,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,17,0.05,249,13,249,0,1,False,1,True,False,False,True
BCR-TCN v1.1,3,17,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,1,15,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,1,15,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,1,16,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,1,16,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,1,17,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,1,17,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,2,15,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,2,15,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,2,16,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,2,16,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,2,17,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,2,17,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,3,15,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,3,15,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,3,16,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,3,16,0.1,249,25,249,0,1,False,1,True,False,False,True
ElasticNet,3,17,0.05,249,13,249,0,1,False,1,True,False,False,True
ElasticNet,3,17,0.1,249,25,249,0,1,False,1,True,False,False,True
HGBR,1,15,0.05,249,13,180,43,8,True,2,True,False,False,True
HGBR,1,15,0.1,249,25,180,43,8,False,1,True,False,False,True
HGBR,1,16,0.05,249,13,180,43,8,True,2,True,False,False,True
HGBR,1,16,0.1,249,25,180,43,8,False,1,True,False,False,True
HGBR,1,17,0.05,249,13,180,43,8,True,2,True,False,False,True
HGBR,1,17,0.1,249,25,180,43,8,False,1,True,False,False,True
HGBR,2,15,0.05,249,13,145,51,17,False,3,True,False,False,True
HGBR,2,15,0.1,249,25,145,51,17,True,3,True,False,False,True
HGBR,2,16,0.05,249,13,145,51,17,False,3,True,False,False,True
HGBR,2,16,0.1,249,25,145,51,17,True,3,True,False,False,True
HGBR,2,17,0.05,249,13,145,51,17,False,3,True,False,False,True
HGBR,2,17,0.1,249,25,145,51,17,True,3,True,False,False,True
HGBR,3,15,0.05,249,13,248,1,2,False,1,True,False,False,True
HGBR,3,15,0.1,249,25,248,1,2,False,1,True,False,False,True
HGBR,3,16,0.05,249,13,248,1,2,False,1,True,False,False,True
HGBR,3,16,0.1,249,25,248,1,2,False,1,True,False,False,True
HGBR,3,17,0.05,249,13,248,1,2,False,1,True,False,False,True
HGBR,3,17,0.1,249,25,248,1,2,False,1,True,False,False,True
HybridRank_fixed_documented,1,15,0.05,249,13,234,15,2,False,1,True,False,False,True
HybridRank_fixed_documented,1,15,0.1,249,25,234,15,2,False,2,True,False,False,True
HybridRank_fixed_documented,1,16,0.05,249,13,232,16,3,False,1,True,False,False,True
HybridRank_fixed_documented,1,16,0.1,249,25,232,16,3,False,1,True,False,False,True
HybridRank_fixed_documented,1,17,0.05,249,13,233,15,3,False,1,True,False,False,True
HybridRank_fixed_documented,1,17,0.1,249,25,233,15,3,False,1,True,False,False,True
HybridRank_fixed_documented,2,15,0.05,249,13,234,15,2,False,1,True,False,False,True
HybridRank_fixed_documented,2,15,0.1,249,25,234,15,2,False,1,True,False,False,True
HybridRank_fixed_documented,2,16,0.05,249,13,241,8,2,False,1,True,False,False,True
HybridRank_fixed_documented,2,16,0.1,249,25,241,8,2,False,1,True,False,False,True
HybridRank_fixed_documented,2,17,0.05,249,13,232,16,3,False,1,True,False,False,True
HybridRank_fixed_documented,2,17,0.1,249,25,232,16,3,False,1,True,False,False,True
HybridRank_fixed_documented,3,15,0.05,249,13,229,18,4,False,1,True,False,False,True
HybridRank_fixed_documented,3,15,0.1,249,25,229,18,4,False,1,True,False,False,True
HybridRank_fixed_documented,3,16,0.05,249,13,223,21,3,True,2,True,False,False,True
HybridRank_fixed_documented,3,16,0.1,249,25,223,21,3,False,1,True,False,False,True
HybridRank_fixed_documented,3,17,0.05,249,13,233,16,2,False,1,True,False,False,True
HybridRank_fixed_documented,3,17,0.1,249,25,233,16,2,False,1,True,False,False,True
Persistence,1,15,0.05,249,13,202,41,4,False,1,True,False,False,True
Persistence,1,15,0.1,249,25,202,41,4,True,2,True,False,False,True
Persistence,1,16,0.05,249,13,202,41,4,False,1,True,False,False,True
Persistence,1,16,0.1,249,25,202,41,4,True,2,True,False,False,True
Persistence,1,17,0.05,249,13,202,41,4,False,1,True,False,False,True
Persistence,1,17,0.1,249,25,202,41,4,True,2,True,False,False,True
Persistence,2,15,0.05,249,13,200,42,4,False,1,True,False,False,True
Persistence,2,15,0.1,249,25,200,42,4,False,2,True,False,False,True
Persistence,2,16,0.05,249,13,200,42,4,False,1,True,False,False,True
Persistence,2,16,0.1,249,25,200,42,4,False,2,True,False,False,True
Persistence,2,17,0.05,249,13,200,42,4,False,1,True,False,False,True
Persistence,2,17,0.1,249,25,200,42,4,False,2,True,False,False,True
Persistence,3,15,0.05,249,13,214,33,3,False,2,True,False,False,True
Persistence,3,15,0.1,249,25,214,33,3,False,1,True,False,False,True
Persistence,3,16,0.05,249,13,214,33,3,False,2,True,False,False,True
Persistence,3,16,0.1,249,25,214,33,3,False,1,True,False,False,True
Persistence,3,17,0.05,249,13,214,33,3,False,2,True,False,False,True
Persistence,3,17,0.1,249,25,214,33,3,False,1,True,False,False,True
Ridge,1,15,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,1,15,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,1,16,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,1,16,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,1,17,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,1,17,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,2,15,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,2,15,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,2,16,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,2,16,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,2,17,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,2,17,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,3,15,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,3,15,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,3,16,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,3,16,0.1,249,25,249,0,1,False,1,True,False,False,True
Ridge,3,17,0.05,249,13,249,0,1,False,1,True,False,False,True
Ridge,3,17,0.1,249,25,249,0,1,False,1,True,False,False,True
