model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,candidate_alarms,alarms_issued,alarms_suppressed_by_quota,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,date_start,date_end,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
BCR-TCN v1.1,5,1,15,0.05,219,48,34,5,29,0.0228310502283105,2,3,46,168,0.4,0.041666666666666664,0.9824561403508771,0.017543859649122806,0.6,0.9583333333333334,-0.027168949771689502,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,15,0.1,219,48,44,10,34,0.045662100456621,6,4,42,167,0.6,0.125,0.9766081871345029,0.023391812865497075,0.4,0.875,-0.054337899543379004,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.05,219,28,25,9,16,0.0410958904109589,1,8,27,183,0.1111111111111111,0.03571428571428571,0.9581151832460733,0.041884816753926704,0.8888888888888888,0.9642857142857143,-0.008904109589041101,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.1,219,28,38,18,20,0.0821917808219178,5,13,23,178,0.2777777777777778,0.17857142857142858,0.9319371727748691,0.06806282722513089,0.7222222222222222,0.8214285714285714,-0.017808219178082202,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.05,219,13,6,6,0,0.0273972602739726,0,6,13,200,0.0,0.0,0.970873786407767,0.02912621359223301,1.0,1.0,-0.0226027397260274,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.1,219,13,14,14,0,0.0639269406392694,1,13,12,193,0.07142857142857142,0.07692307692307693,0.9368932038834952,0.06310679611650485,0.9285714285714286,0.9230769230769231,-0.0360730593607306,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.05,219,20,58,9,49,0.0410958904109589,0,9,20,190,0.0,0.0,0.9547738693467337,0.04522613065326633,1.0,1.0,-0.008904109589041101,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.1,219,20,83,21,62,0.0958904109589041,0,21,20,178,0.0,0.0,0.8944723618090452,0.10552763819095477,1.0,1.0,-0.004109589041095901,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.05,219,7,59,10,49,0.045662100456621,0,10,7,202,0.0,0.0,0.9528301886792453,0.04716981132075472,1.0,1.0,-0.004337899543379001,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.1,219,7,79,19,60,0.0867579908675799,0,19,7,193,0.0,0.0,0.910377358490566,0.08962264150943396,1.0,1.0,-0.013242009132420102,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
