model,horizon,outer_fold,threshold,nominal_budget_r,pooled_eligible_N,pooled_eligible_events,pooled_candidate_alarms,pooled_alarms,pooled_suppressed_by_quota,pooled_realized_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,nominal_budget_difference,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
BCR-TCN v1.1,5,pooled,15,0.05,657,117,105,25,80,0.0380517503805175,10,15,107,525,0.4,0.08547008547008547,0.9722222222222222,0.027777777777777776,0.6,0.9145299145299145,-0.011948249619482501,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,pooled,15,0.1,657,117,147,50,97,0.076103500761035,18,32,99,508,0.36,0.15384615384615385,0.9407407407407408,0.05925925925925926,0.64,0.8461538461538461,-0.023896499238965002,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,pooled,16,0.05,657,67,87,22,65,0.0334855403348554,2,20,65,570,0.09090909090909091,0.029850746268656716,0.9661016949152542,0.03389830508474576,0.9090909090909091,0.9701492537313433,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,pooled,16,0.1,657,67,127,47,80,0.0715372907153729,10,37,57,553,0.2127659574468085,0.14925373134328357,0.9372881355932203,0.06271186440677966,0.7872340425531915,0.8507462686567164,-0.028462709284627102,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,pooled,17,0.05,657,26,57,28,29,0.0426179604261796,0,28,26,603,0.0,0.0,0.9556259904912837,0.044374009508716325,1.0,1.0,-0.007382039573820401,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,pooled,17,0.1,657,26,95,58,37,0.0882800608828006,4,54,22,577,0.06896551724137931,0.15384615384615385,0.9144215530903328,0.08557844690966719,0.9310344827586207,0.8461538461538461,-0.011719939117199402,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,pooled,15,0.05,657,117,71,22,49,0.0334855403348554,4,18,113,522,0.18181818181818182,0.03418803418803419,0.9666666666666667,0.03333333333333333,0.8181818181818182,0.9658119658119658,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,pooled,15,0.1,657,117,105,44,61,0.0669710806697108,10,34,107,506,0.22727272727272727,0.08547008547008547,0.937037037037037,0.06296296296296296,0.7727272727272727,0.9145299145299145,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,pooled,16,0.05,657,67,71,22,49,0.0334855403348554,2,20,65,570,0.09090909090909091,0.029850746268656716,0.9661016949152542,0.03389830508474576,0.9090909090909091,0.9701492537313433,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,pooled,16,0.1,657,67,105,44,61,0.0669710806697108,5,39,62,551,0.11363636363636363,0.07462686567164178,0.9338983050847458,0.06610169491525424,0.8863636363636364,0.9253731343283582,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
