model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,final_capacity,candidate_alarms,issued_alarms,alarms_suppressed_by_quota,unused_final_capacity,realized_alarm_fraction,maximum_prefix_excess_over_capacity
BCR-TCN v1.1,5,1,15,0.05,219,11,34,5,29,6,0.0228310502283105,0
BCR-TCN v1.1,5,1,15,0.1,219,22,44,10,34,12,0.045662100456621,0
BCR-TCN v1.1,5,1,16,0.05,219,11,25,9,16,2,0.0410958904109589,0
BCR-TCN v1.1,5,1,16,0.1,219,22,38,18,20,4,0.0821917808219178,0
BCR-TCN v1.1,5,1,17,0.05,219,11,6,6,0,5,0.0273972602739726,0
BCR-TCN v1.1,5,1,17,0.1,219,22,14,14,0,8,0.0639269406392694,0
BCR-TCN v1.1,5,2,15,0.05,219,11,58,9,49,2,0.0410958904109589,0
BCR-TCN v1.1,5,2,15,0.1,219,22,83,21,62,1,0.0958904109589041,0
BCR-TCN v1.1,5,2,16,0.05,219,11,59,10,49,1,0.045662100456621,0
BCR-TCN v1.1,5,2,16,0.1,219,22,79,19,60,3,0.0867579908675799,0
BCR-TCN v1.1,5,2,17,0.05,219,11,20,11,9,0,0.0502283105022831,0
BCR-TCN v1.1,5,2,17,0.1,219,22,35,22,13,0,0.1004566210045662,0
BCR-TCN v1.1,5,3,15,0.05,219,11,13,11,2,0,0.0502283105022831,0
BCR-TCN v1.1,5,3,15,0.1,219,22,20,19,1,3,0.0867579908675799,0
BCR-TCN v1.1,5,3,16,0.05,219,11,3,3,0,8,0.0136986301369863,0
BCR-TCN v1.1,5,3,16,0.1,219,22,10,10,0,12,0.045662100456621,0
BCR-TCN v1.1,5,3,17,0.05,219,11,31,11,20,0,0.0502283105022831,0
BCR-TCN v1.1,5,3,17,0.1,219,22,46,22,24,0,0.1004566210045662,0
BCR-TCN v1.1,5,pooled,15,0.05,657,33,105,25,80,8,0.0380517503805175,0
BCR-TCN v1.1,5,pooled,15,0.1,657,66,147,50,97,16,0.076103500761035,0
BCR-TCN v1.1,5,pooled,16,0.05,657,33,87,22,65,11,0.0334855403348554,0
BCR-TCN v1.1,5,pooled,16,0.1,657,66,127,47,80,19,0.0715372907153729,0
BCR-TCN v1.1,5,pooled,17,0.05,657,33,57,28,29,5,0.0426179604261796,0
BCR-TCN v1.1,5,pooled,17,0.1,657,66,95,58,37,8,0.0882800608828006,0
ElasticNet,5,1,15,0.05,219,11,0,0,0,11,0.0,0
ElasticNet,5,1,15,0.1,219,22,0,0,0,22,0.0,0
ElasticNet,5,1,16,0.05,219,11,0,0,0,11,0.0,0
ElasticNet,5,1,16,0.1,219,22,0,0,0,22,0.0,0
ElasticNet,5,1,17,0.05,219,11,0,0,0,11,0.0,0
ElasticNet,5,1,17,0.1,219,22,0,0,0,22,0.0,0
ElasticNet,5,2,15,0.05,219,11,38,11,27,0,0.0502283105022831,0
ElasticNet,5,2,15,0.1,219,22,65,22,43,0,0.1004566210045662,0
ElasticNet,5,2,16,0.05,219,11,38,11,27,0,0.0502283105022831,0
ElasticNet,5,2,16,0.1,219,22,65,22,43,0,0.1004566210045662,0
ElasticNet,5,2,17,0.05,219,11,38,11,27,0,0.0502283105022831,0
ElasticNet,5,2,17,0.1,219,22,65,22,43,0,0.1004566210045662,0
ElasticNet,5,3,15,0.05,219,11,33,11,22,0,0.0502283105022831,0
ElasticNet,5,3,15,0.1,219,22,40,22,18,0,0.1004566210045662,0
ElasticNet,5,3,16,0.05,219,11,33,11,22,0,0.0502283105022831,0
ElasticNet,5,3,16,0.1,219,22,40,22,18,0,0.1004566210045662,0
ElasticNet,5,3,17,0.05,219,11,33,11,22,0,0.0502283105022831,0
ElasticNet,5,3,17,0.1,219,22,40,22,18,0,0.1004566210045662,0
ElasticNet,5,pooled,15,0.05,657,33,71,22,49,11,0.0334855403348554,0
ElasticNet,5,pooled,15,0.1,657,66,105,44,61,22,0.0669710806697108,0
ElasticNet,5,pooled,16,0.05,657,33,71,22,49,11,0.0334855403348554,0
ElasticNet,5,pooled,16,0.1,657,66,105,44,61,22,0.0669710806697108,0
ElasticNet,5,pooled,17,0.05,657,33,71,22,49,11,0.0334855403348554,0
ElasticNet,5,pooled,17,0.1,657,66,105,44,61,22,0.0669710806697108,0
HGBR,5,1,15,0.05,219,11,2,1,1,10,0.0045662100456621,0
HGBR,5,1,15,0.1,219,22,2,1,1,21,0.0045662100456621,0
HGBR,5,1,16,0.05,219,11,2,1,1,10,0.0045662100456621,0
HGBR,5,1,16,0.1,219,22,2,1,1,21,0.0045662100456621,0
HGBR,5,1,17,0.05,219,11,2,1,1,10,0.0045662100456621,0
HGBR,5,1,17,0.1,219,22,2,1,1,21,0.0045662100456621,0
HGBR,5,2,15,0.05,219,11,28,8,20,3,0.0365296803652968,0
HGBR,5,2,15,0.1,219,22,47,19,28,3,0.0867579908675799,0
HGBR,5,2,16,0.05,219,11,28,8,20,3,0.0365296803652968,0
HGBR,5,2,16,0.1,219,22,47,19,28,3,0.0867579908675799,0
HGBR,5,2,17,0.05,219,11,28,8,20,3,0.0365296803652968,0
HGBR,5,2,17,0.1,219,22,47,19,28,3,0.0867579908675799,0
HGBR,5,3,15,0.05,219,11,18,11,7,0,0.0502283105022831,0
HGBR,5,3,15,0.1,219,22,23,22,1,0,0.1004566210045662,0
HGBR,5,3,16,0.05,219,11,18,11,7,0,0.0502283105022831,0
HGBR,5,3,16,0.1,219,22,23,22,1,0,0.1004566210045662,0
HGBR,5,3,17,0.05,219,11,18,11,7,0,0.0502283105022831,0
HGBR,5,3,17,0.1,219,22,23,22,1,0,0.1004566210045662,0
HGBR,5,pooled,15,0.05,657,33,48,20,28,13,0.030441400304414,0
HGBR,5,pooled,15,0.1,657,66,72,42,30,24,0.0639269406392694,0
HGBR,5,pooled,16,0.05,657,33,48,20,28,13,0.030441400304414,0
HGBR,5,pooled,16,0.1,657,66,72,42,30,24,0.0639269406392694,0
HGBR,5,pooled,17,0.05,657,33,48,20,28,13,0.030441400304414,0
HGBR,5,pooled,17,0.1,657,66,72,42,30,24,0.0639269406392694,0
