model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,capacity_bound,unconstrained_alarms,quota_enforced_alarms,alarms_suppressed_by_quota,unconstrained_realized_alarm_fraction,quota_enforced_realized_alarm_fraction,unconstrained_precision,quota_enforced_precision,unconstrained_recall,quota_enforced_recall,unconstrained_TP,unconstrained_FP,unconstrained_FN,unconstrained_TN,quota_enforced_TP,quota_enforced_FP,quota_enforced_FN,quota_enforced_TN,unconstrained_exceeds_capacity,quota_enforced_exceeds_capacity,source_context_unconstrained,source_context_quota
BCR-TCN v1.1,5,1,15,0.05,219,11,34,5,29,0.1552511415525114,0.0228310502283105,0.3235294117647059,0.4,0.22916666666666666,0.041666666666666664,11,23,37,148,2,3,46,168,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,1,15,0.1,219,22,44,10,34,0.2009132420091324,0.045662100456621,0.3409090909090909,0.6,0.3125,0.125,15,29,33,142,6,4,42,167,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,1,16,0.05,219,11,25,9,16,0.1141552511415525,0.0410958904109589,0.16,0.1111111111111111,0.14285714285714285,0.03571428571428571,4,21,24,170,1,8,27,183,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,1,16,0.1,219,22,38,18,20,0.1735159817351598,0.0821917808219178,0.18421052631578946,0.2777777777777778,0.25,0.17857142857142858,7,31,21,160,5,13,23,178,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,1,17,0.05,219,11,6,6,0,0.0273972602739726,0.0273972602739726,0.0,0.0,0.0,0.0,0,6,13,200,0,6,13,200,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,1,17,0.1,219,22,14,14,0,0.0639269406392694,0.0639269406392694,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.07692307692307693,1,13,12,193,1,13,12,193,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,15,0.05,219,11,58,9,49,0.2648401826484018,0.0410958904109589,0.08620689655172414,0.0,0.25,0.0,5,53,15,146,0,9,20,190,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,15,0.1,219,22,83,21,62,0.3789954337899543,0.0958904109589041,0.08433734939759036,0.0,0.35,0.0,7,76,13,123,0,21,20,178,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,16,0.05,219,11,59,10,49,0.2694063926940639,0.045662100456621,0.03389830508474576,0.0,0.2857142857142857,0.0,2,57,5,155,0,10,7,202,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,16,0.1,219,22,79,19,60,0.3607305936073059,0.0867579908675799,0.02531645569620253,0.0,0.2857142857142857,0.0,2,77,5,135,0,19,7,193,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,17,0.05,219,11,20,11,9,0.091324200913242,0.0502283105022831,0.0,0.0,0.0,0.0,0,20,1,198,0,11,1,207,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,2,17,0.1,219,22,35,22,13,0.1598173515981735,0.1004566210045662,0.0,0.0,0.0,0.0,0,35,1,183,0,22,1,196,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,15,0.05,219,11,13,11,2,0.0593607305936073,0.0502283105022831,0.7692307692307693,0.7272727272727273,0.20408163265306123,0.16326530612244897,10,3,39,167,8,3,41,167,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,15,0.1,219,22,20,19,1,0.091324200913242,0.0867579908675799,0.65,0.631578947368421,0.2653061224489796,0.24489795918367346,13,7,36,163,12,7,37,163,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,16,0.05,219,11,3,3,0,0.0136986301369863,0.0136986301369863,0.3333333333333333,0.3333333333333333,0.03125,0.03125,1,2,31,185,1,2,31,185,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,16,0.1,219,22,10,10,0,0.045662100456621,0.045662100456621,0.5,0.5,0.15625,0.15625,5,5,27,182,5,5,27,182,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,17,0.05,219,11,31,11,20,0.1415525114155251,0.0502283105022831,0.22580645161290322,0.0,0.5833333333333334,0.0,7,24,5,183,0,11,12,196,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,3,17,0.1,219,22,46,22,24,0.2100456621004566,0.1004566210045662,0.17391304347826086,0.13636363636363635,0.6666666666666666,0.25,8,38,4,169,3,19,9,188,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,15,0.05,657,33,105,25,80,0.1598173515981735,0.0380517503805175,0.24761904761904763,0.4,0.2222222222222222,0.08547008547008547,26,79,91,461,10,15,107,525,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,15,0.1,657,66,147,50,97,0.2237442922374429,0.076103500761035,0.23809523809523808,0.36,0.29914529914529914,0.15384615384615385,35,112,82,428,18,32,99,508,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,16,0.05,657,33,87,22,65,0.1324200913242009,0.0334855403348554,0.08045977011494253,0.09090909090909091,0.1044776119402985,0.029850746268656716,7,80,60,510,2,20,65,570,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,16,0.1,657,66,127,47,80,0.1933028919330289,0.0715372907153729,0.11023622047244094,0.2127659574468085,0.208955223880597,0.14925373134328357,14,113,53,477,10,37,57,553,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,17,0.05,657,33,57,28,29,0.0867579908675799,0.0426179604261796,0.12280701754385964,0.0,0.2692307692307692,0.0,7,50,19,581,0,28,26,603,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
BCR-TCN v1.1,5,pooled,17,0.1,657,66,95,58,37,0.1445966514459665,0.0882800608828006,0.09473684210526316,0.06896551724137931,0.34615384615384615,0.15384615384615385,9,86,17,545,4,54,22,577,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,15,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,48,171,0,0,48,171,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,15,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,48,171,0,0,48,171,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,16,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,28,191,0,0,28,191,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,16,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,28,191,0,0,28,191,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,17,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,13,206,0,0,13,206,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,1,17,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,13,206,0,0,13,206,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,15,0.05,219,11,38,11,27,0.1735159817351598,0.0502283105022831,0.21052631578947367,0.18181818181818182,0.4,0.1,8,30,12,169,2,9,18,190,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,15,0.1,219,22,65,22,43,0.2968036529680365,0.1004566210045662,0.15384615384615385,0.13636363636363635,0.5,0.15,10,55,10,144,3,19,17,180,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,16,0.05,219,11,38,11,27,0.1735159817351598,0.0502283105022831,0.10526315789473684,0.09090909090909091,0.5714285714285714,0.14285714285714285,4,34,3,178,1,10,6,202,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,16,0.1,219,22,65,22,43,0.2968036529680365,0.1004566210045662,0.06153846153846154,0.045454545454545456,0.5714285714285714,0.14285714285714285,4,61,3,151,1,21,6,191,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,17,0.05,219,11,38,11,27,0.1735159817351598,0.0502283105022831,0.02631578947368421,0.09090909090909091,1.0,1.0,1,37,0,181,1,10,0,208,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,2,17,0.1,219,22,65,22,43,0.2968036529680365,0.1004566210045662,0.015384615384615385,0.045454545454545456,1.0,1.0,1,64,0,154,1,21,0,197,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,15,0.05,219,11,33,11,22,0.1506849315068493,0.0502283105022831,0.5151515151515151,0.18181818181818182,0.3469387755102041,0.04081632653061224,17,16,32,154,2,9,47,161,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,15,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.525,0.3181818181818182,0.42857142857142855,0.14285714285714285,21,19,28,151,7,15,42,155,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,16,0.05,219,11,33,11,22,0.1506849315068493,0.0502283105022831,0.3939393939393939,0.09090909090909091,0.40625,0.03125,13,20,19,167,1,10,31,177,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,16,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.4,0.18181818181818182,0.5,0.125,16,24,16,163,4,18,28,169,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,17,0.05,219,11,33,11,22,0.1506849315068493,0.0502283105022831,0.21212121212121213,0.09090909090909091,0.5833333333333334,0.08333333333333333,7,26,5,181,1,10,11,197,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,3,17,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.225,0.18181818181818182,0.75,0.3333333333333333,9,31,3,176,4,18,8,189,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,15,0.05,657,33,71,22,49,0.1080669710806697,0.0334855403348554,0.352112676056338,0.18181818181818182,0.21367521367521367,0.03418803418803419,25,46,92,494,4,18,113,522,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,15,0.1,657,66,105,44,61,0.1598173515981735,0.0669710806697108,0.29523809523809524,0.22727272727272727,0.26495726495726496,0.08547008547008547,31,74,86,466,10,34,107,506,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,16,0.05,657,33,71,22,49,0.1080669710806697,0.0334855403348554,0.23943661971830985,0.09090909090909091,0.2537313432835821,0.029850746268656716,17,54,50,536,2,20,65,570,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,16,0.1,657,66,105,44,61,0.1598173515981735,0.0669710806697108,0.19047619047619047,0.11363636363636363,0.29850746268656714,0.07462686567164178,20,85,47,505,5,39,62,551,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,17,0.05,657,33,71,22,49,0.1080669710806697,0.0334855403348554,0.11267605633802817,0.09090909090909091,0.3076923076923077,0.07692307692307693,8,63,18,568,2,20,24,611,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
ElasticNet,5,pooled,17,0.1,657,66,105,44,61,0.1598173515981735,0.0669710806697108,0.09523809523809523,0.11363636363636363,0.38461538461538464,0.19230769230769232,10,95,16,536,5,39,21,592,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
