model,outer_fold,threshold,nominal_budget_r,eligible_N,alarms_issued,realized_alarm_fraction,difference_from_nominal,absolute_difference_from_nominal,under_or_over_budget,longest_alarm_streak,maximum_alarms_in_any_7_day_window,days_between_alarms_mean,days_between_alarms_median,burden_audit_pass
BCR-TCN v1.1,1,15,0.05,219,34,0.1552511415525114,0.1052511415525114,0.1052511415525114,over,7,7,2.5454545454545454,1.0,True
BCR-TCN v1.1,1,15,0.1,219,44,0.2009132420091324,0.1009132420091324,0.1009132420091324,over,12,7,1.9767441860465116,1.0,True
BCR-TCN v1.1,1,16,0.05,219,25,0.1141552511415525,0.0641552511415525,0.0641552511415525,over,6,6,5.208333333333333,1.0,True
BCR-TCN v1.1,1,16,0.1,219,38,0.1735159817351598,0.0735159817351598,0.0735159817351598,over,7,7,3.864864864864865,1.0,True
BCR-TCN v1.1,1,17,0.05,219,6,0.0273972602739726,-0.0226027397260274,0.0226027397260274,under,1,2,23.4,9.0,True
BCR-TCN v1.1,1,17,0.1,219,14,0.0639269406392694,-0.0360730593607306,0.0360730593607306,under,5,5,10.384615384615385,1.0,True
BCR-TCN v1.1,2,15,0.05,219,58,0.2648401826484018,0.21484018264840182,0.21484018264840182,over,10,7,2.824561403508772,1.0,True
BCR-TCN v1.1,2,15,0.1,219,83,0.3789954337899543,0.2789954337899543,0.2789954337899543,over,22,7,2.5121951219512195,1.0,True
BCR-TCN v1.1,2,16,0.05,219,59,0.2694063926940639,0.21940639269406392,0.21940639269406392,over,11,7,3.2413793103448274,1.0,True
BCR-TCN v1.1,2,16,0.1,219,79,0.3607305936073059,0.2607305936073059,0.2607305936073059,over,35,7,2.41025641025641,1.0,True
BCR-TCN v1.1,2,17,0.05,219,20,0.091324200913242,0.041324200913242,0.041324200913242,over,4,4,11.421052631578947,1.0,True
BCR-TCN v1.1,2,17,0.1,219,35,0.1598173515981735,0.0598173515981735,0.0598173515981735,over,7,7,6.382352941176471,1.0,True
BCR-TCN v1.1,3,15,0.05,219,13,0.0593607305936073,0.0093607305936073,0.0093607305936073,over,11,7,16.416666666666668,1.0,True
BCR-TCN v1.1,3,15,0.1,219,20,0.091324200913242,-0.008675799086758001,0.008675799086758001,under,14,7,10.631578947368421,1.0,True
BCR-TCN v1.1,3,16,0.05,219,3,0.0136986301369863,-0.0363013698630137,0.0363013698630137,under,1,3,3.0,3.0,True
BCR-TCN v1.1,3,16,0.1,219,10,0.045662100456621,-0.054337899543379004,0.054337899543379004,under,6,6,1.7777777777777777,1.0,True
BCR-TCN v1.1,3,17,0.05,219,31,0.1415525114155251,0.0915525114155251,0.0915525114155251,over,13,7,6.733333333333333,1.0,True
BCR-TCN v1.1,3,17,0.1,219,46,0.2100456621004566,0.1100456621004566,0.1100456621004566,over,14,7,4.533333333333333,1.0,True
ElasticNet,1,15,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
ElasticNet,1,15,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
ElasticNet,1,16,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
ElasticNet,1,16,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
ElasticNet,1,17,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
ElasticNet,1,17,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
ElasticNet,2,15,0.05,219,38,0.1735159817351598,0.1235159817351598,0.1235159817351598,over,10,7,5.378378378378378,1.0,True
ElasticNet,2,15,0.1,219,65,0.2968036529680365,0.1968036529680365,0.1968036529680365,over,12,7,3.109375,1.0,True
ElasticNet,2,16,0.05,219,38,0.1735159817351598,0.1235159817351598,0.1235159817351598,over,10,7,5.378378378378378,1.0,True
ElasticNet,2,16,0.1,219,65,0.2968036529680365,0.1968036529680365,0.1968036529680365,over,12,7,3.109375,1.0,True
ElasticNet,2,17,0.05,219,38,0.1735159817351598,0.1235159817351598,0.1235159817351598,over,10,7,5.378378378378378,1.0,True
ElasticNet,2,17,0.1,219,65,0.2968036529680365,0.1968036529680365,0.1968036529680365,over,12,7,3.109375,1.0,True
ElasticNet,3,15,0.05,219,33,0.1506849315068493,0.1006849315068493,0.1006849315068493,over,10,7,6.15625,1.0,True
ElasticNet,3,15,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,14,7,5.051282051282051,1.0,True
ElasticNet,3,16,0.05,219,33,0.1506849315068493,0.1006849315068493,0.1006849315068493,over,10,7,6.15625,1.0,True
ElasticNet,3,16,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,14,7,5.051282051282051,1.0,True
ElasticNet,3,17,0.05,219,33,0.1506849315068493,0.1006849315068493,0.1006849315068493,over,10,7,6.15625,1.0,True
ElasticNet,3,17,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,14,7,5.051282051282051,1.0,True
HGBR,1,15,0.05,219,2,0.0091324200913242,-0.0408675799086758,0.0408675799086758,under,2,2,1.0,1.0,True
HGBR,1,15,0.1,219,2,0.0091324200913242,-0.0908675799086758,0.0908675799086758,under,2,2,1.0,1.0,True
HGBR,1,16,0.05,219,2,0.0091324200913242,-0.0408675799086758,0.0408675799086758,under,2,2,1.0,1.0,True
HGBR,1,16,0.1,219,2,0.0091324200913242,-0.0908675799086758,0.0908675799086758,under,2,2,1.0,1.0,True
HGBR,1,17,0.05,219,2,0.0091324200913242,-0.0408675799086758,0.0408675799086758,under,2,2,1.0,1.0,True
HGBR,1,17,0.1,219,2,0.0091324200913242,-0.0908675799086758,0.0908675799086758,under,2,2,1.0,1.0,True
HGBR,2,15,0.05,219,28,0.1278538812785388,0.0778538812785388,0.0778538812785388,over,9,7,3.925925925925926,1.0,True
HGBR,2,15,0.1,219,47,0.2146118721461187,0.1146118721461187,0.1146118721461187,over,24,7,2.4347826086956523,1.0,True
HGBR,2,16,0.05,219,28,0.1278538812785388,0.0778538812785388,0.0778538812785388,over,9,7,3.925925925925926,1.0,True
HGBR,2,16,0.1,219,47,0.2146118721461187,0.1146118721461187,0.1146118721461187,over,24,7,2.4347826086956523,1.0,True
HGBR,2,17,0.05,219,28,0.1278538812785388,0.0778538812785388,0.0778538812785388,over,9,7,3.925925925925926,1.0,True
