model,outer_fold,threshold,nominal_budget_r,total_rows,startup_rows,eligible_rows,minimum_past_score_count,maximum_past_score_count,first_eligible_date,last_eligible_date,cutoff_min,cutoff_max,cutoff_missing_count_on_eligible_dates,future_score_access,current_score_in_cutoff_history,labels_used,cutoff_rule_pass
BCR-TCN v1.1,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.4705599248409271,0.5638808608055115,0,False,False,False,True
BCR-TCN v1.1,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.4655065238475799,0.5541538000106812,0,False,False,False,True
BCR-TCN v1.1,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.476868987083435,0.5112535953521729,0,False,False,False,True
BCR-TCN v1.1,1,16,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.472168505191803,0.4959876239299774,0,False,False,False,True
BCR-TCN v1.1,1,17,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.5727787017822266,0.5877903699874878,0,False,False,False,True
BCR-TCN v1.1,1,17,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.5580041408538818,0.582914412021637,0,False,False,False,True
BCR-TCN v1.1,2,15,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.4824522733688354,0.5872889161109924,0,False,False,False,True
BCR-TCN v1.1,2,15,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.4803335070610046,0.5721772313117981,0,False,False,False,True
BCR-TCN v1.1,2,16,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.4474939107894897,0.5846062898635864,0,False,False,False,True
BCR-TCN v1.1,2,16,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.4348724484443664,0.5790854096412659,0,False,False,False,True
BCR-TCN v1.1,2,17,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.5264939069747925,0.5467872619628906,0,False,False,False,True
BCR-TCN v1.1,2,17,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.5238629579544067,0.532720148563385,0,False,False,False,True
BCR-TCN v1.1,3,15,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.5846900939941406,0.6092027425765991,0,False,False,False,True
BCR-TCN v1.1,3,15,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.5707224011421204,0.592121958732605,0,False,False,False,True
BCR-TCN v1.1,3,16,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.5661395788192749,0.5883495807647705,0,False,False,False,True
BCR-TCN v1.1,3,16,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.5549569129943848,0.5869424343109131,0,False,False,False,True
BCR-TCN v1.1,3,17,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.554725706577301,0.6068710088729858,0,False,False,False,True
BCR-TCN v1.1,3,17,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.549213707447052,0.5795811414718628,0,False,False,False,True
ElasticNet,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,13.958353634509916,14.833138251681534,0,False,False,False,True
ElasticNet,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.579332742213962,14.659145214250008,0,False,False,False,True
ElasticNet,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,13.958353634509916,14.833138251681534,0,False,False,False,True
ElasticNet,1,16,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.579332742213962,14.659145214250008,0,False,False,False,True
ElasticNet,1,17,0.05,249,30,219,30,248,2021-11-14,2022-06-20,13.958353634509916,14.833138251681534,0,False,False,False,True
ElasticNet,1,17,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.579332742213962,14.659145214250008,0,False,False,False,True
ElasticNet,2,15,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.465925606354707,13.205754615435575,0,False,False,False,True
ElasticNet,2,15,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.369898408501982,13.099987172963507,0,False,False,False,True
ElasticNet,2,16,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.465925606354707,13.205754615435575,0,False,False,False,True
ElasticNet,2,16,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.369898408501982,13.099987172963507,0,False,False,False,True
ElasticNet,2,17,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.465925606354707,13.205754615435575,0,False,False,False,True
ElasticNet,2,17,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.369898408501982,13.099987172963507,0,False,False,False,True
ElasticNet,3,15,0.05,249,30,219,30,248,2023-03-27,2023-10-31,12.677268338800086,12.82686873005946,0,False,False,False,True
ElasticNet,3,15,0.1,249,30,219,30,248,2023-03-27,2023-10-31,12.648323527495409,12.7514567677169,0,False,False,False,True
ElasticNet,3,16,0.05,249,30,219,30,248,2023-03-27,2023-10-31,12.677268338800086,12.82686873005946,0,False,False,False,True
ElasticNet,3,16,0.1,249,30,219,30,248,2023-03-27,2023-10-31,12.648323527495409,12.7514567677169,0,False,False,False,True
ElasticNet,3,17,0.05,249,30,219,30,248,2023-03-27,2023-10-31,12.677268338800086,12.82686873005946,0,False,False,False,True
ElasticNet,3,17,0.1,249,30,219,30,248,2023-03-27,2023-10-31,12.648323527495409,12.7514567677169,0,False,False,False,True
HGBR,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,14.00704964994947,14.254624028907331,0,False,False,False,True
HGBR,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.79217292177266,14.101921131851071,0,False,False,False,True
HGBR,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,14.00704964994947,14.254624028907331,0,False,False,False,True
HGBR,1,16,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.79217292177266,14.101921131851071,0,False,False,False,True
HGBR,1,17,0.05,249,30,219,30,248,2021-11-14,2022-06-20,14.00704964994947,14.254624028907331,0,False,False,False,True
HGBR,1,17,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.79217292177266,14.101921131851071,0,False,False,False,True
HGBR,2,15,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.51977356533779,13.703124341633533,0,False,False,False,True
HGBR,2,15,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.405362122262613,13.348255481076452,0,False,False,False,True
HGBR,2,16,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.51977356533779,13.703124341633533,0,False,False,False,True
HGBR,2,16,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.405362122262613,13.348255481076452,0,False,False,False,True
HGBR,2,17,0.05,249,30,219,30,248,2022-07-21,2023-02-24,12.51977356533779,13.703124341633533,0,False,False,False,True
HGBR,2,17,0.1,249,30,219,30,248,2022-07-21,2023-02-24,12.405362122262613,13.348255481076452,0,False,False,False,True
HGBR,3,15,0.05,249,30,219,30,248,2023-03-27,2023-10-31,14.147697171763252,14.538637642873208,0,False,False,False,True
HGBR,3,15,0.1,249,30,219,30,248,2023-03-27,2023-10-31,13.67787681031187,14.413120431349244,0,False,False,False,True
HGBR,3,16,0.05,249,30,219,30,248,2023-03-27,2023-10-31,14.147697171763252,14.538637642873208,0,False,False,False,True
HGBR,3,16,0.1,249,30,219,30,248,2023-03-27,2023-10-31,13.67787681031187,14.413120431349244,0,False,False,False,True
HGBR,3,17,0.05,249,30,219,30,248,2023-03-27,2023-10-31,14.147697171763252,14.538637642873208,0,False,False,False,True
HGBR,3,17,0.1,249,30,219,30,248,2023-03-27,2023-10-31,13.67787681031187,14.413120431349244,0,False,False,False,True
HybridRank_fixed_documented,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.8402777777777778,0.95,0,False,False,False,True
HybridRank_fixed_documented,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.7395833333333334,0.8611111111111112,0,False,False,False,True
HybridRank_fixed_documented,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.8166666666666667,0.9285714285714286,0,False,False,False,True
HybridRank_fixed_documented,1,16,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.7340909090909091,0.925,0,False,False,False,True
HybridRank_fixed_documented,1,17,0.05,249,30,219,30,248,2021-11-14,2022-06-20,0.75,1.0,0,False,False,False,True
HybridRank_fixed_documented,1,17,0.1,249,30,219,30,248,2021-11-14,2022-06-20,0.6136363636363636,0.95,0,False,False,False,True
HybridRank_fixed_documented,2,15,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.7261904761904762,0.96,0,False,False,False,True
HybridRank_fixed_documented,2,15,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.6796875,0.9405940594059405,0,False,False,False,True
HybridRank_fixed_documented,2,16,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.75,0.9724770642201835,0,False,False,False,True
HybridRank_fixed_documented,2,16,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.6875,0.9623015873015872,0,False,False,False,True
HybridRank_fixed_documented,2,17,0.05,249,30,219,30,248,2022-07-21,2023-02-24,0.7685185185185184,0.9134615384615384,0,False,False,False,True
HybridRank_fixed_documented,2,17,0.1,249,30,219,30,248,2022-07-21,2023-02-24,0.7,0.8776881720430108,0,False,False,False,True
HybridRank_fixed_documented,3,15,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.6323529411764707,0.9306122448979592,0,False,False,False,True
HybridRank_fixed_documented,3,15,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.5909090909090909,0.826923076923077,0,False,False,False,True
HybridRank_fixed_documented,3,16,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.5821917808219178,0.8989130434782608,0,False,False,False,True
HybridRank_fixed_documented,3,16,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.5208333333333334,0.75,0,False,False,False,True
HybridRank_fixed_documented,3,17,0.05,249,30,219,30,248,2023-03-27,2023-10-31,0.6052631578947368,0.9486899563318777,0,False,False,False,True
HybridRank_fixed_documented,3,17,0.1,249,30,219,30,248,2023-03-27,2023-10-31,0.6029411764705882,0.8872950819672132,0,False,False,False,True
Persistence,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,17.01,17.99,0,False,False,False,True
Persistence,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,15.56,17.0,0,False,False,False,True
Persistence,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,17.01,17.99,0,False,False,False,True
Persistence,1,16,0.1,249,30,219,30,248,2021-11-14,2022-06-20,15.56,17.0,0,False,False,False,True
Persistence,1,17,0.05,249,30,219,30,248,2021-11-14,2022-06-20,17.01,17.99,0,False,False,False,True
Persistence,1,17,0.1,249,30,219,30,248,2021-11-14,2022-06-20,15.56,17.0,0,False,False,False,True
Persistence,2,15,0.05,249,30,219,30,248,2022-07-21,2023-02-24,13.33,15.41,0,False,False,False,True
Persistence,2,15,0.1,249,30,219,30,248,2022-07-21,2023-02-24,13.07,14.64,0,False,False,False,True
Persistence,2,16,0.05,249,30,219,30,248,2022-07-21,2023-02-24,13.33,15.41,0,False,False,False,True
Persistence,2,16,0.1,249,30,219,30,248,2022-07-21,2023-02-24,13.07,14.64,0,False,False,False,True
Persistence,2,17,0.05,249,30,219,30,248,2022-07-21,2023-02-24,13.33,15.41,0,False,False,False,True
Persistence,2,17,0.1,249,30,219,30,248,2022-07-21,2023-02-24,13.07,14.64,0,False,False,False,True
Persistence,3,15,0.05,249,30,219,30,248,2023-03-27,2023-10-31,15.5,16.92,0,False,False,False,True
Persistence,3,15,0.1,249,30,219,30,248,2023-03-27,2023-10-31,14.89,16.36,0,False,False,False,True
Persistence,3,16,0.05,249,30,219,30,248,2023-03-27,2023-10-31,15.5,16.92,0,False,False,False,True
Persistence,3,16,0.1,249,30,219,30,248,2023-03-27,2023-10-31,14.89,16.36,0,False,False,False,True
Persistence,3,17,0.05,249,30,219,30,248,2023-03-27,2023-10-31,15.5,16.92,0,False,False,False,True
Persistence,3,17,0.1,249,30,219,30,248,2023-03-27,2023-10-31,14.89,16.36,0,False,False,False,True
Ridge,1,15,0.05,249,30,219,30,248,2021-11-14,2022-06-20,13.754627844339934,14.529194403414357,0,False,False,False,True
Ridge,1,15,0.1,249,30,219,30,248,2021-11-14,2022-06-20,13.369245546822306,14.50689368222513,0,False,False,False,True
Ridge,1,16,0.05,249,30,219,30,248,2021-11-14,2022-06-20,13.754627844339934,14.529194403414357,0,False,False,False,True
