model,horizon,outer_fold,threshold,nominal_budget_r,metric_scope,primary_reference,total_N,total_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,startup_N,eligible_N,score_context,sequential_run_id
BCR-TCN v1.1,5,1,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,34,0.13654618473895583,11,23,48,167,0.3235294117647059,0.1864406779661017,0.8789473684210526,0.12105263157894737,0.6764705882352942,0.8135593220338984,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,44,0.17670682730923695,15,29,44,161,0.3409090909090909,0.2542372881355932,0.8473684210526315,0.15263157894736842,0.6590909090909091,0.7457627118644068,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,25,0.10040160642570281,4,21,27,197,0.16,0.12903225806451613,0.9036697247706422,0.0963302752293578,0.84,0.8709677419354839,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,38,0.15261044176706828,7,31,24,187,0.18421052631578946,0.22580645161290322,0.8577981651376146,0.14220183486238533,0.8157894736842105,0.7741935483870968,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,6,0.024096385542168676,0,6,16,227,0.0,0.0,0.9742489270386266,0.02575107296137339,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,14,0.05622489959839357,1,13,15,220,0.07142857142857142,0.0625,0.944206008583691,0.055793991416309016,0.9285714285714286,0.9375,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,58,0.23293172690763053,5,53,15,176,0.08620689655172414,0.25,0.7685589519650655,0.2314410480349345,0.9137931034482759,0.75,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,83,0.3333333333333333,7,76,13,153,0.08433734939759036,0.35,0.6681222707423581,0.3318777292576419,0.9156626506024096,0.65,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,59,0.23694779116465864,2,57,5,185,0.03389830508474576,0.2857142857142857,0.7644628099173554,0.23553719008264462,0.9661016949152542,0.7142857142857143,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,79,0.3172690763052209,2,77,5,165,0.02531645569620253,0.2857142857142857,0.6818181818181818,0.3181818181818182,0.9746835443037974,0.7142857142857143,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,20,0.08032128514056225,0,20,1,228,0.0,0.0,0.9193548387096774,0.08064516129032258,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,35,0.14056224899598393,0,35,1,213,0.0,0.0,0.8588709677419355,0.14112903225806453,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,13,0.05220883534136546,10,3,45,191,0.7692307692307693,0.18181818181818182,0.9845360824742269,0.015463917525773196,0.23076923076923078,0.8181818181818182,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,20,0.08032128514056225,13,7,42,187,0.65,0.23636363636363636,0.9639175257731959,0.03608247422680412,0.35,0.7636363636363637,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,3,0.012048192771084338,1,2,32,214,0.3333333333333333,0.030303030303030304,0.9907407407407407,0.009259259259259259,0.6666666666666666,0.9696969696969697,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,10,0.040160642570281124,5,5,28,211,0.5,0.15151515151515152,0.9768518518518519,0.023148148148148147,0.5,0.8484848484848485,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,31,0.12449799196787148,7,24,5,213,0.22580645161290322,0.5833333333333334,0.8987341772151899,0.10126582278481013,0.7741935483870968,0.4166666666666667,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,46,0.18473895582329317,8,38,4,199,0.17391304347826086,0.6666666666666666,0.8396624472573839,0.16033755274261605,0.8260869565217391,0.3333333333333333,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,0,0.0,0,0,59,190,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,0,0.0,0,0,59,190,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,0,0.0,0,0,31,218,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,0,0.0,0,0,31,218,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,0,0.0,0,0,16,233,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
