model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,startup_N,score_context,sequential_run_id
BCR-TCN v1.1,5,1,15,0.05,219,48,34,0.1552511415525114,11,23,37,148,0.3235294117647059,0.22916666666666666,0.8654970760233918,0.13450292397660818,0.6764705882352942,0.7708333333333334,0.1052511415525114,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,15,0.1,219,48,44,0.2009132420091324,15,29,33,142,0.3409090909090909,0.3125,0.8304093567251462,0.1695906432748538,0.6590909090909091,0.6875,0.1009132420091324,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.05,219,28,25,0.1141552511415525,4,21,24,170,0.16,0.14285714285714285,0.8900523560209425,0.1099476439790576,0.84,0.8571428571428571,0.0641552511415525,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,16,0.1,219,28,38,0.1735159817351598,7,31,21,160,0.18421052631578946,0.25,0.837696335078534,0.16230366492146597,0.8157894736842105,0.75,0.0735159817351598,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.05,219,13,6,0.0273972602739726,0,6,13,200,0.0,0.0,0.970873786407767,0.02912621359223301,1.0,1.0,-0.0226027397260274,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,1,17,0.1,219,13,14,0.0639269406392694,1,13,12,193,0.07142857142857142,0.07692307692307693,0.9368932038834952,0.06310679611650485,0.9285714285714286,0.9230769230769231,-0.0360730593607306,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.05,219,20,58,0.2648401826484018,5,53,15,146,0.08620689655172414,0.25,0.7336683417085427,0.2663316582914573,0.9137931034482759,0.75,0.21484018264840182,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,15,0.1,219,20,83,0.3789954337899543,7,76,13,123,0.08433734939759036,0.35,0.6180904522613065,0.38190954773869346,0.9156626506024096,0.65,0.2789954337899543,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.05,219,7,59,0.2694063926940639,2,57,5,155,0.03389830508474576,0.2857142857142857,0.7311320754716981,0.2688679245283019,0.9661016949152542,0.7142857142857143,0.21940639269406392,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,16,0.1,219,7,79,0.3607305936073059,2,77,5,135,0.02531645569620253,0.2857142857142857,0.6367924528301887,0.3632075471698113,0.9746835443037974,0.7142857142857143,0.2607305936073059,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,2,17,0.05,219,1,20,0.091324200913242,0,20,1,198,0.0,0.0,0.908256880733945,0.09174311926605505,1.0,1.0,0.041324200913242,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
