model,horizon,threshold,nominal_budget_r,pooled_eligible_N,pooled_eligible_events,pooled_alarms,pooled_realized_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,nominal_budget_difference,score_context,sequential_run_id
BCR-TCN v1.1,5,15,0.05,657,117,105,0.1598173515981735,26,79,91,461,0.24761904761904763,0.2222222222222222,0.8537037037037037,0.14629629629629629,0.7523809523809524,0.7777777777777778,0.1098173515981735,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,15,0.1,657,117,147,0.2237442922374429,35,112,82,428,0.23809523809523808,0.29914529914529914,0.7925925925925926,0.2074074074074074,0.7619047619047619,0.7008547008547008,0.1237442922374429,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,16,0.05,657,67,87,0.1324200913242009,7,80,60,510,0.08045977011494253,0.1044776119402985,0.864406779661017,0.13559322033898305,0.9195402298850575,0.8955223880597015,0.0824200913242009,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,16,0.1,657,67,127,0.1933028919330289,14,113,53,477,0.11023622047244094,0.208955223880597,0.8084745762711865,0.19152542372881357,0.889763779527559,0.7910447761194029,0.0933028919330289,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,17,0.05,657,26,57,0.0867579908675799,7,50,19,581,0.12280701754385964,0.2692307692307692,0.9207606973058637,0.07923930269413629,0.8771929824561403,0.7307692307692307,0.0367579908675799,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
BCR-TCN v1.1,5,17,0.1,657,26,95,0.1445966514459665,9,86,17,545,0.09473684210526316,0.34615384615384615,0.8637083993660856,0.13629160063391443,0.9052631578947369,0.6538461538461539,0.0445966514459665,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,15,0.05,657,117,71,0.1080669710806697,25,46,92,494,0.352112676056338,0.21367521367521367,0.9148148148148149,0.08518518518518518,0.647887323943662,0.7863247863247863,0.0580669710806697,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,15,0.1,657,117,105,0.1598173515981735,31,74,86,466,0.29523809523809524,0.26495726495726496,0.8629629629629629,0.13703703703703704,0.7047619047619048,0.7350427350427351,0.0598173515981735,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,16,0.05,657,67,71,0.1080669710806697,17,54,50,536,0.23943661971830985,0.2537313432835821,0.9084745762711864,0.09152542372881356,0.7605633802816901,0.746268656716418,0.0580669710806697,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,16,0.1,657,67,105,0.1598173515981735,20,85,47,505,0.19047619047619047,0.29850746268656714,0.8559322033898306,0.1440677966101695,0.8095238095238095,0.7014925373134329,0.0598173515981735,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,17,0.05,657,26,71,0.1080669710806697,8,63,18,568,0.11267605633802817,0.3076923076923077,0.9001584786053882,0.09984152139461172,0.8873239436619719,0.6923076923076923,0.0580669710806697,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,17,0.1,657,26,105,0.1598173515981735,10,95,16,536,0.09523809523809523,0.38461538461538464,0.849445324881141,0.15055467511885895,0.9047619047619048,0.6153846153846154,0.0598173515981735,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,15,0.05,657,117,48,0.0730593607305936,19,29,98,511,0.3958333333333333,0.1623931623931624,0.9462962962962963,0.053703703703703705,0.6041666666666666,0.8376068376068376,0.0230593607305936,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,15,0.1,657,117,72,0.1095890410958904,26,46,91,494,0.3611111111111111,0.2222222222222222,0.9148148148148149,0.08518518518518518,0.6388888888888888,0.7777777777777778,0.0095890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,16,0.05,657,67,48,0.0730593607305936,13,35,54,555,0.2708333333333333,0.19402985074626866,0.940677966101695,0.059322033898305086,0.7291666666666666,0.8059701492537313,0.0230593607305936,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,16,0.1,657,67,72,0.1095890410958904,16,56,51,534,0.2222222222222222,0.23880597014925373,0.9050847457627119,0.09491525423728814,0.7777777777777778,0.7611940298507462,0.0095890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,17,0.05,657,26,48,0.0730593607305936,5,43,21,588,0.10416666666666667,0.19230769230769232,0.9318541996830428,0.06814580031695722,0.8958333333333334,0.8076923076923077,0.0230593607305936,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,17,0.1,657,26,72,0.1095890410958904,6,66,20,565,0.08333333333333333,0.23076923076923078,0.8954041204437401,0.1045958795562599,0.9166666666666666,0.7692307692307693,0.0095890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,15,0.05,657,117,63,0.0958904109589041,23,40,94,500,0.36507936507936506,0.19658119658119658,0.9259259259259259,0.07407407407407407,0.6349206349206349,0.8034188034188035,0.0458904109589041,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,15,0.1,657,117,89,0.1354642313546423,31,58,86,482,0.34831460674157305,0.26495726495726496,0.8925925925925926,0.10740740740740741,0.651685393258427,0.7350427350427351,0.0354642313546423,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,16,0.05,657,67,58,0.0882800608828006,19,39,48,551,0.3275862068965517,0.2835820895522388,0.9338983050847458,0.06610169491525424,0.6724137931034483,0.7164179104477612,0.0382800608828006,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,16,0.1,657,67,94,0.1430745814307458,25,69,42,521,0.26595744680851063,0.373134328358209,0.8830508474576271,0.11694915254237288,0.7340425531914894,0.6268656716417911,0.0430745814307458,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,17,0.05,657,26,61,0.0928462709284627,8,53,18,578,0.13114754098360656,0.3076923076923077,0.9160063391442155,0.08399366085578447,0.8688524590163934,0.6923076923076923,0.0428462709284627,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,17,0.1,657,26,97,0.1476407914764079,9,88,17,543,0.09278350515463918,0.34615384615384615,0.8605388272583201,0.13946117274167988,0.9072164948453608,0.6538461538461539,0.0476407914764079,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,15,0.05,657,117,54,0.0821917808219178,14,40,103,500,0.25925925925925924,0.11965811965811966,0.9259259259259259,0.07407407407407407,0.7407407407407407,0.8803418803418803,0.0321917808219178,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,15,0.1,657,117,102,0.1552511415525114,30,72,87,468,0.29411764705882354,0.2564102564102564,0.8666666666666667,0.13333333333333333,0.7058823529411765,0.7435897435897436,0.0552511415525114,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,16,0.05,657,67,54,0.0821917808219178,9,45,58,545,0.16666666666666666,0.13432835820895522,0.923728813559322,0.07627118644067797,0.8333333333333334,0.8656716417910447,0.0321917808219178,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,16,0.1,657,67,102,0.1552511415525114,22,80,45,510,0.21568627450980393,0.3283582089552239,0.864406779661017,0.13559322033898305,0.7843137254901961,0.6716417910447762,0.0552511415525114,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,17,0.05,657,26,54,0.0821917808219178,3,51,23,580,0.05555555555555555,0.11538461538461539,0.919175911251981,0.08082408874801902,0.9444444444444444,0.8846153846153846,0.0321917808219178,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,17,0.1,657,26,102,0.1552511415525114,9,93,17,538,0.08823529411764706,0.34615384615384615,0.8526148969889065,0.1473851030110935,0.9117647058823529,0.6538461538461539,0.0552511415525114,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,15,0.05,657,117,72,0.1095890410958904,25,47,92,493,0.3472222222222222,0.21367521367521367,0.912962962962963,0.08703703703703704,0.6527777777777778,0.7863247863247863,0.0595890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,15,0.1,657,117,109,0.1659056316590563,34,75,83,465,0.3119266055045872,0.2905982905982906,0.8611111111111112,0.1388888888888889,0.6880733944954128,0.7094017094017094,0.0659056316590563,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,16,0.05,657,67,72,0.1095890410958904,19,53,48,537,0.2638888888888889,0.2835820895522388,0.9101694915254237,0.08983050847457627,0.7361111111111112,0.7164179104477612,0.0595890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,16,0.1,657,67,109,0.1659056316590563,22,87,45,503,0.2018348623853211,0.3283582089552239,0.8525423728813559,0.14745762711864407,0.7981651376146789,0.6716417910447762,0.0659056316590563,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,17,0.05,657,26,72,0.1095890410958904,6,66,20,565,0.08333333333333333,0.23076923076923078,0.8954041204437401,0.1045958795562599,0.9166666666666666,0.7692307692307693,0.0595890410958904,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,17,0.1,657,26,109,0.1659056316590563,9,100,17,531,0.08256880733944955,0.34615384615384615,0.8415213946117274,0.15847860538827258,0.9174311926605505,0.6538461538461539,0.0659056316590563,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
